CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3751-3752,3801-3802,3901-3902,4100,4200,4300,4400,4700,5100,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7281-7299,7438,7439,7630-7699,8011,8015,8019,8020-8039,8040-8079,8080-8089,"8091, 8097",8092,8096,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9400-9499,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9730,9740,9770,"9775, 9780",9790,9791,"9793, 9795",LocalRevAO,StateRevAO,StateRevSE
01612590101469,930203.0,93192.0,310166.0,0.0,27655.0,46227.0,51893.0,92826.0,0.0,101659.0,0.0,22507.0,128500.0,15350.0,26590.0,0.0,0.0,0.0,31462.0,25126.0,0.0,40940.0,103410.0,82720.0,122305.0,17111.0,1288.0,14993.0,13827.0,261738.0,31651.0,1584.0,0.0,0.0,0.0,0.0,0.0,3245.0,0.0,17949.0,395837.0,11268.0,0.0,3525.0,0.0,0.0,0.0,1413627.0,-65304.0,0.0,0.0,0.0,0.0,0.0,159331.0,264513.0,84660.0,45493.0,123998.0,0.0,0.0,0.0,0.0,17365.0,0.0,0.0,0.0,0.0,509980.0,0.0,0.0,10913.0,4344.0,23682.0,292501.0,47949.0,50000.0,0.0,0.0,0.0,0.0,10913.0,0.0,0.0,0.0,0.0,0.0,164918.0,253880.0,44544.0,397571.0,358766.0,121499.0
01612590106906,540873.38,0.0,131583.3,0.0,0.0,0.0,0.0,77059.37,0.0,49975.67,0.0,19695.59,88267.12,6466.54,21959.0,3302.7,0.0,0.0,5367.41,10714.7,4508.91,17673.21,13886.04,29069.93,0.0,16360.13,6053.24,15126.45,84964.18,86996.86,138614.18,24486.52,0.0,0.0,0.0,0.0,0.0,24157.08,0.0,9779.0,0.0,0.0,0.0,15860.46,0.0,0.0,0.0,749398.0,45182.0,0.0,0.0,0.0,0.0,0.0,93397.0,14809.0,0.0,0.0,86595.0,0.0,0.0,0.0,0.0,34447.96,0.0,0.0,0.0,0.0,294427.33,0.0,0.0,0.0,49907.5,0.0,109961.18,0.0,15933.75,0.0,31488.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221399.45,74725.7,733.3,54090.23,545270.19,0.0
01612590108803,725909.87,0.0,103003.31,0.0,120769.41,49536.25,0.0,92835.39,42966.51,68954.29,17380.88,32284.94,132964.87,3661.48,15147.0,0.0,0.0,0.0,7482.85,0.0,13491.02,70498.14,0.0,89397.35,0.0,10011.54,1160.82,3166.0,40849.36,148388.21,335461.0,25775.83,0.0,0.0,0.0,0.0,0.0,33836.0,0.0,0.0,0.0,0.0,169120.43,0.0,0.0,0.0,0.0,1013807.0,1600.0,0.0,0.0,0.0,0.0,0.0,148930.0,0.0,64234.19,70805.3,130725.0,0.0,0.0,0.0,0.0,-393272.59,0.0,0.0,0.0,0.0,682425.51,0.0,0.0,0.0,0.0,135891.2,474434.88,0.0,0.0,0.0,72530.27,0.0,0.0,0.0,0.0,0.0,65898.34,0.0,0.0,-187819.37,-3053.15,-8373.85,107136.99,706320.24,0.0
01612590108944,704997.38,0.0,159116.1,0.0,1488.14,0.0,0.0,0.0,103988.85,0.0,0.0,14725.85,65207.32,2310.74,12134.92,45242.44,0.0,0.0,0.0,37003.38,0.0,90110.93,15914.22,70983.29,0.0,2300.32,19789.02,10746.55,34631.04,288468.35,252264.82,12052.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980629.0,-14425.0,0.0,0.0,0.0,0.0,0.0,115381.0,9389.0,0.0,86363.22,232737.0,0.0,0.0,0.0,0.0,131142.99,0.0,0.0,0.0,0.0,626168.65,0.0,0.0,7803.91,2174.9,0.0,662728.58,0.0,0.0,0.0,0.0,0.0,0.0,7803.91,0.0,0.0,0.0,0.0,0.0,96757.96,101820.0,-18585.0,217197.53,337531.4,0.0
01612590109819,1267526.29,57501.77,75147.87,0.0,113647.15,15751.78,0.0,99231.69,115837.22,102608.91,30356.35,53832.26,216104.47,5705.19,24812.0,0.0,0.0,0.0,12886.45,0.0,35202.04,133740.67,0.0,177605.05,0.0,15359.83,3382.18,3432.0,77230.34,140360.0,512654.3,31542.83,0.0,0.0,0.0,0.0,0.0,56085.0,0.0,0.0,0.0,0.0,407488.79,0.0,0.0,0.0,0.0,1825681.0,2899.0,0.0,0.0,0.0,0.0,0.0,266373.0,0.0,76769.81,143447.26,166065.11,0.0,0.0,0.0,0.0,69839.09,0.0,0.0,0.0,0.0,1112895.65,0.0,0.0,0.0,0.0,35861.91,749980.63,0.0,0.0,0.0,81776.18,0.0,0.0,0.0,0.0,0.0,75743.18,0.0,0.0,311096.66,410134.94,28311.06,158892.16,1093298.93,0.0
01612590109983,1504862.5,0.0,175926.76,0.0,0.0,237312.88,47650.08,0.0,0.0,134580.5,26357.83,43834.15,296480.9,13742.68,22479.78,0.0,0.0,0.0,0.0,48746.86,782.07,70612.33,4356.86,44353.82,0.0,17566.72,3510.0,0.0,145413.74,137090.61,993264.71,27282.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1922664.0,-107545.0,0.0,0.0,0.0,0.0,0.0,269912.0,44089.0,0.0,22146.75,258448.0,0.0,0.0,0.0,0.0,1641776.57,0.0,0.0,0.0,0.0,1347109.98,0.0,0.0,20514.66,0.0,0.0,1151049.7,0.0,0.0,0.0,0.0,0.0,0.0,20514.66,0.0,0.0,0.0,1837836.85,0.0,0.0,2067112.83,214535.17,5848.38,1157348.73,0.0
01612590111476,567850.38,0.0,107550.0,0.0,0.0,105757.38,19250.0,0.0,0.0,56766.27,10866.32,19187.86,108064.6,6211.61,10578.72,0.0,0.0,0.0,0.0,27189.4,2060.78,32771.26,12125.79,21921.6,0.0,10395.92,2190.0,0.0,62693.84,73291.51,457067.68,12892.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,961743.0,-53201.0,0.0,0.0,0.0,0.0,0.0,133173.0,23499.01,0.0,10759.75,121820.0,0.0,0.0,0.0,0.0,528782.36,0.0,0.0,0.0,0.0,594253.1,0.0,0.0,11324.13,0.0,0.0,701435.26,0.0,0.0,0.0,0.0,0.0,0.0,11324.13,0.0,0.0,0.0,421600.2,0.0,0.0,561872.19,86575.81,1646.47,311719.98,0.0
01612590111823,194769.0,0.0,137333.0,0.0,0.0,0.0,34733.0,0.0,29750.0,25182.0,0.0,12235.0,32784.0,6109.0,12124.0,1122.0,0.0,0.0,0.0,2110.0,4592.0,17852.0,27617.0,53012.0,0.0,229.0,2905.0,5902.0,17827.0,26487.0,330069.0,7733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610735.0,-26855.0,0.0,0.0,0.0,0.0,0.0,68836.0,8823.0,0.0,19059.0,70052.0,0.0,0.0,62013.0,0.0,0.0,0.0,0.0,0.0,0.0,190757.0,0.0,0.0,3259.0,9360.0,2632.0,122758.0,0.0,0.0,7000.0,0.0,0.0,0.0,3259.0,0.0,0.0,0.0,0.0,0.0,135004.0,79603.0,5951.0,43352.0,241183.0,0.0
01612590111856,263622.86,0.0,0.0,0.0,0.0,0.0,65000.0,42741.64,0.0,0.0,5825.4,27487.77,19712.86,5316.34,13221.8,0.0,0.0,0.0,0.0,0.0,28709.43,1359.59,0.0,0.0,0.0,1538.0,1570.0,7094.0,146551.56,325046.04,43483.32,1842.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579609.0,-28269.0,0.0,0.0,0.0,0.0,0.0,64646.0,76870.0,0.0,0.0,76501.0,0.0,0.0,0.0,0.0,561558.68,0.0,0.0,0.0,0.0,243927.77,182385.0,0.0,24780.0,10000.0,204808.0,177426.93,0.0,137808.3,0.0,0.0,0.0,0.0,24780.0,0.0,0.0,0.0,0.0,0.0,887443.39,861909.0,-3136.0,77524.05,206692.71,0.0
01612590114363,418536.71,0.0,0.0,0.0,0.0,0.0,75000.0,42711.66,0.0,0.0,7281.75,43139.24,36313.08,4290.96,17133.7,0.0,0.0,0.0,0.0,0.0,9099.54,5365.97,0.0,0.0,0.0,0.0,854.75,8636.0,406445.95,340117.27,62390.97,4047.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799711.0,-37039.0,0.0,0.0,0.0,0.0,0.0,107520.0,98120.0,0.0,0.0,71831.0,0.0,0.0,0.0,0.0,373930.87,0.0,0.0,0.0,0.0,124850.43,399943.87,0.0,35600.0,0.0,159464.0,346719.79,0.0,101055.53,0.0,0.0,0.0,0.0,35600.0,0.0,0.0,0.0,0.0,0.0,610414.37,862420.0,-94818.0,124400.0,195234.7,0.0
