CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3801-3802,3901-3902,4100,4200,4300,4400,4700,5200,5300,5400,5500,5600,5800,5900,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7438,7439,7630-7699,8011,8015,8019,8020-8039,8040-8079,8080-8089,"8091, 8097",8092,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9400-9499,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9730,9740,9770,"9775, 9780",9790,9791,"9793, 9795",LocalRevAO,StateRevAO,StateRevSE
61259013030772,616077.0,0.0,0.0,14466.0,70052.0,196000.0,230000.0,143634.0,0.0,133581.0,0.0,58467.0,0.0,0.0,54568.0,0.0,0.0,15831.0,0.0,2627.0,147555.0,0.0,4022.0,3204.0,2285.0,16539.0,181844.0,98015.0,117919.0,19537.0,34253.0,0.0,175451.0,0.0,0.0,0.0,0.0,0.0,39102.0,0.0,0.0,0.0,0.0,553693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9967.0,33363.0,0.0,0.0,0.0,0.0,193465.0,0.0,0.0,0.0,0.0,72070.0,0.0,0.0,0.0,0.0,366373.0,102854.0,0.0,0.0,191518.0,280063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57473.0,0.0,0.0,1319265.0,44992.0,0.0
61259016111660,431817.0,0.0,0.0,0.0,0.0,43500.0,78500.0,38000.0,0.0,32889.62,0.0,0.0,58000.0,0.0,10903.38,0.0,0.0,0.0,0.0,36598.0,0.0,0.0,0.0,5000.0,450.0,15000.0,154015.0,122400.0,0.0,8200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399236.0,0.0,0.0,0.0,361673.0,0.0,0.0,0.0,151764.0,0.0,0.0,0.0,66866.0,0.0,0.0,0.0,55000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,55000.0,0.0,0.0,0.0,0.0
61259016115711,71295.71,7780.69,70637.46,750.0,27149.96,53416.77,54871.73,34275.22,3400.0,0.0,0.0,25980.49,14107.02,3446.44,25282.86,0.0,0.0,2300.0,2307.67,5268.65,15401.57,143.97,6409.93,37.5,45.0,11668.7,1533.77,54693.04,111624.84,5691.63,1139.19,0.0,57.49,0.0,5530.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97753.45,0.0,0.0,0.0,0.0,0.0,0.0,103439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92134.27,0.0,0.0,0.0,0.0,10406.27,0.0,0.0,742.0,12450.47,5046.02,21498.45,0.0,0.0,0.0,0.0,0.0,0.0,742.0,0.0,0.0,0.0,0.0,0.0,98538.58,176060.33,0.0,195488.37,44979.94,0.0
61259016117394,809064.26,48000.0,88812.5,0.0,21315.0,154106.82,118900.545,0.0,0.0,73881.32,0.0,72341.69,136466.04,3203.12,93095.0,0.0,0.0,0.0,8474.04,13017.91,44276.81,0.0,12244.32,2279.11,993.0,12981.51,18955.76,92633.13,391409.68,9748.06,0.0,0.0,2654.29,0.0,3502.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276435.0,0.0,0.0,0.0,0.0,298884.37,0.0,0.0,0.0,0.0,353663.38,0.0,0.0,0.0,0.0,15116.76,185690.65,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231973.86,212253.425,0.0,48582.61,318746.09,0.0
61259016117402,536507.78,0.0,108953.13,0.0,0.0,53217.52,0.0,0.0,0.0,53206.23,4862.25,9225.29,79213.33,8115.81,49955.0,0.0,0.0,0.0,57519.45,10237.22,32741.59,0.0,7544.74,8229.59,550.0,12166.56,32809.01,71549.13,296994.62,7020.38,0.0,0.0,0.0,0.0,11460.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200372.0,0.0,0.0,345824.05,0.0,0.0,0.0,0.0,0.0,0.0,388015.2,0.0,0.0,0.0,0.0,48201.37,91536.66,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440503.96,345510.56,0.0,41667.56,299224.43,0.0
61259016117568,809605.58,28745.29,90437.43,0.0,27703.39,0.0,0.0,48900.34,64597.44,75709.42,6915.37,19954.91,114907.04,10876.31,53714.28,0.0,0.0,11432.75,0.0,90252.0,34039.84,0.0,16393.13,11351.02,414.53,11661.02,34317.21,227952.48,247633.85,6247.91,0.0,0.0,10795.3,0.0,97586.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787152.0,-296.0,0.0,0.0,0.0,0.0,0.0,154209.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82550.15,0.0,0.0,0.0,0.0,460014.52,0.0,0.0,17000.0,15000.0,549286.24,226858.47,0.0,62500.0,48484.13,0.0,0.0,0.0,17000.0,0.0,0.0,0.0,0.0,0.0,769008.31,800404.0,0.0,791270.15,649392.08,0.0
61259016117972,126876.11,0.0,28837.52,75508.12,0.0,7861.9,0.0,14295.0,0.0,1617.34,0.0,15229.95,14377.01,2584.25,11202.88,0.0,0.0,0.0,41988.97,3669.8,11045.36,17085.26,10023.97,12722.52,215.0,6558.11,166.6,31600.0,20939.88,1643.98,3101.85,0.0,36546.05,0.0,0.0,0.0,0.0,0.0,16374.33,0.0,0.0,0.0,0.0,122677.3,0.0,0.0,0.0,0.0,0.0,0.0,25093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150548.06,0.0,0.0,0.0,0.0,82541.37,0.0,0.0,157.5,0.0,19327.6,73330.34,0.0,0.0,0.0,28000.0,0.0,0.0,157.5,0.0,0.0,0.0,0.0,0.0,151086.69,74599.33,-20.92,144979.47,190257.49,0.0
61259016119911,212545.0,0.0,65194.0,2519.0,8723.0,0.0,43878.0,14172.0,0.0,0.0,0.0,26570.0,34084.0,3762.0,19874.0,0.0,0.0,0.0,0.0,12942.0,31542.0,8575.0,5836.0,11306.0,578.0,6844.0,21427.0,109829.0,58551.0,4902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7957.0,50000.0,0.0,258960.0,0.0,70714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95187.0,0.0,0.0,-178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79282.0,0.0,0.0,0.0,252954.0,62989.0,0.0,17000.0,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102069.0,848.0,0.0,20484.0,222856.0,0.0
61705076118160,1416581.54,0.0,65000.0,0.0,0.0,0.0,0.0,76322.97,0.0,0.0,0.0,214385.33,0.0,4203.63,34256.34,0.0,0.0,0.0,340625.31,158442.89,26185.25,431831.85,0.0,0.0,0.0,6065.16,878.0,252845.5,273644.6,10423.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2488087.0,19681.0,0.0,0.0,0.0,0.0,0.0,9776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347245.83,0.0,0.0,0.0,0.0,45358.41,0.0,0.0,0.0,0.0,0.0,258133.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134470.82,86689.0,0.0,185.45,86186.71,0.0
61796070101477,377821.0,0.0,79795.0,27910.0,14009.0,3311.0,0.0,77131.0,0.0,31535.0,0.0,8249.0,33433.0,1735.0,12955.0,13217.0,0.0,0.0,40224.0,519.0,26915.0,88158.0,50431.0,5167.0,626.0,11074.0,8066.0,68340.0,107470.0,9663.0,0.0,0.0,6028.0,0.0,0.0,0.0,0.0,17129.0,61904.0,18679.0,150000.0,0.0,402286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56296.0,614704.0,0.0,0.0,0.0,671988.0,0.0,0.0,0.0,0.0,0.0,30949.0,0.0,5253.0,350.0,0.0,8246.0,0.0,210864.0,0.0,0.0,0.0,0.0,5253.0,0.0,0.0,0.0,0.0,0.0,484177.0,351930.0,0.0,292420.0,203381.0,0.0
