CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3751-3752,3801-3802,3901-3902,4100,4200,4300,4400,4700,5100,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7281-7299,7438,7439,7630-7699,8011,8015,8019,8020-8039,8040-8079,8080-8089,"8091, 8097",8092,8096,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9400-9499,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9740,9750,9760,9780,9789,9790A,9790M,9791,"9793, 9795",9796,9797,LocalRevAO,StateRevAO,StateRevSE
1062166115196,317826.0,0.0,110000.0,0.0,0.0,8219.0,2940.0,41527.0,7697.0,33236.0,4510.0,11269.0,19747.0,7741.0,7422.0,0.0,0.0,0.0,48.0,3388.0,216.0,21443.0,14908.0,31102.0,0.0,4937.0,2513.0,2218.0,48312.0,190265.0,127857.0,11027.0,0.0,0.0,0.0,0.0,0.0,5929.0,0.0,0.0,0.0,39757.0,8210.0,4189.0,0.0,0.0,0.0,687740.0,-1944.0,0.0,0.0,0.0,0.0,0.0,75702.0,258.0,0.0,23346.0,23550.0,0.0,0.0,85114.0,0.0,12068.0,0.0,0.0,0.0,0.0,335620.0,0.0,0.0,4523.0,400.0,11374.0,60533.0,0.0,355100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33466.0,0.0,20148.0,-273.0,0.0,0.0,30465.0,262927.0,0.0
1062166121533,641363.27,0.0,217055.91,0.0,0.0,58374.66,0.0,78545.9,2084.5,74152.9,12694.24,21784.56,51347.14,16594.88,24607.73,24163.37,0.0,0.0,527.97,24670.36,0.0,43186.68,0.0,399.53,0.0,27633.21,9634.95,74123.72,556.6,0.0,338471.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,43752.0,0.0,0.0,1431032.0,0.0,872.0,0.0,0.0,0.0,0.0,193086.0,228946.31,0.0,0.0,0.0,0.0,0.0,60474.71,0.0,26.73,0.0,0.0,0.0,0.0,864743.94,0.0,0.0,4928.48,0.0,0.0,59037.32,0.0,0.0,0.0,0.0,0.0,0.0,4928.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866208.06,336402.67,-15167.0,0.0,0.0,1957.69,480284.16,0.0
1062331124354,27337.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.75,0.0,1203.08,960.0,0.0,0.0,0.0,0.0,0.0,0.0,6073.0,1507.49,286.96,0.0,0.0,0.0,84.25,0.0,0.0,750.0,0.0,47964.87,303.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32656.0,0.0,0.0,0.0,0.0,0.0,0.0,5631.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21805.0,0.0,0.0,0.0,0.0,0.0,58957.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37152.29,0.0,0.0,0.0,0.0,0.0,160.0,8033.0,0.0
10767781030774,815652.08,16881.0,361546.78,0.0,451.25,259086.81,0.0,148574.43,0.0,92582.1,0.0,49910.92,164303.63,21620.21,23278.9,0.0,0.0,0.0,13186.83,0.0,0.0,161507.33,9854.15,127549.91,0.0,14012.1,1596.42,23267.35,112090.13,497805.84,127754.55,32309.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22774.13,0.0,0.0,0.0,0.0,1906219.0,-4659.0,0.0,0.0,0.0,0.0,0.0,222293.0,4604.0,0.0,80846.6,168082.0,0.0,0.0,0.0,0.0,3748.18,0.0,0.0,0.0,0.0,0.0,868190.8,0.0,11572.89,24854.0,0.0,127588.97,3761.0,168305.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696514.72,0.0,0.0,0.0,14754.28,617652.92,0.0
1076778122770,186675.32,2700.0,5400.0,0.0,13636.11,14186.11,6000.0,47800.0,0.0,0.0,0.0,20400.19,10572.12,4074.5,0.0,0.0,0.0,0.0,0.0,12333.39,0.0,14986.2,3110.12,6438.12,0.0,18167.17,2149.26,20585.02,2422.07,60519.99,175030.96,6331.99,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,6949.0,0.0,0.0,0.0,364192.18,-1148.0,0.0,0.0,0.0,0.0,0.0,61367.0,0.0,0.0,0.0,188233.43,0.0,0.0,0.0,0.0,98316.85,199.65,0.0,0.0,0.0,75191.15,0.0,0.0,0.0,2700.0,0.0,23701.11,32132.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120574.48,0.0,5194.0,1615.0,0.0,0.0,12959.67,129528.84,0.0
110017109835,3376173.55,0.0,340443.16,0.0,272049.0,0.0,948226.63,0.0,0.0,293501.83,110717.47,140092.69,365249.08,101686.02,68398.32,0.0,0.0,0.0,0.0,397760.93,8467.2,134785.5,18819.74,22305.5,0.0,8880.09,34768.99,43657.4,218722.04,1113169.21,2658112.35,70097.06,0.0,0.0,0.0,0.0,0.0,132550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7903888.0,0.0,0.0,0.0,0.0,0.0,0.0,111570.0,0.0,211137.0,0.0,59289.0,0.0,0.0,0.0,0.0,102689.97,0.0,0.0,0.0,0.0,0.0,4234703.41,0.0,132202.38,0.0,549429.93,1423682.2,0.0,3017600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577743.49,0.0,984509.27,-319328.27,0.0,0.0,149284.18,1708799.07,647229.0
110017112607,812475.71,54240.02,165028.06,0.0,26820.0,43860.0,52541.23,42957.8,0.0,82317.97,0.0,26368.7,111187.18,16104.7,16252.33,0.0,0.0,0.0,1295.31,4139.47,4349.47,36552.17,8773.43,58183.37,0.0,879.45,1892.3,23511.2,172550.18,324904.43,73099.65,15365.72,0.0,0.0,0.0,0.0,0.0,111811.73,0.0,0.0,0.0,248489.75,227327.64,32653.48,0.0,0.0,0.0,1382467.0,387.0,0.0,0.0,0.0,0.0,0.0,514487.9,122428.15,39726.0,32169.94,65206.0,0.0,0.0,0.0,0.0,70367.1,0.0,0.0,0.0,0.0,344499.52,0.0,0.0,3523.0,0.0,435785.24,86795.98,0.0,35994.66,115000.0,412107.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204277.04,0.0,204277.04,0.0,0.0,0.0,54962.56,426398.9,157699.0
110017118489,0.0,1224527.0,52285.0,199985.0,89164.0,75451.0,0.0,108878.0,144509.0,100859.0,38970.0,55498.0,233768.0,16154.0,18715.0,0.0,0.0,0.0,30024.0,0.0,81380.0,104042.0,44974.0,89926.0,0.0,11281.0,24759.0,16883.0,46405.0,312747.0,124025.0,38128.0,0.0,0.0,0.0,0.0,0.0,165238.0,0.0,0.0,0.0,0.0,164781.0,0.0,0.0,0.0,0.0,2221800.0,913.0,0.0,0.0,0.0,0.0,0.0,0.0,275517.0,32386.0,92071.0,37641.0,0.0,0.0,0.0,0.0,-182785.0,0.0,0.0,0.0,0.0,1360355.0,0.0,0.0,0.0,11000.0,370084.0,335851.0,0.0,760000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245601.0,0.0,290116.0,10391.0,0.0,217202.0,604345.0,354121.0,156858.0
110017123968,281153.67,72057.21,74999.97,84336.78,0.0,0.0,13541.68,29060.45,7840.31,40323.35,0.0,12660.43,35927.56,6770.29,14552.25,0.0,0.0,0.0,1562.0,4791.26,7182.72,15712.62,14142.54,1670.85,0.0,7156.77,1825.0,2367.82,41679.95,34088.21,479631.98,6665.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254249.0,0.0,0.0,0.0,0.0,0.0,0.0,124166.8,336194.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197301.16,0.0,0.0,0.0,0.0,84978.11,0.0,0.0,524.77,0.0,0.0,66797.84,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16006.2,0.0,0.0,0.0,0.0,0.0,498541.87,58349.42,36205.0
110017124172,267461.68,4525.0,0.0,0.0,21957.82,0.0,136163.91,0.0,7905.0,24551.81,0.0,15397.6,29304.51,4911.11,5820.93,0.0,0.0,0.0,1570.0,30453.4,440.0,17277.46,39473.19,32028.76,0.0,10074.25,800.0,7308.09,10055.05,78945.65,156052.96,6432.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13595.41,0.0,514503.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299112.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26170.79,0.0,0.0,0.0,0.0,310872.08,0.0,0.0,19190.83,0.0,0.0,26799.2,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179434.5,0.0,0.0,0.0,0.0,0.0,192758.52,75725.6,19840.55
