Ccode,Dcode,SchoolID,ObjectCode,restricted,unrestricted,total,
01,10017,0112607,4400,0,7535,7535,
01,10017,0112607,4700,0,13003,13003,
01,10017,0112607,5100,0,370282,370282,
01,10017,0112607,5200,0,1495,1495,
01,10017,0112607,5300,0,2388,2388,
01,10017,0112607,5400,0,24378,24378,
01,10017,0112607,5500,0,88367,88367,
01,10017,0112607,5600,330853,63547,394400,
01,10017,0112607,5800,0,102619,102619,
01,10017,0112607,5900,0,24869,24869,
01,10017,0112607,6100-6170,0,0,0,
01,10017,0112607,6200,0,0,0,
01,10017,0112607,6300,0,0,0,
01,10017,0112607,6400,0,0,0,
01,10017,0112607,6500,0,0,0,
01,10017,0112607,6900,0,0,0,
01,10017,0112607,7110-7143,0,0,0,
01,10017,0112607,7211-7213,0,0,0,
01,10017,0112607,7221-7223AO,0,0,0,
01,10017,0112607,7221-7223SE,0,0,0,
01,10017,0112607,7281-7299,0,0,0,
01,10017,0112607,7438,0,35743,35743,
01,10017,0112607,7439,0,0,0,
01,10017,0112607,7630-7699,-204449.8,204449.8,0,
01,10017,0112607,8011,0,0,0,
01,10017,0112607,8012,0,0,0,
01,10017,0112607,8015,0,1341292,1341292,
01,10017,0112607,8019,0,15732,15732,
01,10017,0112607,8020-8039,0,0,0,
01,10017,0112607,8040-8079,0,0,0,
01,10017,0112607,8080-8089,0,0,0,
01,10017,0112607,"8091, 8097",0,0,0,
01,10017,0112607,8092,0,0,0,
01,10017,0112607,8096,0,514242,514242,
01,10017,0112607,"8110, 8260-8299",172144,0,172144,
01,10017,0112607,"8181, 8182",48035,0,48035,
01,10017,0112607,8220,0,0,0,
01,10017,0112607,8290,0,0,0,
01,10017,0112607,8930-8979,0,0,0,
01,10017,0112607,8980-8999,0,0,0,
01,10017,0112607,9110,0,0,0,
01,10017,0112607,9111,0,0,0,
01,10017,0112607,9120,0,187775,187775,
01,10017,0112607,9130,0,0,0,
01,10017,0112607,9135,0,0,0,
01,10017,0112607,9140,0,0,0,
01,10017,0112607,9150,0,0,0,
01,10017,0112607,9200,0,0,0,
01,10017,0112607,9290,0,-75207,-75207,
01,10017,0112607,9320,0,0,0,
01,10017,0112607,9330,0,-10496,-10496,
01,10017,0112607,9340,0,439387,439387,
01,10017,0112607,9400-9499,0,0,0,
01,10017,0112607,9500,0,356186,356186,
01,10017,0112607,9590,0,0,0,
01,10017,0112607,9640,0,-44003,-44003,
01,10017,0112607,9650,0,25000,25000,
01,10017,0112607,9660-9669,0,0,0,
01,10017,0112607,9711,0,0,0,
01,10017,0112607,9712,0,0,0,
01,10017,0112607,9713,0,0,0,
01,10017,0112607,9719,0,0,0,
01,10017,0112607,9740,0,0,0,
01,10017,0112607,9750,0,0,0,
01,10017,0112607,9760,0,0,0,
01,10017,0112607,9780,0,0,0,
01,10017,0112607,9789,0,0,0,
01,10017,0112607,9790A,0,204277,204277,
01,10017,0112607,9790M,0,0,0,
01,10017,0112607,9791,0,204277,204277,
01,10017,0112607,"9793, 9795",0,0,0,
01,10017,0112607,9796,0,0,0,
01,10017,0112607,9797,0,0,0,
01,10017,0112607,LocalRevAO,62777,9131,71908,
01,10017,0112607,StateRevAO,0,508310,508310,
01,10017,0112607,StateRevSE,214065,0,214065,
01,10017,0118489,1100,145481.01,1059094.29,1204575.3,
01,10017,0118489,1200,104701.09,190671.24,295372.33,
01,10017,0118489,1300,116973.52,45720.23,162693.75,
01,10017,0118489,1900,0,0,0,
01,10017,0118489,2100,63084.76,4457.5,67542.26,
01,10017,0118489,2200,14679.76,10983.65,25663.41,
01,10017,0118489,2300,0,0,0,
01,10017,0118489,2400,24500.18,93751.4,118251.58,
01,10017,0118489,2900,6905.19,176403.71,183308.9,
01,10017,0118489,3101-3102,27731.61,94103.01,121834.62,
01,10017,0118489,3201-3202,10034.41,29241.7,39276.11,
01,10017,0118489,3301-3302,14255.53,46590.79,60846.32,
01,10017,0118489,3401-3402,45857.18,197618.37,243475.55,
01,10017,0118489,3501-3502,0,11367.46,11367.46,
01,10017,0118489,3601-3602,4991.78,18808.87,23800.65,
01,10017,0118489,3701-3702,0,0,0,
01,10017,0118489,3751-3752,0,0,0,
01,10017,0118489,3801-3802,0,0,0,
01,10017,0118489,3901-3902,3064.71,22441.97,25506.68,
01,10017,0118489,4100,0,0,0,
01,10017,0118489,4200,23056.98,32437.19,55494.17,
01,10017,0118489,4300,46868.33,73814.17,120682.5,
01,10017,0118489,4400,17668.97,29620.64,47289.61,
01,10017,0118489,4700,121894.06,0,121894.06,
01,10017,0118489,5100,0,0,0,
01,10017,0118489,5200,0,30781.97,30781.97,
01,10017,0118489,5300,345,18667.87,19012.87,
01,10017,0118489,5400,0,17171.88,17171.88,
01,10017,0118489,5500,0,53345.87,53345.87,
01,10017,0118489,5600,0,336378.18,336378.18,
01,10017,0118489,5800,79272.18,95098.29,174370.47,
01,10017,0118489,5900,0,42213.02,42213.02,
01,10017,0118489,6100-6170,0,0,0,
01,10017,0118489,6200,0,0,0,
01,10017,0118489,6300,0,0,0,
01,10017,0118489,6400,0,0,0,
01,10017,0118489,6500,0,0,0,
01,10017,0118489,6900,22424.56,111401.72,133826.28,
01,10017,0118489,7110-7143,0,0,0,
01,10017,0118489,7211-7213,0,0,0,
01,10017,0118489,7221-7223AO,0,0,0,
01,10017,0118489,7221-7223SE,0,0,0,
01,10017,0118489,7281-7299,44680.83,125225.8,169906.63,
01,10017,0118489,7438,0,0,0,
01,10017,0118489,7439,0,0,0,
01,10017,0118489,7630-7699,0,0,0,
01,10017,0118489,8011,0,0,0,
01,10017,0118489,8012,0,527754,527754,
01,10017,0118489,8015,0,1939651,1939651,
01,10017,0118489,8019,0,2378,2378,
01,10017,0118489,8020-8039,0,0,0,
01,10017,0118489,8040-8079,0,0,0,
01,10017,0118489,8080-8089,0,0,0,
