CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3801-3802,3901-3902,4100,4200,4300,4400,4700,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7438,7439,7630-7699,8011,8015,8019,8020-8039,8040-8079,8080-8089,"8091, 8097",8092,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9400-9499,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9730,9740,9770,"9775, 9780",9790,9791,"9793, 9795",LocalRevAO,StateRevAO,StateRevSE
61119010130625,306024.54,0.0,77746.98,0.0,14551.2,31479.04,51220.03,38010.08,7797.08,0.0,0.0,7639.01,29715.57,7597.29,15350.82,32663.39,0.0,0.0,17332.41,0.0,10381.64,0.0,3941.96,4525.82,6237.92,6994.0,20101.25,19116.26,90051.05,11926.41,0.0,0.0,0.0,0.0,1835.76,0.0,7089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406510.0,-59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121819.4,0.0,0.0,0.0,0.0,57068.94,15000.0,0.0,5238.87,0.0,0.0,7399.79,0.0,0.0,0.0,0.0,0.0,0.0,5238.87,0.0,0.0,0.0,0.0,0.0,186488.55,230494.48,0.0,130700.6,19051.05,0.0
61259010100065,575316.87,0.0,68750.0,0.0,0.0,0.0,0.0,28093.5,31056.0,28063.52,0.0,33952.77,99256.27,3034.78,17195.15,0.0,0.0,0.0,28083.36,15539.19,43388.66,23711.93,2291.28,29611.06,4852.52,7039.85,21549.91,148664.67,232191.19,4557.79,0.0,0.0,0.0,0.0,0.0,74450.17,0.0,0.0,0.0,0.0,1576.27,0.0,0.0,0.0,871840.0,0.0,0.0,0.0,0.0,0.0,0.0,162364.0,0.0,0.0,0.0,14507.0,0.0,0.0,0.0,175680.29,73.72,0.0,0.0,0.0,227677.24,0.0,0.0,21924.43,12435.0,117212.64,232987.2,0.0,0.0,0.0,0.0,73.72,0.0,21924.43,0.0,0.0,0.0,0.0,0.0,300017.97,115163.09,132139.91,2474.0,130774.83,0.0
61259010100123,120000.0,0.0,15000.0,0.0,0.0,6576.41,30916.56,27766.66,92092.29,0.0,0.0,12362.07,9339.48,15980.54,12800.22,0.0,0.0,0.0,5689.61,6851.58,11345.6,4446.19,5152.59,1225.0,225.0,1799.0,35191.19,68078.49,69541.17,3168.15,0.0,0.0,0.0,0.0,0.0,25678.0,0.0,0.0,0.0,30382.82,0.0,0.0,0.0,0.0,290882.0,0.0,0.0,0.0,0.0,0.0,0.0,11257.54,0.0,0.0,35452.19,0.0,0.0,0.0,0.0,140829.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,20716.0,75073.19,1311.2,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,235307.22,196872.82,66840.18,33729.82,51379.29,0.0
61259010101469,298448.49,0.0,180534.25,0.0,10911.28,54024.0,2000.0,77409.56,0.0,31411.29,0.0,8557.82,46434.53,2835.65,17984.02,0.0,0.0,28032.6,35504.19,0.0,33424.13,69396.64,10865.8,10416.15,330.0,1912.0,0.0,91808.85,72988.09,7773.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30591.0,0.0,0.0,0.0,0.0,381166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47612.0,948659.56,0.0,0.0,0.0,731999.93,0.0,0.0,0.0,0.0,99380.98,0.0,0.0,5020.27,68750.0,0.0,243152.69,0.0,50000.0,0.0,200000.0,0.0,0.0,5020.27,0.0,0.0,0.0,0.0,0.0,406978.22,0.0,0.0,0.0,20807.0,0.0
61259010106468,96551.38,0.0,0.0,0.0,13000.0,0.0,0.0,0.0,0.0,0.0,0.0,4248.0,6372.0,3282.0,2847.0,7385.0,0.0,0.0,5000.0,2500.0,2038.0,0.0,0.0,205.0,0.0,8000.0,4000.0,14436.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104393.0,0.0,0.0,0.0,0.0,0.0,0.0,14513.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9719.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9719.95,300.4,7785.6,5161.07,0.0,0.0
61259010106906,515206.16,0.0,0.0,0.0,0.0,0.0,0.0,80999.88,0.0,2498.1,0.0,48096.54,89960.65,5359.61,13486.97,1050.82,0.0,2159.21,5878.13,210.56,37514.25,12108.96,16801.32,3318.23,3461.9,3551.12,47002.79,216901.02,76143.24,14275.66,0.0,0.0,0.0,0.0,0.0,1505.75,0.0,979.09,0.0,0.0,0.0,0.0,0.0,0.0,474901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62548.0,254918.17,0.0,0.0,0.0,69133.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69133.96,49668.49,8641.51,121596.3,50407.17,0.0
61259010107169,160382.0,0.0,64166.67,0.0,0.0,0.0,112717.33,21400.0,0.0,18525.27,0.0,19159.12,19440.0,0.0,12553.31,0.0,0.0,0.0,10315.49,0.0,26501.06,16873.26,2121.59,0.0,359.52,3568.0,1412.64,93739.75,199206.65,5813.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378139.31,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,38612.0,0.0,0.0,0.0,0.0,133600.26,0.0,0.0,0.0,0.0,0.0,104855.31,0.0,0.0,0.0,0.0,73470.51,0.0,0.0,0.0,163786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1199.06,49243.41,-49008.41,103600.0,26445.47,0.0
61259010108803,606291.89,0.0,102942.13,0.0,33656.0,0.0,0.0,60336.73,38882.95,47328.99,18335.92,26022.17,74752.97,9486.36,22083.25,0.0,0.0,6169.0,0.0,22490.56,99871.01,19460.03,15943.98,20303.99,274.0,2427.48,25354.65,148319.7,46093.75,8697.72,0.0,0.0,0.0,0.0,0.0,42366.41,0.0,0.0,0.0,97287.0,0.0,0.0,0.0,0.0,839104.0,2322.0,0.0,0.0,0.0,0.0,0.0,235191.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51368.45,0.0,0.0,0.0,0.0,280735.16,0.0,0.0,0.0,10000.0,122142.33,78454.93,0.0,126000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259791.01,0.0,159550.0,72022.67,164620.14,0.0
61259010108852,181956.68,0.0,92045.69,0.0,281.0,0.0,183.59,38330.3,16759.87,20606.05,5120.3,8474.56,27364.35,4865.83,19225.67,0.0,0.0,2977.48,0.0,31128.84,20903.33,103919.95,9944.25,2300.93,245.0,1698.72,14123.59,79892.64,59320.93,5218.09,0.0,0.0,0.0,0.0,0.0,3652.2,0.0,0.0,0.0,9554.0,0.0,0.0,0.0,0.0,267491.0,0.0,0.0,0.0,0.0,0.0,0.0,82901.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217667.36,0.0,0.0,0.0,0.0,91234.63,0.0,0.0,0.0,0.0,27860.02,49979.3,0.0,60000.0,31959.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194823.3,0.0,0.0,468850.05,11535.28,0.0
61259010108944,134100.87,14336.51,0.0,0.0,26500.04,14815.9,13238.69,0.0,0.0,0.0,0.0,3151.25,10079.1,759.87,6262.26,0.0,0.0,15605.03,3466.0,3077.12,22348.57,5427.69,1555.36,2519.36,589.57,1282.3,7811.18,67682.27,69889.0,2509.08,0.0,0.0,0.0,0.0,0.0,11430.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210832.0,0.0,0.0,0.0,0.0,0.0,0.0,67500.0,0.0,0.0,19057.19,0.0,0.0,0.0,0.0,3744.29,0.0,0.0,0.0,0.0,89072.9,0.0,0.0,3727.27,2158.81,12000.0,66414.63,0.0,0.0,35257.8,0.0,0.0,0.0,3727.27,0.0,0.0,0.0,0.0,0.0,5303.56,0.0,0.0,28611.0,14610.73,0.0
