CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3751-3752,3901-3902,4100,4200,4300,4400,4700,5100,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7281-7299,7438,7439,7630-7699,8011,8012,8019,"8091, 8097",8096,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9740,9750,9760,9780,9789,9790A,9790M,9791,"9793, 9795",9796,9797,LocalRevAO,StateRevAO,StateRevSE
01100170112607,1149494.0,110401.0,356017.0,0.0,41674.0,110271.0,0.0,76482.0,0.0,142663.0,0.0,39619.0,193672.0,19553.0,19581.0,1004.0,0.0,-673.0,2703.0,8582.0,39334.0,33650.0,7956.0,0.0,4642.0,1105.0,26759.0,107513.0,345150.0,160853.0,12159.0,0.0,0.0,0.0,0.0,0.0,139365.0,0.0,0.0,0.0,0.0,0.0,24835.0,0.0,525000.0,1746929.0,592242.0,0.0,0.0,653304.0,108911.0,42541.0,0.0,0.0,4000.0,0.0,0.0,0.0,111819.0,0.0,0.0,0.0,0.0,0.0,447225.0,0.0,3750.0,3602.0,311065.0,0.0,0.0,117500.0,332123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111819.0,0.0,204277.0,-117500.0,0.0,0.0,54753.0,323001.0,198725.0
01100170118489,703643.48,315086.93,105023.96,0.0,79665.79,73145.36,0.0,52396.44,81471.91,98900.03,26597.82,38813.86,147630.15,4253.77,13077.32,0.0,0.0,21455.76,0.0,9492.14,71759.97,80611.25,36382.67,0.0,26364.84,18473.0,15286.83,27858.5,171325.18,240244.76,16015.12,0.0,0.0,0.0,0.0,0.0,21401.76,0.0,0.0,0.0,0.0,148981.9,0.0,0.0,0.0,1453062.0,348954.0,1041.0,0.0,-1885.58,224965.23,67252.0,37935.12,143563.0,0.0,0.0,0.0,0.0,244341.99,0.0,0.0,0.0,0.0,379622.58,0.0,0.0,15637.97,11000.0,410473.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232515.75,0.0,482906.25,-2.25,115005.98,7613.46,5642.35,55404.45,181658.12
01100170123968,409724.69,238.5,234453.05,0.0,267368.38,0.0,51453.69,25403.36,0.0,54415.98,0.0,37730.6,100877.25,17545.66,13096.17,0.0,0.0,0.0,499.19,2187.47,21850.75,11330.57,0.0,0.0,15389.53,2723.41,22349.59,102924.05,105609.96,344559.07,5692.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5647.28,0.0,0.0,740381.0,256061.0,0.0,0.0,340350.0,0.0,21032.0,0.0,51308.0,0.0,0.0,0.0,0.0,220531.38,0.0,0.0,0.0,0.0,245056.21,0.0,0.0,15017.26,0.0,95421.48,0.0,33943.0,0.0,62500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186652.47,0.0,170682.94,104873.06,0.0,102092.0,283119.64,34611.55,139396.0
01100170124172,898108.57,0.0,88000.08,23000.01,97714.22,0.0,208701.12,0.0,35300.13,82462.23,0.0,42838.76,114275.33,12657.98,16712.13,0.0,0.0,728.0,32174.29,5949.62,52944.55,22842.21,81347.85,0.0,10049.68,1970.0,11990.82,35472.35,174685.53,789782.4,12934.63,0.0,0.0,0.0,0.0,0.0,11463.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1295293.0,338737.0,-61.0,0.0,0.0,0.0,27057.0,0.0,0.0,0.0,0.0,0.0,0.0,458678.46,0.0,0.0,0.0,0.0,315040.49,0.0,0.0,10729.0,30000.0,180745.83,0.0,62498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550347.87,0.0,717415.65,0.0,0.0,34612.61,750028.18,184825.78,135771.0
01100170125567,563110.1,0.0,109166.63,0.0,351734.53,0.0,57999.96,33977.26,53642.8,78000.87,0.0,34135.55,125391.13,14333.68,12800.61,0.0,0.0,0.0,0.0,11859.93,38228.29,28929.02,80128.7,0.0,4057.07,3937.0,21264.51,100685.74,112647.64,596287.39,12218.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926523.0,354511.0,3057.19,0.0,473423.0,0.0,26895.0,50620.04,40071.0,0.0,0.0,0.0,0.0,159970.24,0.0,0.0,0.0,0.0,358439.98,0.0,0.0,14150.5,0.0,208496.06,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172812.66,0.0,21107.7,-2557.5,0.0,51252.0,537025.23,61683.12,176242.83
01100176001788,1805306.0,0.0,85000.0,0.0,0.0,201561.0,127141.0,142977.0,0.0,154783.0,44119.0,67079.0,425940.0,22759.0,42574.0,0.0,0.0,0.0,60825.0,0.0,74165.0,39702.0,17591.0,0.0,11709.0,4172.0,2790.0,92112.0,201006.0,1979754.0,26176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2711176.0,765916.0,0.0,0.0,1017886.0,34848.0,129321.0,0.0,236379.0,0.0,0.0,0.0,0.0,834391.0,0.0,0.0,0.0,0.0,621641.0,0.0,0.0,219.0,0.0,717893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737148.0,0.0,883226.0,-23190.0,2226.0,0.0,3487.0,198144.0,411422.0
01100176002000,1197234.0,0.0,192500.0,0.0,0.0,100718.0,35762.0,162917.0,0.0,112730.0,33928.0,49384.0,324704.0,17268.0,28382.0,0.0,0.0,0.0,65883.0,121.0,71485.0,60429.0,12953.0,0.0,5604.0,2510.0,2126.0,147987.0,181031.0,831150.0,20727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1840486.0,573025.0,0.0,0.0,759562.0,24530.0,50494.0,0.0,189388.0,0.0,0.0,0.0,0.0,1109789.0,0.0,0.0,0.0,0.0,404143.0,0.0,0.0,918.0,0.0,296091.0,0.0,1210000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8759.0,0.0,848907.77,-1114935.77,0.0,0.0,10732.0,257006.0,227097.0
01611190119222,1617593.53,0.0,353539.24,66441.21,57377.9,0.0,109059.25,0.0,78467.82,169736.88,28525.9,54518.9,173385.89,26263.54,24722.3,0.0,0.0,0.0,7299.93,8799.89,71789.28,57309.03,43253.23,0.0,5881.78,5505.92,14624.83,111699.58,27159.88,807884.92,10965.55,0.0,0.0,0.0,0.0,0.0,5709.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1504431.0,660704.0,-7846.24,0.0,1005797.0,-2.0,64049.0,37750.3,0.0,0.0,0.0,0.0,0.0,887844.96,0.0,0.0,0.0,0.0,646358.39,0.0,0.0,59142.87,16846.47,305081.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271726.43,0.0,1347363.13,-83446.85,0.0,50979.0,306425.54,126471.71,298525.0
01611190122085,1434136.92,143992.62,310831.1,14799.96,92131.0,0.0,111750.04,119716.46,131387.09,162261.02,0.0,63336.66,248741.51,27332.59,23624.93,3562.49,0.0,1146.0,0.0,53755.5,126278.48,79197.4,11109.29,0.0,22889.88,12347.37,29619.25,116570.11,58427.19,586045.5,21330.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1539411.0,684494.0,-2120.0,0.0,1060012.0,0.0,62786.0,0.0,91139.0,0.0,0.0,0.0,0.0,1021715.86,0.0,0.0,0.0,0.0,533009.85,0.0,0.0,50545.11,4392.2,315055.22,0.0,20000.0,0.0,0.0,0.0,0.0,50545.11,0.0,0.0,0.0,0.0,0.0,166572.0,0.0,1057490.69,1126766.0,-2428.0,0.0,0.0,230627.38,242307.71,247933.38
01611190130609,985719.96,0.0,312490.46,77751.08,58687.02,0.0,28070.72,55672.3,210.0,110730.31,24369.28,36229.1,97802.46,11793.82,16909.81,0.0,0.0,0.0,29669.66,11121.89,77031.69,128695.24,17329.34,0.0,2735.51,8622.87,16753.51,93224.58,29040.07,567516.71,11120.66,0.0,0.0,0.0,0.0,0.0,3973.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1181613.0,544012.0,-6649.1,0.0,783847.0,174.77,78122.0,12977.4,0.0,0.0,0.0,0.0,0.0,1063060.61,0.0,0.0,0.0,0.0,527302.98,0.0,0.0,35243.95,0.0,216402.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379847.03,0.0,1165037.31,-37957.29,0.0,50603.0,239150.17,90023.77,193371.0
