CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3751-3752,3901-3902,4100,4200,4300,4400,4700,5100,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7281-7299,7438,7439,7630-7699,8011,8012,8019,"8091, 8097",8096,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9740,9750,9760,9780,9789,9790A,9790M,9791,"9793, 9795",9796,9797,LocalRevAO,StateRevAO,StateRevSE
01611190130625,433500.59,51529.04,111880.28,0.0,74804.05,99522.27,27003.49,169019.74,213078.19,0.0,0.0,16724.71,96002.28,18001.94,22836.61,71635.78,20771.56,4564.45,0.0,7973.01,22002.91,10107.29,74148.36,3000.0,26006.9,6176.17,10063.24,42976.66,198353.48,238830.22,11526.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80449.0,0.0,0.0,12165.89,0.0,0.0,936571.0,235273.0,9299.0,0.0,368378.0,39576.0,0.0,0.0,0.0,103866.0,0.0,0.0,0.0,101658.11,0.0,0.0,0.0,0.0,382144.14,0.0,0.0,0.0,0.0,159339.61,0.0,66159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460947.85,0.0,599021.09,-205257.79,175670.17,0.0,252598.58,379077.63,92870.27
01611190131805,199078.8,14545.48,209633.53,0.0,55966.26,0.0,0.0,21530.0,6590.35,45409.07,0.0,12862.14,36171.49,6481.41,3707.67,0.0,0.0,2388.65,2076.16,55415.29,41612.95,92528.77,2912.16,0.0,10328.94,2950.53,3918.35,14149.75,10011.89,109023.74,12318.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356472.0,13542.0,0.0,0.0,169219.0,375000.0,0.0,0.0,10993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268866.21,0.0,0.0,2778.86,13820.04,71603.96,0.0,187504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26357.15,0.0,0.0,0.0,0.0,0.0,27904.64,10958.87,33880.0
01611430122689,1103372.45,125848.91,212724.84,94670.53,70914.78,10850.41,38064.39,132791.37,32924.6,155723.97,0.0,47468.27,132620.48,17279.57,29139.19,0.0,0.0,0.0,273.05,15254.09,38810.23,9824.17,81115.51,0.0,24080.25,117.68,19530.43,97367.17,565832.12,321127.62,15912.16,0.0,0.0,0.0,0.0,0.0,162570.33,0.0,0.0,0.0,0.0,0.0,10141.8,0.0,0.0,737980.0,392454.0,24019.0,0.0,1110620.0,87894.0,38750.0,64242.08,0.0,0.0,0.0,0.0,0.0,-202905.13,0.0,0.0,0.0,0.0,0.0,408620.96,0.0,37381.51,10000.0,273560.34,9123.73,65688.38,0.0,1929291.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1164859.83,0.0,-841550.8,-0.2,0.0,17950.0,175847.49,464207.97,164977.0
01611430122697,1326820.59,80613.71,197092.86,152219.89,120469.57,6719.0,71209.9,179372.09,41802.8,187719.36,0.0,58099.46,159295.2,17648.04,29141.18,0.0,0.0,0.0,8599.55,1461.35,43705.77,9968.38,72826.24,0.0,24207.9,2707.86,19530.43,185215.3,34786.02,342979.24,10687.83,0.0,0.0,0.0,0.0,0.0,45498.25,0.0,0.0,0.0,0.0,0.0,3320.32,0.0,0.0,1295516.0,542643.0,27057.0,0.0,1251126.0,89332.0,45125.0,50146.51,0.0,0.0,0.0,0.0,0.0,353680.57,0.0,0.0,0.0,0.0,0.0,471878.65,0.0,0.0,707093.81,191842.4,62237.27,65688.39,0.0,1231036.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219500.97,0.0,-174639.96,-2.04,0.0,25224.0,41808.97,301140.58,209190.0
01611920108670,1446034.0,331180.0,361200.0,0.0,74419.0,59572.0,0.0,325381.0,60500.0,220875.0,0.0,38564.0,328121.0,2202.0,48093.0,0.0,0.0,48170.0,17286.0,0.0,72442.0,45469.0,85035.0,198809.0,50622.0,9282.0,27472.0,128661.0,341193.0,134493.0,33452.0,0.0,0.0,0.0,0.0,0.0,236690.0,0.0,48069.0,906192.0,13108.0,0.0,15977.0,0.0,0.0,2795384.0,818808.0,49591.0,0.0,1192696.0,95209.0,63526.0,50076.0,107666.0,0.0,0.0,0.0,0.0,1666926.0,0.0,0.0,0.0,136122.0,948658.0,0.0,0.0,43704.0,0.0,634009.0,0.0,0.0,20838.0,339787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3452818.0,0.0,2921037.0,57340.0,6217.0,62246.0,110495.0,703834.0,264182.0
01611920113902,1423057.0,91465.0,375705.0,0.0,50799.0,14050.0,0.0,100183.0,0.0,203108.0,0.0,39248.0,176022.0,22233.0,22502.0,2061.0,0.0,-738.0,6165.0,1166.0,56829.0,38234.0,15332.0,0.0,19848.0,789.0,27267.0,115043.0,95265.0,260584.0,54131.0,0.0,0.0,0.0,0.0,0.0,49545.0,0.0,0.0,0.0,0.0,932821.0,0.0,0.0,0.0,2458256.0,694755.0,0.0,0.0,1011997.0,98175.0,58639.0,0.0,123276.0,0.0,0.0,0.0,0.0,729597.0,0.0,0.0,0.0,0.0,650764.0,536826.0,0.0,17315.0,5120.0,473510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2110262.0,0.0,517309.0,0.0,0.0,0.0,897484.0,178742.0,264343.0
01611920119248,528556.94,0.0,0.0,30792.3,208703.9,0.0,229881.3,42000.0,80488.46,34526.34,0.0,62817.46,89938.71,14847.6,15626.0,0.0,0.0,10786.82,0.0,33352.79,62243.37,10982.52,15639.23,37083.56,20976.09,6076.58,9646.0,31348.91,14463.11,174414.95,1668.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45709.46,0.0,0.0,0.0,0.0,0.0,752475.0,282623.0,21667.0,0.0,490359.0,0.0,40592.0,0.0,0.0,0.0,0.0,0.0,0.0,751321.75,0.0,0.0,0.0,0.0,290674.23,0.0,0.0,-561.53,0.0,39084.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042519.45,0.0,691722.66,138236.0,0.0,0.0,192885.56,158945.73,85584.0
01611920127696,1581451.75,0.0,266198.0,275913.2,105147.54,0.0,0.0,156743.96,127054.11,226173.08,0.0,59818.22,86906.06,32044.1,48240.16,9791.26,0.0,514.65,151586.67,0.0,37413.57,82533.03,28535.32,0.0,21974.44,3518.41,32830.0,122240.08,334791.4,928755.8,7758.79,0.0,0.0,0.0,0.0,0.0,7479.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3094400.0,99576.0,0.0,0.0,1153563.0,34386.56,0.0,0.0,132289.0,0.0,0.0,0.0,0.0,566362.4,0.0,0.0,0.0,0.0,986279.56,0.0,0.0,9960.61,0.0,945590.04,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636948.9,0.0,433716.71,0.0,0.0,0.0,28953.41,395476.96,0.0
01611920127944,666788.68,68995.06,0.0,47581.22,0.0,0.0,103333.68,42125.21,0.0,82784.98,0.0,21201.44,72408.41,7820.61,7511.17,0.0,0.0,11266.56,0.0,7302.5,21288.07,24723.9,0.0,0.0,69805.39,8131.77,12359.5,58224.75,87281.54,157260.14,1980.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,0.0,0.0,1003288.0,30378.0,11255.0,0.0,351922.0,131460.73,13528.0,0.0,0.0,0.0,0.0,0.0,0.0,59942.57,0.0,0.0,0.0,0.0,14068.2,202860.17,0.0,8318.2,0.0,19787.5,13856.0,65000.0,0.0,173371.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13173.65,0.0,-233188.16,4.16,0.0,0.0,96863.6,99204.28,89027.0
01612000107839,3401898.41,272261.89,284954.25,0.0,615775.14,260887.57,0.0,210644.22,67347.0,411729.7,0.0,141990.01,724389.26,54383.81,10665.78,0.0,0.0,-53786.28,888.68,3886.19,373220.34,42483.75,9836.15,0.0,28131.04,7160.16,193913.48,470138.65,660111.35,2068992.19,109749.41,0.0,0.0,0.0,0.0,0.0,363125.85,0.0,0.0,0.0,0.0,0.0,2513213.0,0.0,0.0,2477427.4,1433999.0,5353.6,0.0,3653706.0,95612.02,200833.0,28035.16,0.0,0.0,0.0,0.0,0.0,-368247.23,0.0,2246013.0,0.0,131.0,40527.66,1766919.64,0.0,15835.58,1474327.0,1935287.27,0.0,0.0,0.0,44047542.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598123.68,0.0,2237377.08,893037.92,0.0,100588.0,1513243.94,859523.56,548554.0
