,school_name,state_name_public_school_latest_available_year,full-time_equivalent_fte_teachers_public_school_2012-13,full-time_equivalent_fte_teachers_public_school_2011-12,full-time_equivalent_fte_teachers_public_school_2010-11,pupil/teacher_ratio_public_school_2012-13,pupil/teacher_ratio_public_school_2011-12,pupil/teacher_ratio_public_school_2010-11,school_id_-_nces_assigned_public_school_latest_available_year
65,ACCELERATED,California,27,23.5,,28.63,30.17,,62271003245
66,ACCELERATED ACHIEVEMENT ACADEMY,California,7.73,7.66,,21.35,21.8,,64030010552
67,ACCELERATED ACHIEVEMENT ACADEMY,California,3.25,3.31,,28.92,28.1,,61734012565
68,ACCELERATED ELEMENTARY CHARTER,California,10,5,,24.7,33.4,,62271010830
69,ACCESS COUNTY COMMUNITY,California,155.5,151,,26.24,29.31,,69102410567
70,ACCESS JUVENILE HALL,California,72.5,70,,15.46,17.2,,69102409236
71,ACE CHARTER HIGH,California,4,,,24.75,,,61182013023
72,ACE EMPOWER ACADEMY,California,13,13,,35.85,27.62,,69103512198
73,ACHIEVE ACADEMY,California,8.28,8.34,,27.29,29.38,,62805011561
74,ACHIEVE CHARTER SCHOOL OF PARADISE INC.,California,9,9,,23,23.56,,62982011571
75,ACORN WOODLAND ELEMENTARY,California,14,11.01,,19.07,21.44,,62805010730
76,ADA CLEGG ELEMENTARY,California,22,22,,23.77,22.82,,64215012492
77,ADA GIVENS ELEMENTARY,California,20,19,,23.6,24.21,,62460003686
78,ADA S. NELSON ELEMENTARY,California,17,17,,30.47,29.53,,62289003501
79,ADA W. HARRIS ELEMENTARY,California,18.3,19.05,,20.11,20.21,,60747000706
80,ADALINE E. KENT MIDDLE,California,31.33,31.33,,17.01,16.66,,61938002329
81,ADAM (WILLIAM LAIRD) ELEMENTARY,California,36.5,35,,27.26,26.83,,60558009312
82,ADAMS (J. DOUGLAS) MIDDLE,California,42.01,41,,24.88,25.12,,60591011574
83,ADAMS ELEMENTARY,California,21,26,,27.43,23.31,,63531005981
84,ADAMS ELEMENTARY,California,23,24,,19.52,18.63,,62724009593
85,ADAMS ELEMENTARY,California,,,,,,,63536006015
86,ADAMS ELEMENTARY,California,14.48,20.75,,36.6,26.41,,63801006398
87,ADAMS ELEMENTARY,California,20.01,21,,17.79,15.81,,63432005407
88,ADAMS ELEMENTARY,California,18.48,19.98,,26.89,24.77,,63315005129
89,ADAMS ELEMENTARY,California,24,22.5,,23.54,24.13,,60141406015
90,ADAMS MIDDLE,California,35.79,35.3,,25.76,25.61,,60003204949
91,ADDAMS ELEMENTARY,California,30,31,,28.7,27.29,,61455001703
92,ADDAMS ELEMENTARY,California,32,32,,30.41,29.22,,62250002695
93,ADDISON ELEMENTARY,California,23.7,22.06,,19.75,21.44,,62961004579
94,ADELANTE CHARTER,California,,,,,,,63536008628
95,ADELANTE CHARTER,California,9,10,,25,21.6,,60141408628
96,ADELANTE DUAL LANGUAGE ACADEMY,California,24.75,22.3,,20.65,20.81,,60231011793
97,ADELANTE HIGH,California,1,0.5,,4,14,,63227002047
98,ADELANTE HIGH,California,3.2,3,,20.63,21.33,,60006111814
99,ADELANTE HIGH (CONTINUATION),California,11.95,12.05,,14.23,11.37,,63363005189
100,ADELANTE SPANISH IMMERSION,California,21.2,21.6,,26.75,26.81,,63213007421
101,ADELANTO CHARTER ACADEMY,California,,1,,,43,,60171012454
102,ADELANTO ELEMENTARY,California,19,20,,30.05,28.2,,60171000038
103,ADELANTO HIGH,California,35.5,,,27.97,,,63697212990
104,ADELE HARRISON MIDDLE,California,21.8,21.04,,20.78,21.34,,63720010436
105,ADOBE BLUFFS ELEMENTARY,California,17,17,,23.24,22.35,,63153001203
106,ADOLFO CAMARILLO HIGH,California,90.63,93.84,,27.82,26.57,,62927004516
107,ADRIAN WILCOX HIGH,California,83.25,83.35,,22.22,22.46,,63543006055
108,ADULT EDUCATION,California,,,,,,,60813012588
109,ADULT EDUCATION,California,,,,,,,61488012598
110,AEOLIAN ELEMENTARY,California,19,26,,29.37,20.69,,62289003499
111,AFFLERBAUGH-PAIGE CAMP,California,18,12.5,,10.11,11.28,,69107812710
112,AGGELER COMMUNITY DAY,California,8,9.01,,10.25,9.21,,62271011315
113,AGNES J. JOHNSON  ELEMENTARY,California,3,3,,20.67,16,,63759006363
114,AGNES L. SMITH ELEMENTARY,California,32,30,,26.63,29.53,,61803002224
115,AGNES M. BAPTIST ELEMENTARY,California,19.07,21,,28.47,28.43,,63795009643
116,AGNES WARE STANLEY ELEMENTARY,California,15,16,,26,25.88,,61488001882
117,AGOURA HIGH,California,90.49,87.4,,24.09,24.99,,62100002518
118,AGUA CALIENTE ELEMENTARY,California,23,24,,27.78,27.33,,62955004559
119,AGUA DULCE ELEMENTARY,California,6.8,8.7,,25.59,23.33,,60000106294
120,AHWAHNEE HIGH,California,1.17,1.17,,15.38,17.95,,60016007902
121,AHWAHNEE MIDDLE,California,32.81,31.8,,19.72,22.83,,61455001704
122,AILEEN COLBURN ELEMENTARY,California,18,16,,24.89,24.81,,60342000256
123,AKERS ELEMENTARY,California,35,36,,19.06,19.69,,60798000765
124,AKIRA YOKOMI ELEMENTARY,California,31,32,,27.45,27.34,,61455010778
125,ALABAMA HILLS COMMUNITY DAY,California,,,,,,,69101108490
126,ALAIN LEROY LOCKE COLLEGE PREP ACADEMY,California,42,36.4,,19.26,21.46,,62271012248
127,ALAMEDA COMMUNITY LEARNING CENTER,California,12.37,9.94,,24.49,30.99,,60177008673
128,ALAMEDA COUNTY COMMUNITY,California,13,10,,16.15,18.2,,69105106830
129,ALAMEDA COUNTY JUVENILE HALL/COURT,California,25,23,,7.72,9.7,,69105109264
130,ALAMEDA COUNTY OPPORTUNITY,California,3,3,,21,25.67,,69105109265
