,school_name,state_name_public_school_latest_available_year,full-time_equivalent_fte_teachers_public_school_2012-13,full-time_equivalent_fte_teachers_public_school_2011-12,full-time_equivalent_fte_teachers_public_school_2010-11,pupil/teacher_ratio_public_school_2012-13,pupil/teacher_ratio_public_school_2011-12,pupil/teacher_ratio_public_school_2010-11,school_id_-_nces_assigned_public_school_latest_available_year
2028,CORDOVA MEADOWS ELEMENTARY,California,14.6,14,,24.18,25.71,,61389001567
2029,CORDOVA VILLA ELEMENTARY,California,20.42,21.8,,21.74,21.33,,61389001569
2030,CORDUA ELEMENTARY,California,3.5,4,,24.29,23,,62409003624
2031,CORE BUTTE CHARTER,California,25.48,23.69,,22.72,22.58,,69100211953
2032,CORE LEARNING ACADEMY AT CONLEY-CARABALLO HIGH,California,9.6,10,,24.06,20.1,,62691011551
2033,CORE PLACER CHARTER,California,11.33,11.5,,22.24,19.83,,60930012392
2034,CORNELL ELEMENTARY,California,28.4,27.7,,20.77,20.29,,60186000061
2035,CORNERSTONE ACADEMY PREPARATORY,California,10,8,,25.4,26.13,,61437012639
2036,CORNERSTONE AT PEDREGAL ELEMENTARY,California,16,16,,25.06,24.75,,62970003247
2037,CORNERSTONE PREP CHARTER,California,,,,,,,62271011363
2038,CORNING HIGH,California,42.99,45.31,,21.31,21.45,,60981001044
2039,CORNING-CENTER ALTERNATIVE LEARNING,California,1,1,,8,9,,60981007460
2040,CORONA AVENUE ELEMENTARY,California,42,45,,23.95,22.73,,62271002938
2041,CORONA CREEK ELEMENTARY,California,21,21.5,,22.05,21.26,,64179007457
2042,CORONA DEL MAR HIGH,California,89.7,88.4,,27.57,27.6,,62724004109
2043,CORONA ELEMENTARY,California,35.1,34.5,,18.89,19.39,,62847004390
2044,CORONA FUNDAMENTAL INTERMEDIATE,California,42.01,42,,27.56,26.83,,60985001048
2045,CORONA HIGH,California,122.1,119.85,,25.54,26.91,,60985001049
2046,CORONA RANCH ELEMENTARY,California,39.5,41,,27.52,26.54,,60985010580
2047,CORONA VISTA HIGH,California,1,2.1,,4,7.14,,60985000905
2048,CORONA-NORCO ALTERNATIVE,California,5.95,6,,20.34,25.33,,60985001047
2049,CORONADO ELEMENTARY,California,18,19,,25.89,23.74,,63255005015
2050,CORONADO HIGH,California,56.7,53.2,,19.93,20.39,,60987001071
2051,CORONADO HIGH (CONTINUATION),California,13.8,14.1,,14.06,16.24,,64200006876
2052,CORONADO MIDDLE,California,31.5,29.2,,25.24,26.13,,60987001072
2053,CORONADO PATHWAYS CHARTER,California,,,,,,,60987013204
2054,CORONADO VILLAGE ELEMENTARY,California,37,35,,24.78,26.31,,60987001070
2055,CORONITA ELEMENTARY,California,27.75,29.5,,24.29,24.98,,60985001050
2056,CORREIA MIDDLE,California,36.38,38.8,,21.5,21.57,,63432005437
2057,CORTADA ELEMENTARY,California,18,18,,26.78,27.44,,61209001348
2058,CORTE MADERA,California,27.6,30.54,,13.99,12.61,,63147004881
2059,CORTEZ ELEMENTARY,California,27,30,,28.78,25.83,,63132011672
2060,CORVALLIS ELEMENTARY,California,28.04,27.48,,23.43,23.07,,63471005848
2061,CORVALLIS MIDDLE,California,35,37,,23.71,24.08,,62769002145
2062,COSTA MESA HIGH,California,66.6,66.5,,25.8,25.46,,62724004110
2063,COSTANO ELEMENTARY,California,30.67,33.5,,19.24,17.52,,63186004915
2064,COSTANOA CONTINUATION HIGH,California,5.9,7.5,,18.98,14.8,,63560006064
2065,COSUMNES OAKS HIGH,California,79.47,74.4,,22.93,22.78,,61233012274
2066,COSUMNES RIVER ELEMENTARY,California,20,20,,25.25,25.55,,61233001394
2067,COTTAGE ELEMENTARY,California,11.27,18.9,,27.06,17.62,,63462005765
2068,COTTAGE HILL ELEMENTARY,California,25.22,24.5,,22.52,22.04,,63093007330
2069,COTTONWOOD CANYON ELEMENTARY,California,36,37,,25.33,23.86,,60002710587
2070,COTTONWOOD COMMUNITY DAY,California,,,,,,,60999011466
2071,COTTONWOOD COMMUNITY DAY,California,2,1,,5,10,,62610007309
2072,COTTONWOOD CREEK CHARTER,California,6.3,3.05,,24.13,42.3,,60999012647
2073,COTTONWOOD CREEK ELEMENTARY,California,24,26,,29.79,27,,64116011824
2074,COTTONWOOD ELEMENTARY,California,19,23,,26.74,26.04,,64212010141
2075,COTTONWOOD ELEMENTARY,California,11,11.6,,21.36,21.55,,61692002150
2076,COTTONWOOD ELEMENTARY,California,29,29,,28.34,30.41,,60001409081
2077,COUGAR SPRINGS COMMUNITY DAY,California,1,,,2,,,60011611163
2078,COULTERVILLE HIGH,California,1,1,,4,1,,62394009576
2079,COULTERVILLE-GREELEY ELEMENTARY,California,,,,,,,62394003599
2080,COUNTRY CLUB ELEMENTARY,California,26.1,28.04,,20.73,20.61,,63513005945
2081,COUNTRY HIGH,California,9.9,9.5,,20,19.26,,64059006698
2082,COUNTRY LANE ELEMENTARY,California,33.27,31.8,,22.21,21.79,,62577003853
2083,COUNTRY SPRINGS ELEMENTARY,California,22.15,22.83,,25.37,25.05,,60846003822
2084,COUNTRYSIDE COMMUNITY DAY,California,2.02,2,,15.35,11,,63993011528
2085,COUNTY COMMUNITY,California,20.65,25.2,,12.4,11.9,,69103507782
2086,COUNTY COMMUNITY,California,11.95,10.9,,10.88,9.45,,69100109474
2087,COUNTY COMMUNITY,California,1,,,3,,,69100612669
2088,COURREGES (ROCH) ELEMENTARY,California,27.5,23.5,,26.98,27.45,,61422001622
2089,COVILLAUD ELEMENTARY,California,19.8,21,,25.51,24.48,,62409003632
2090,COVINA HIGH,California,53.5,53.1,,26.11,27.27,,61005001093
2091,COVINGTON ELEMENTARY,California,24.11,21.99,,20.74,22.69,,62265011202
2092,COWAN AVENUE ELEMENTARY,California,12,14,,25.5,23.64,,62271002940
2093,COX (JAMES H.) ELEMENTARY,California,27.5,26.5,,26.33,26.19,,61422001623
2094,COX ACADEMY,California,25,25,,22.64,22,,69105104257
2095,COX BAR ELEMENTARY,California,1.06,1.5,,9.43,8,,61008001109
2096,COX ELEMENTARY,California,19,21,,29.26,27.76,,60903008811
2097,COYLE AVENUE ELEMENTARY,California,16.93,19.3,,23.69,20.98,,63462005767
2098,COYOTE CANYON ELEMENTARY,California,27,25.9,,28.59,29.85,,60795009122
2099,COYOTE CREEK ELEMENTARY,California,46.6,41.73,,22.32,22.67,,63513008461
2100,COYOTE RIDGE ELEMENTARY,California,36,39.2,,24.92,23.65,,61149010574
2101,COYOTE VALLEY ELEMENTARY,California,9.3,21,,50.43,22.29,,62475000437
2102,CRAFTON ELEMENTARY,California,23.56,24.06,,26.53,25.39,,63207004933
2103,CRAGMONT ELEMENTARY,California,20.53,20.08,,20.26,19.12,,60474006895
2104,CRAIG WILLIAMS ELEMENTARY,California,27.5,27,,31.09,30.04,,60444009115
2105,CRAM ELEMENTARY,California,26.56,24.56,,24.4,26.18,,63207007269
2106,CRAWFORD CHAMPS,California,,21.38,,,16,,63432011150
2107,CRAWFORD HIGH,California,66.81,17.28,,18.1,17.77,,63432011149
2108,CRAWFORD IDEA,California,,17.31,,,18.72,,63432011152
2109,CRAWFORD LAW AND BUSINESS,California,,13.51,,,19.25,,63432011151
2110,CREATIVE ARTS CHARTER,California,15,13.3,,21.87,20.6,,63441003982
2111,CREATIVE CONNECTIONS ARTS ACADEMY,California,29,24.07,,21.76,25.09,,60133211074
2112,CREATIVE PERFORMING AND MEDIA ARTS,California,54.01,55,,17.92,18.71,,63432010635
2113,CREDENCE HIGH,California,3.02,2.5,,8.61,12.4,,62106002530
2114,CREDO HIGH,California,3.81,4.18,,21.78,9.33,,60994012635
2115,CREEK VIEW ELEMENTARY,California,25,24,,26.24,28.21,,62622008914
2116,CREEKSIDE CHARTER,California,5.2,5,,18.08,15,,62712012515
2117,CREEKSIDE EARLY LEARNING CENTER,California,7,9.6,,26.71,24.06,,60210010375
2118,CREEKSIDE ELEMENTARY,California,24,23,,28.42,29.52,,60195007550
2119,CREEKSIDE ELEMENTARY,California,21.5,21,,29.77,30.29,,63153008598
2120,CREEKSIDE ELEMENTARY,California,22.5,23.5,,29.87,28.26,,62580009160
2121,CREEKSIDE ELEMENTARY,California,32.9,29.1,,21.34,21.34,,63513012242
2122,CREEKSIDE ELEMENTARY,California,21.38,23,,25.12,25.57,,62223008879
2123,CREEKSIDE HIGH,California,3,3.61,,17,11.08,,63720002851
2124,CREEKSIDE HIGH,California,11.6,10.5,,13.71,16.1,,68450007063
2125,CREEKSIDE HIGH,California,8.2,10.3,,23.29,23.69,,60002902467
2126,CREEKSIDE MIDDLE,California,45.9,46.7,,25.36,25.37,,63003004704
2127,CREEKSIDE MIDDLE,California,30.9,29.6,,25.24,26.59,,60780006909
2128,CREEKSIDE OAKS ELEMENTARY,California,25.75,27.25,,21.94,23.01,,64214006896
2129,CREEKVIEW RANCH MIDDLE,California,29.1,30.01,,23.47,22.23,,61149012299
2130,CRENSHAW ARTS-TECHNOLOGY CHARTER HIGH,California,14,15.03,,18.93,17.9,,62271011312
2131,CRENSHAW SCI TECH ENGR MATH AND MED MAGNET,California,61.26,91.04,,19.93,15.97,,62271002941
2132,CRESCENDO CHARTER,California,,,,,,,62271010898
2133,CRESCENDO CHARTER ACADEMY,California,,,,,,,62271011658
2134,CRESCENDO CHARTER CONSERVATORY,California,,,,,,,62271011663
2135,CRESCENDO CHARTER PREPARATORY CENTRAL,California,,,,,,,62271012149
2136,CRESCENDO CHARTER PREPARATORY SOUTH,California,,,,,,,62271012124
2137,CRESCENDO CHARTER PREPARATORY WEST,California,,,,,,,62271012141
2138,CRESCENT ELEMENTARY,California,21,21,,31.43,31.76,,61336001514
2139,CRESCENT ELEMENTARY,California,26.4,25,,29.36,30,,62865004424
2140,CRESCENT ELK MIDDLE,California,27.2,28.5,,19.67,19.89,,61077001192
2141,CRESCENT HEIGHTS BOULEVARD ELEMENTARY,California,17,17,,22.47,22.12,,62271002942
2142,CRESCENT VALLEY PUBLIC CHARTER,California,10,6,,35.1,40.67,,63804012734
2143,CRESCENT VIEW SOUTH CHARTER,California,17.1,18,,21.35,21.39,,64221012485
2144,CRESCENT VIEW WEST CHARTER,California,10,11,,29.9,24.36,,69100710789
2145,CRESCENTA VALLEY HIGH,California,109.2,112.8,,26.43,25.76,,61524001923
2146,CRESPI JUNIOR HIGH,California,23.3,22,,24.33,26.36,,63255005017
2147,CRESSEY ELEMENTARY,California,8,7,,21.25,21.86,,60375000345
2148,CRESSON ELEMENTARY,California,12.5,14.5,,26,22.28,,62193002598
2149,CREST ELEMENTARY,California,5,5,,25.4,24.4,,60681000609
2150,CRESTLINE ELEMENTARY,California,17.75,18.15,,25.13,24.57,,60402000359
2151,CRESTMONT ELEMENTARY,California,18,18.5,,24.5,25.08,,63360005184
2152,CRESTMOOR ELEMENTARY,California,6.85,9,,23.07,23.67,,63423005395
2153,CRESTMORE ELEMENTARY,California,37,36,,23.19,23.39,,60939000948
2154,CRESTON ELEMENTARY,California,5.03,4.46,,19.68,26.01,,60330000250
2155,CRESTVIEW ELEMENTARY,California,30.02,28.06,,20.52,20.42,,62241002678
2156,CRESTVIEW ELEMENTARY,California,,,,,,,64119006817
2157,CRESTVIEW ELEMENTARY,California,16,16,,24.63,26.06,,63684006252
2158,CRESTWOOD ELEMENTARY,California,24,25,,29.13,29.2,,64116006786
2159,CRESTWOOD STREET ELEMENTARY,California,21,21,,23.86,25.29,,62271002943
2160,CRITTENDEN MIDDLE,California,30.17,30.5,,19.82,20.39,,62628006931
2161,CROCKER HIGHLANDS ELEMENTARY,California,17,15,,24.65,26.27,,62805004253
2162,CROCKER MIDDLE,California,33.47,33.76,,16.07,16.05,,61719002172
2163,CROCKER/RIVERSIDE ELEMENTARY,California,21,21.05,,31.48,30.31,,63384005278
2164,CROSSROADS,California,2.4,2.4,,6.25,7.08,,63025008645
2165,CROSSROADS ALTERNATIVE EDUCATION CENTER,California,4.5,3.25,,24.44,19.08,,62274012358
2166,CROSSROADS CHARTER,California,12.89,10.25,,21.49,16.68,,60318011283
2167,CROSSROADS COMMUNITY DAY,California,6,5.5,,10,9.45,,62088008022
2168,CROSSROADS ELEMENTARY,California,27.6,27.6,,31.59,31.88,,63867011851
2169,CROSSROADS HIGH (ALTERNATIVE),California,2.5,3,,18,14.33,,62706001921
2170,CROSSROADS HIGH (CONTINUATION),California,2.98,3.87,,15.77,13.7,,62637000183
2171,CROSSROADS TRADE TECH CHARTER,California,,2.54,,,34.25,,60318012210
2172,CROSSWALK: HIGHER EDUCATION LEARNING PATHWAYS,California,,1,,,83,,60001410617
2173,CROWELL ELEMENTARY,California,38,37,,21.53,21.22,,60015811508
2174,CROWLEY ELEMENTARY,California,22.5,21.5,,28.22,29.81,,64116006787
2175,CROWN POINT ELEMENTARY,California,12.6,12.6,,21.75,20.95,,63432005440
2176,CROWN PREPARATORY ACADEMY,California,11.7,8,,23.25,22.38,,62271012811
2177,CROWN RIDGE ACADEMY,California,,6.14,,,24.43,,63417012529
2178,CROWN VALLEY ELEMENTARY,California,16.38,17.9,,22.1,18.72,,60744000688
2179,CROWNE HILL ELEMENTARY,California,25.5,33.1,,27.76,22.72,,60002811041
2180,CROZIER (GEORGE W.) MIDDLE,California,39.95,39.4,,20.7,21.09,,61839002249
2181,CRYSTAL MIDDLE,California,37.6,36.5,,25.61,25.45,,61336007282
2182,CUBBERLEY ELEMENTARY,California,9,10,,20.11,19.1,,63432005441
2183,CUBBERLEY K-8,California,37.76,37.13,,26.14,25.91,,62250002709
2184,CUCAMONGA ELEMENTARY,California,22,18,,22.64,29.17,,61630001110
2185,CUCAMONGA MIDDLE,California,34.5,36,,23.48,24.92,,60795000762
2186,CUDDEBACK ELEMENTARY,California,7.8,7.6,,15.64,17.11,,61023001113
2187,CULLEN ELEMENTARY,California,25.5,25.3,,26.43,26.4,,61527001952
2188,CULVER CITY HIGH,California,84.8,84.8,,25.79,26.75,,61026001116
2189,CULVER CITY MIDDLE,California,59,58.4,,24.83,26.15,,61026001115
2190,CULVER PARK HIGH,California,4,4.5,,15,14.44,,61026007691
2191,CULVERDALE ELEMENTARY,California,26,23.45,,27.31,27.85,,68450007053
2192,CUMBERLAND ELEMENTARY,California,26.02,27.5,,25.02,23.27,,63846006459
2193,CUMMINGS VALLEY ELEMENTARY,California,23.41,24.01,,28.06,25.32,,63888010110
2194,CUNNINGHAM ELEMENTARY,California,35.5,34,,21.77,21.97,,60015811509
2195,CUPERTINO HIGH,California,81.67,77.96,,24.22,24.4,,61443001695
2196,CUPERTINO MIDDLE,California,58.24,56.56,,22.44,22.86,,61029001127
2197,CURIE ELEMENTARY,California,26,27,,22.15,22.04,,63432005442
2198,CURRAN MIDDLE,California,33.53,32.3,,25.71,26.5,,60363000295
2199,CURREN ELEMENTARY,California,39,37,,21.21,21.32,,62922004501
2200,CURTIS CREEK ELEMENTARY,California,24,22,,19.38,23.41,,61032001155
2201,CURTIS MIDDLE,California,40.01,50,,22.79,20.26,,63417005354
2202,CURTNER ELEMENTARY,California,25,25,,26.64,27.12,,62450003665
2203,CUTLER ELEMENTARY,California,35,35,,20,19.69,,61035001156
2204,CUTLER-OROSI COMMUNITY DAY,California,1,1,,7,12,,61035008419
2205,CUTTEN ELEMENTARY,California,11,11,,28.64,27.18,,61038001163
2206,CUYAMA ELEMENTARY,California,9,8,,18.33,20.13,,60000908780
2207,CUYAMA VALLEY HIGH,California,6.5,6.5,,11.54,11.85,,60000908779
2208,CYPRESS CHARTER HIGH,California,8.5,10,,18.94,15,,62199011259
2209,CYPRESS ELEMENTARY,California,30,30,,21.33,22.3,,63987008999
2210,CYPRESS ELEMENTARY,California,28,30,,19.93,19,,63417005355
2211,CYPRESS ELEMENTARY,California,27.67,27.53,,29.17,28.41,,61392001587
2212,CYPRESS ELEMENTARY,California,28,28.1,,22.57,23.67,,61005001094
2213,CYPRESS ELEMENTARY,California,17,18.04,,23.94,21.29,,60964001011
2214,CYPRESS ELEMENTARY,California,10,10,,25.2,24.3,,63204004926
2215,CYPRESS HIGH,California,88.75,83.36,,30.04,31.72,,60263000172
2216,CYPRESS SCHOOL OF THE ARTS,California,28,25.5,,29.96,31.18,,60001411119
2217,CYRIL SPINELLI ELEMENTARY,California,17,18,,21.59,21.78,,60790007664
2218,CYRUS J. MORRIS ELEMENTARY,California,17,19,,24.18,22.79,,64128006836
2219,D. D. JOHNSTON ELEMENTARY,California,18,19,,24.11,24.21,,62769004171
2220,D. H. WHITE ELEMENTARY,California,21.2,23.2,,19.53,20.26,,63311005128
2221,D. J. SEDGWICK ELEMENTARY,California,22.4,20.23,,26.52,25.8,,61029004034
2222,D. RUSSELL PARKS JUNIOR HIGH,California,34.51,36.5,,29.88,26.49,,61473001801
2223,D. W. BABCOCK ELEMENTARY,California,15,16,,23,23,,60133204149
2224,DA VINCI CHARTER ACADEMY,California,23.62,22.75,,24.05,21.49,,61062012422
2225,DA VINCI DESIGN,California,30.36,23.97,,21.41,20.28,,64299012410
2226,DA VINCI SCIENCE,California,33.32,28.1,,20.23,21.03,,64299012208
2227,DAHLIA HEIGHTS ELEMENTARY,California,16,16,,23.94,23.69,,62271002946
2228,DAILARD ELEMENTARY,California,26,24,,22.42,24.33,,63432005443
2229,DAILY (ALLAN F.) HIGH (CONTINUATION),California,18.87,17.7,,14.68,15.08,,61524001924
2230,DAIRYLAND ELEMENTARY,California,9.13,9.1,,22.78,22.31,,60236000126
2231,DAISY GIBSON ELEMENTARY,California,23.15,24,,26.95,25.08,,61944010238
2232,DALE JUNIOR HIGH,California,49.51,46,,24.96,27.65,,60263000173
2233,DALLAS RANCH MIDDLE,California,53.5,50.37,,25.29,27.52,,60285011275
2234,DAN JACOBS,California,2,5,,10,4.6,,69104910343
2235,DAN MINI ELEMENTARY,California,22.51,22.52,,24.79,24.56,,64074006721
2236,DAN O. ROOT ELEMENTARY,California,20,23,,29.85,28.43,,61336009814
2237,DANA,California,34.61,34.61,,23.81,22.45,,63432007683
2238,DANA ELEMENTARY,California,23.55,24.6,,25.39,24.67,,62308003518
2239,DANA GRAY ELEMENTARY,California,19.51,22.1,,20.09,18.55,,61407001608
2240,DANA HILLS HIGH,California,102.72,104.55,,27.76,27.07,,60744000689
2241,DANBROOK ELEMENTARY,California,26,27,,27.5,26.52,,60807000775
2242,DANBURY SPECIAL EDUCATION,California,7,7,,7,6.57,,60876000889
2243,DANIEL J. SAVAGE MIDDLE,California,42.83,43.85,,26.01,24.08,,63867011498
2244,DANIEL LEWIS MIDDLE,California,31.57,32.57,,23.79,22.84,,60004807412
2245,DANIEL N. BUCHANAN ELEMENTARY,California,35,45,,29.94,22.42,,60002910354
2246,DANIEL PEARL JOURNALISM & COMMUNICATIONS MAGNET,California,13.5,13.01,,28.44,26.21,,62271012525
2247,DANIEL PHELAN ELEMENTARY,California,17.65,17.65,,27.82,28.61,,64245006946
2248,DANIEL WEBSTER,California,21.5,19.1,,23.77,24.71,,62994004690
2249,DANIEL WEBSTER ELEMENTARY,California,19.5,19,,23.23,24.79,,61887002282
2250,DANIEL WEBSTER MIDDLE,California,38,44.03,,16.76,15.83,,62271003445
2251,DANNY J. BAKEWELL SR. PRIMARY CENTER,California,9,9.01,,23.22,22.86,,62271010874
2252,DANUBE AVENUE ELEMENTARY,California,21,22,,21.9,20.5,,62271002948
2253,DAPPLEGRAY ELEMENTARY,California,24,24,,27.13,27.33,,62970008039
2254,DARBY AVENUE CHARTER,California,22.5,21,,23.6,22.38,,62271002949
2255,DARIO CASSINA HIGH,California,3.4,3.6,,16.76,21.94,,63726006307
2256,DARNALL CHARTER,California,31.15,34.45,,18.88,15.94,,63432001220
2257,DARTMOUTH MIDDLE,California,33.1,30.7,,27.43,27.39,,61692003586
2258,DARTMOUTH MIDDLE,California,35.5,33.83,,22.76,22.97,,64032006671
2259,DATE ELEMENTARY,California,27.67,26.17,,28.88,27.63,,61392007265
2260,DAVES AVENUE ELEMENTARY,California,23.9,25.3,,23.22,22.81,,62283003490
2261,DAVID A. BROWN MIDDLE,California,38.7,39.7,,24.08,25.62,,60002705011
2262,DAVID G. MILLEN INTERMEDIATE,California,17,,,25.18,,,62958013052
2263,DAVID L. GREENBERG ELEMENTARY,California,31,28,,18.1,20.71,,61455008470
2264,DAVID LUBIN ELEMENTARY,California,21.1,20.3,,26.3,27.83,,63384005235
2265,DAVID REESE ELEMENTARY,California,35.8,39,,25.67,23.87,,61233001410
2266,DAVID STARR JORDAN MIDDLE,California,65.81,62.2,,15.56,16.27,,62961010323
2267,DAVID STARR JORDAN MIDDLE,California,45.23,46.23,,26.16,24.42,,60645000570
2268,DAVID STARR JORDAN SENIOR HIGH,California,31.33,34.54,,23.46,27.36,,62271003109
2269,DAVID W. LONG ELEMENTARY,California,27,24,,28.89,28.71,,61296008289
2270,DAVID WARK GRIFFITH MIDDLE,California,68.51,78.01,,20.17,18.22,,62271003058
2271,DAVIDSON ELEMENTARY,California,18,18,,26.72,27.17,,63417005356
2272,DAVILA DAY,California,7,5,,4.43,7.8,,69103012550
2273,DAVIS (CAROLINE) INTERMEDIATE,California,34.67,36,,21.81,21.58,,62781004209
2274,DAVIS COMMUNITY DAY,California,,,,,,,62223008326
2275,DAVIS ELEMENTARY,California,12.31,12.33,,25.59,24.66,,62223002642
2276,DAVIS MIDDLE,California,48.51,55,,21.44,20.09,,60962007272
2277,DAVIS SCHOOL FOR INDEPENDENT STUDY,California,10.3,9.9,,10.97,13.23,,61062010344
2278,DAVIS SENIOR HIGH,California,72.2,74.4,,24.2,23.09,,61062001176
2279,DAVIS SPECIAL EDUCATION PRE-SCHOOL,California,,,,,,,61062013626
2280,DAY CREEK INTERMEDIATE,California,47.33,44.91,,25.54,26.94,,61296011095
2281,DAYLOR (WILLIAM) HIGH (CONTINUATION),California,11.7,11.2,,16.58,21.43,,61233001395
2282,DAYTON ELEMENTARY,California,22.54,22,,22.76,23.55,,63471007484
2283,DAYTON HEIGHTS ELEMENTARY,California,27,27.01,,22.19,22.25,,62271002950
2284,DE ANZA 9TH GRADE ACADEMY,California,,32,,,25.28,,60690000635
2285,DE ANZA ACADEMY OF TECHNOLOGY AND THE ARTS,California,31.61,27.33,,25.37,24.08,,64098006750
2286,DE ANZA ELEMENTARY,California,24,27.67,,24.46,22.88,,60369000328
2287,DE ANZA ELEMENTARY,California,18,18,,31.11,28.28,,63444009190
2288,DE ANZA MAGNET,California,16.3,18.75,,29.69,27.04,,61203001332
2289,DE ANZA MIDDLE,California,28.21,25.17,,21.41,22.45,,62847004393
2290,DE ANZA SENIOR HIGH,California,47.96,44.75,,21.43,18.95,,63255005018
2291,DE LAVEAGA ELEMENTARY,California,28,28,,22.75,22.75,,63559006061
2292,DE PORTOLA ELEMENTARY,California,21.6,20.79,,26.57,27.71,,63386005295
2293,DE PORTOLA MIDDLE,California,42.88,44.4,,22.69,22.16,,63432008964
2294,DEAN L. SHIVELY,California,22,23,,31.55,29.52,,64065006713
2295,DEARBORN ELEMENTARY CHARTER ACADEMY,California,23,21,,22.61,24.24,,62271002951
2296,DEATH VALLEY ELEMENTARY,California,1,1,,4,4,,61068001185
2297,DEATH VALLEY HIGH ACADEMY,California,3.2,4.14,,4.06,7.49,,61068007096
2298,DEBORAH A. WILLIAMS ELEMENTARY,California,24,23,,26.54,27.91,,61455011895
2299,DECKER ELEMENTARY,California,20.5,23.5,,27.51,23.45,,63132007332
2300,DECOTO SCHOOL FOR INDEPENDENT STUDY,California,5.45,,,28.26,,,62691013202
2301,DEEP CREEK ACADEMY,California,4.22,3.53,,15.88,24.08,,60003508425
2302,DEER CANYON ELEMENTARY,California,19.2,17.5,,28.44,30,,63153010005
2303,DEER CANYON ELEMENTARY,California,21,23,,28.43,27.83,,60216007640
2304,DEER CREEK ELEMENTARY,California,16.96,19.9,,26.47,23.02,,62682004060
2305,DEER VALLEY HIGH,California,114.91,119.7,,23.59,22.84,,60285005724
2306,DEERFIELD ELEMENTARY,California,20.71,20,,31.72,31.65,,68450007054
2307,DEHESA CHARTER,California,53.15,52.44,,23.48,21.28,,61071010626
2308,DEHESA ELEMENTARY,California,11.12,13.12,,19.33,17.53,,61071001188
2309,DEL AMIGO HIGH (CONTINUATION),California,7,6.6,,8.43,6.21,,63513005946
2310,DEL AMO ELEMENTARY,California,17,17,,24.06,24.29,,62271002952
2311,DEL CAMPO HIGH,California,79.04,77.33,,24.65,24.87,,63462005769
2312,DEL CERRO ELEMENTARY,California,20.7,20.7,,27.05,27.92,,63386005294
2313,DEL DAYO ELEMENTARY,California,17.03,19,,30.06,26.21,,63462005770
2314,DEL DIOS MIDDLE,California,40.2,40.94,,20.72,20.59,,61288001453
2315,DEL LAGO ACADEMY - CAMPUS OF APPLIED SCIENCE,California,,,,,,,61291013061
2316,DEL LAGO ELEMENTARY,California,25.2,22.5,,25.91,27.96,,63386007341
2317,DEL MAR ELEMENTARY,California,25,25,,26.4,26.8,,61455001719
2318,DEL MAR ELEMENTARY,California,19.1,19.29,,21.68,21.1,,62199007435
2319,DEL MAR ELEMENTARY,California,22.18,23.88,,21.82,19.39,,63480010066
2320,DEL MAR HEIGHTS ELEMENTARY,California,26.23,27.23,,16.93,16.23,,61074001189
2321,DEL MAR HIGH,California,49.89,49.46,,23.23,23.45,,60723000665
2322,DEL MAR HIGH,California,3.83,3.7,,15.4,17.3,,63442507166
2323,DEL MAR HILLS ELEMENTARY,California,17.88,18.6,,17.39,17.58,,61074001190
2324,DEL MAR MIDDLE,California,26.96,26.52,,16.99,15.99,,63216004977
2325,DEL NORTE COUNTY ADULT,California,,,,,,,61077012431
2326,DEL NORTE COUNTY COMMUNITY DAY (ELEMENTARY),California,1,1,,,1,,69106310477
2327,DEL NORTE COUNTY COMMUNITY DAY (SECONDARY),California,1,1,,7,9,,69106310476
2328,DEL NORTE COUNTY ROP,California,,,,,,,60009310765
2329,DEL NORTE ELEMENTARY,California,38.11,39,,19.68,20.05,,62847004394
2330,DEL NORTE HIGH,California,57.1,48.99,,31.52,32.13,,63153012216
2331,DEL NORTE HIGH,California,41.4,42.2,,22.49,24.86,,61077001193
2332,DEL OBISPO ELEMENTARY,California,16.43,17.8,,24.35,24.61,,60744000690
2333,DEL ORO HIGH,California,65.83,64.83,,25.92,26.28,,63075004782
2334,DEL PASO HEIGHTS ELEMENTARY,California,17,19,,28.47,27.26,,60133201201
2335,DEL PASO MANOR ELEMENTARY,California,20.62,24.5,,28.32,24.08,,63462005771
2336,DEL PUERTO HIGH,California,5.72,7.56,,20.1,17.2,,63003010334
2337,DEL REY ELEMENTARY,California,14.2,15.2,,19.23,18.29,,63525005969
2338,DEL REY ELEMENTARY,California,18,17,,29.06,30.71,,64104006771
2339,DEL REY ELEMENTARY,California,43,41.9,,17.19,18.07,,61968009146
2340,DEL REY ELEMENTARY,California,24.9,24.43,,21.77,21.98,,63471005850
2341,DEL REY ELEMENTARY,California,20,19,,20.7,21,,62886004470
2342,DEL REY WOODS ELEMENTARY,California,19,19,,22,23.32,,62553003823
2343,DEL RIO CONTINUATION HIGH,California,4,3.9,,26.5,33.85,,60330006562
2344,DEL RIO ELEMENTARY,California,16.98,20.45,,27.09,25.04,,62825004357
2345,DEL RIO ELEMENTARY,California,17,17,,23.88,24.65,,63348000415
2346,DEL ROBLE ELEMENTARY,California,18.5,20,,28.27,27.2,,62781004210
2347,DEL ROSA ELEMENTARY,California,25,27,,29.88,28.7,,63417005357
2348,DEL SUR ELEMENTARY,California,21,19,,27.67,25.74,,63153012196
2349,DEL SUR SENIOR ELEMENTARY,California,27.67,32.35,,27.21,24.57,,64212006889
2350,DEL VALLE CONTINUATION HIGH,California,5.4,4.89,,23.52,18.2,,62211002621
2351,DEL VALLE ELEMENTARY,California,23,24,,21.61,21.33,,61632502040
