CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3801-3802,3901-3902,4100,4200,4300,4400,4700,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7438,7439,7630-7699,8011,8015,8019,8020-8039,8040-8079,8080-8089,"8091, 8097",8092,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9400-9499,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9730,9740,9770,"9775, 9780",9790,9791,"9793, 9795",LocalRevAO,StateRevAO,StateRevSE
01100170109835,2440002.79,0.0,384232.52,0.0,0.0,735825.24,671734.57,0.0,0.0,226518.52,110605.05,85351.8,184542.26,4603.21,122536.32,0.0,0.0,0.0,0.0,0.0,449416.2,18554.67,0.0,73063.36,12290.0,49755.0,145309.79,1016145.76,1360397.09,46168.21,0.0,0.0,0.0,0.0,0.0,73022.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6276982.0,0.0,0.0,0.0,0.0,0.0,0.0,243574.98,0.0,0.0,0.0,0.0,0.0,37315.65,0.0,200898.18,1336.8,0.0,0.0,0.0,3949.83,1147522.3,0.0,23933.58,151170.18,921616.48,395849.23,15679.88,1800000.0,0.0,0.0,1336.8,0.0,23933.58,0.0,0.0,0.0,0.0,0.0,250943.17,247540.33,0.0,39209.82,399449.55,708524.91
01100170112607,287387.91,3884.95,71833.87,0.0,16075.52,3833.37,101294.96,0.0,0.0,31076.23,0.0,16606.44,30464.53,1100.0,17527.06,1035.0,0.0,0.0,16162.17,0.0,18608.99,20518.12,20315.12,1579.4,325.0,4952.42,45384.08,329993.23,187471.03,6366.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279907.0,0.0,0.0,0.0,0.0,0.0,0.0,202500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9924.27,0.0,0.0,0.0,0.0,56229.33,0.0,0.0,0.0,72000.0,118544.62,67269.0,0.0,131852.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57576.97,0.0,187771.39,439253.57,56744.92,0.0
01611190130625,286127.34,0.0,47999.97,0.0,23056.5,25828.08,40520.04,65912.54,8700.9,0.0,0.0,7223.11,25558.58,7902.37,18947.76,30885.01,0.0,0.0,9265.5,11782.63,26028.73,259.11,4088.4,3702.38,4994.53,8255.0,20610.93,5111.13,107783.43,8621.37,0.0,0.0,0.0,0.0,0.0,0.0,1465.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407067.75,-5213.0,0.0,0.0,0.0,0.0,0.0,1851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198210.71,0.0,0.0,0.0,0.0,44220.69,0.0,0.0,0.0,0.0,2514.03,29928.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115000.0,0.0,0.0,40000.0,0.0,60016.46,191727.42,0.0,133677.92,55475.0,0.0
01612590100065,589383.0,0.0,162376.0,0.0,0.0,0.0,0.0,39645.0,52535.0,32956.0,0.0,39707.0,118804.0,476.0,20615.0,0.0,0.0,0.0,26677.0,2318.0,72125.0,16538.0,0.0,45639.0,5552.0,12033.0,31580.0,171394.0,440391.0,4092.0,0.0,0.0,0.0,0.0,0.0,65668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926679.0,0.0,0.0,0.0,0.0,0.0,0.0,99420.0,0.0,0.0,91144.0,0.0,0.0,0.0,0.0,257560.0,0.0,0.0,0.0,0.0,343260.0,0.0,0.0,154740.0,12510.0,63848.0,475402.0,0.0,0.0,0.0,0.0,0.0,0.0,154740.0,0.0,0.0,0.0,0.0,0.0,201776.0,322016.12,-12943.12,51104.0,393814.0,0.0
01612590100123,115162.6,2391.25,0.0,0.0,2250.0,70063.3,66962.16,30000.0,7200.0,0.0,0.0,4031.94,10866.9,2716.01,4439.23,17240.09,0.0,0.0,15348.92,7614.9,7211.12,4522.25,454.03,2641.27,1035.0,1566.0,50109.14,112446.25,117156.04,3767.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52326.0,0.0,0.0,0.0,0.0,222859.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181412.5,0.0,248.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404022.81,250307.22,120203.78,7722.94,58790.96,0.0
01612590101469,565524.0,46022.0,173781.0,0.0,0.0,6092.0,15771.0,73663.0,27644.0,44388.0,0.0,13153.0,79699.0,2173.0,22586.0,0.0,0.0,15401.0,37718.0,22379.0,36768.0,52209.0,6438.0,2922.0,4017.0,3613.0,54390.0,124149.0,76298.0,13589.0,0.0,0.0,0.0,0.0,0.0,2261.0,0.0,0.0,11935.0,0.0,10462.0,0.0,0.0,0.0,816091.0,11178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38037.0,110945.0,0.0,0.0,0.0,692803.65,0.0,0.0,0.0,0.0,143765.12,0.0,0.0,9682.34,0.0,4522.0,87595.4,303510.0,200000.0,0.0,0.0,0.0,0.0,9682.34,0.0,0.0,0.0,0.0,0.0,249989.66,411998.49,5234.51,0.0,113495.0,61868.0
01612590106468,66277.0,0.0,0.0,0.0,25000.0,0.0,19500.0,5000.0,0.0,0.0,0.0,6283.0,7045.0,2781.0,1906.0,0.0,0.0,0.0,0.0,0.0,5150.0,0.0,0.0,260.0,0.0,5150.0,3090.0,23354.0,19096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98722.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15674.0,0.0,0.0,0.0,0.0,52440.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52440.08,9719.95,0.05,0.0,69671.08,0.0
01612590106906,577320.97,0.0,16033.33,0.0,0.0,0.0,0.0,132694.98,0.0,5711.83,0.0,47818.58,88415.4,8894.31,27037.31,0.0,0.0,3114.98,43792.23,508.41,26582.79,28871.77,34071.89,11644.09,4388.74,11066.7,84095.09,222441.36,160230.24,13177.14,0.0,0.0,0.0,0.0,0.0,12699.35,0.0,11831.0,0.0,0.0,0.0,0.0,0.0,0.0,764102.0,16636.0,0.0,0.0,0.0,0.0,0.0,154500.0,0.0,37560.33,62194.0,35000.0,0.0,0.0,0.0,59846.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110000.0,0.0,0.0,0.0,0.0,0.0,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59846.04,69133.96,-242071.96,106775.35,209931.61,0.0
01612590107169,305385.38,0.0,78213.33,0.0,0.0,0.0,113974.62,0.0,0.0,28751.05,0.0,16698.38,30071.0,5751.74,21790.03,0.0,0.0,1464.01,20691.94,0.0,35122.58,0.0,3444.69,3242.0,696.0,5945.0,1769.0,124041.0,262935.12,5976.0,0.0,0.0,0.0,0.0,0.0,1975.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561621.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57041.0,0.0,0.0,0.0,0.0,140771.65,0.0,0.0,0.0,0.0,135340.43,0.0,0.0,6905.27,8175.0,6374.06,87003.27,0.0,66674.45,35000.0,0.0,0.0,0.0,6905.27,0.0,0.0,0.0,0.0,0.0,101983.42,1199.06,7455.94,137757.92,139934.25,0.0
01612590108803,712097.38,20823.18,103904.71,0.0,180173.56,0.0,0.0,76699.42,54908.38,56069.95,22129.09,38037.95,97606.44,10072.97,16524.0,0.0,0.0,14780.15,0.0,53156.52,108514.41,21152.68,104290.75,22461.99,1727.0,1428.0,21735.72,140371.77,241892.37,6941.97,0.0,0.0,0.0,0.0,0.0,65711.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,945535.0,30448.0,0.0,0.0,0.0,0.0,0.0,304347.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319798.95,0.0,0.0,0.0,0.0,164098.81,0.0,0.0,0.0,10000.0,131568.06,195030.78,0.0,0.0,221756.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208678.88,259791.01,-55334.01,95585.96,379982.1,88415.0
