CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3751-3752,3801-3802,3901-3902,4100,4200,4300,4400,4700,5100,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7281-7299,7438,7439,7630-7699,8011,8015,8019,8020-8039,8040-8079,8080-8089,"8091, 8097",8092,8096,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9400-9499,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9730,9740,9770,"9775, 9780",9790,9791,"9793, 9795",LocalRevAO,StateRevAO,StateRevSE
01100170109835,2952953.65,0.0,315326.48,0.0,0.0,436053.05,1275845.46,0.0,0.0,277580.55,127259.18,161453.04,216207.11,11766.51,145030.88,0.0,0.0,0.0,0.0,0.0,0.0,599882.06,125224.43,0.0,0.0,105505.33,10931.0,60378.96,186523.88,1009821.95,1529651.41,60526.04,0.0,0.0,0.0,0.0,0.0,140479.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7313091.0,0.0,0.0,0.0,0.0,0.0,0.0,88820.0,379661.0,0.0,0.0,0.0,0.0,0.0,40791.24,0.0,221.82,6539.05,0.0,0.0,0.0,3949.83,1051086.65,0.0,-6187.89,250806.36,1002427.05,501799.06,15679.88,1424051.79,0.0,0.0,6539.05,0.0,-6187.89,0.0,0.0,0.0,0.0,0.0,407752.4,276213.55,-24784.55,22535.12,685955.11,708014.76
01100170112607,343601.64,0.0,164340.49,0.0,0.0,0.0,51999.97,55687.0,0.0,38073.6,0.0,19996.59,43071.32,6452.67,11782.29,0.0,0.0,0.0,0.0,6058.52,2947.64,39831.11,18216.36,48518.18,0.0,3062.61,1657.26,4245.12,133829.11,18553.98,97853.32,11809.85,0.0,0.0,0.0,0.0,0.0,85354.33,0.0,0.0,30856.71,113918.35,0.0,0.0,0.0,0.0,0.0,572840.0,887.0,0.0,0.0,0.0,0.0,0.0,191915.0,0.0,9131.09,22049.51,223730.0,0.0,0.0,0.0,0.0,343894.49,0.0,0.0,0.0,0.0,-129827.12,37325.81,0.0,0.0,192734.57,160515.21,252931.94,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201711.02,57576.97,63357.03,277452.56,28303.66,43334.2
01611190130625,268841.41,0.0,49171.82,0.0,4679.5,61741.03,48750.0,74242.4,0.0,0.0,0.0,7365.21,26108.28,8601.87,12560.71,31462.65,0.0,0.0,0.0,10318.2,0.0,16070.61,0.0,6127.46,0.0,3126.33,7751.26,8947.52,17394.43,18181.64,114636.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412598.77,-9880.0,0.0,0.0,0.0,0.0,0.0,166250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122592.98,0.0,0.0,0.0,0.0,97779.8,0.0,0.0,0.0,0.0,0.0,8515.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115000.0,0.0,0.0,40000.0,0.0,56857.29,215016.46,0.0,160226.19,16407.36,0.0
01611920113902,317040.68,0.0,80750.0,0.0,0.0,12689.0,27331.06,48388.22,0.0,29724.78,0.0,13828.4,44931.74,4678.32,9100.04,853.98,0.0,0.0,0.0,8677.61,3663.39,32036.37,52027.04,44744.82,0.0,2451.21,1352.55,4297.55,37106.44,16240.36,127710.75,11660.93,0.0,0.0,0.0,0.0,0.0,49085.08,0.0,0.0,65428.41,123824.3,0.0,0.0,0.0,0.0,0.0,564659.86,0.0,0.0,0.0,0.0,0.0,0.0,222123.0,0.0,9925.1,16868.72,370425.0,0.0,0.0,0.0,0.0,280071.11,0.0,0.0,0.0,0.0,-44704.99,25784.92,0.0,0.0,189960.18,92916.87,101541.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442486.88,0.0,170585.0,104504.02,18758.92,49774.13
01612590100065,564672.0,0.0,161092.0,0.0,0.0,0.0,0.0,43414.0,38638.0,30563.0,0.0,38638.0,155245.0,988.0,21022.0,0.0,0.0,0.0,0.0,24853.0,5280.0,81761.0,15372.0,0.0,311012.0,46231.0,3823.0,14053.0,37807.0,192102.0,351254.0,4896.0,0.0,0.0,0.0,0.0,0.0,46668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1038796.0,0.0,0.0,0.0,0.0,0.0,0.0,346055.0,99822.0,0.0,0.0,107314.0,0.0,0.0,0.0,0.0,345448.0,0.0,0.0,0.0,0.0,180305.0,0.0,0.0,59861.0,12610.0,22972.0,165494.0,0.0,0.0,0.0,0.0,0.0,0.0,59861.0,0.0,0.0,0.0,0.0,0.0,395841.0,356516.0,15943.0,31402.0,493464.0,0.0
01612590100123,197515.04,0.0,3951.99,0.0,0.0,0.0,56951.54,28249.97,124567.11,0.0,0.0,25726.65,31262.08,3912.3,5580.22,0.0,0.0,0.0,0.0,33416.06,8069.27,16400.9,0.0,0.0,0.0,8135.23,2619.21,2659.0,88426.81,145851.81,121085.5,4589.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386492.0,0.0,0.0,0.0,0.0,0.0,0.0,161959.0,13679.0,0.0,0.0,55676.0,0.0,0.0,0.0,0.0,183193.42,0.0,0.0,0.0,0.0,174378.86,0.0,0.0,0.0,0.0,108296.97,28.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465840.58,404022.81,20404.19,11459.86,223856.55,0.0
01612590101469,905808.0,55000.0,170622.0,0.0,9500.0,19957.0,0.0,91442.0,0.0,76043.0,0.0,18159.0,87407.0,626.0,26551.0,0.0,0.0,0.0,42653.0,90902.0,0.0,49555.0,35191.0,104486.0,0.0,5994.0,9371.0,6810.0,128848.0,105175.0,83041.0,8549.0,0.0,0.0,0.0,0.0,0.0,4144.0,0.0,16940.0,0.0,12416.0,237512.0,7465.0,0.0,0.0,0.0,1225129.0,0.0,0.0,0.0,0.0,0.0,0.0,383412.0,8045.0,18581.0,62544.0,49035.0,0.0,0.0,0.0,0.0,71066.0,0.0,0.0,0.0,125134.0,267482.0,0.0,0.0,0.0,4470.0,32433.0,159703.0,16940.0,50000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173942.0,259672.0,58761.0,176593.0,77260.0,106158.0
01612590106468,30906.0,0.0,0.0,0.0,16000.0,8000.0,12000.0,4000.0,0.0,0.0,0.0,0.0,7799.0,2002.0,2109.0,0.0,0.0,0.0,0.0,0.0,1000.0,2000.0,7305.32,12486.0,6000.0,0.0,0.0,4000.0,6000.0,15000.0,15350.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45791.0,0.0,0.0,0.0,0.0,0.0,0.0,14928.0,0.0,0.0,0.0,12360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52440.08,-22469.08,0.0,42823.32,0.0
01612590106906,627497.51,0.0,200839.06,0.0,0.0,0.0,0.0,100568.64,0.0,61137.21,3877.52,29452.46,104362.2,10913.94,19700.65,6.21,0.0,0.0,1446.19,40668.66,0.0,35431.45,14739.73,56964.39,0.0,16840.53,9885.99,8427.8,107136.96,297498.42,204992.0,21982.24,0.0,0.0,0.0,0.0,0.0,12699.35,0.0,13990.0,0.0,0.0,12239.26,0.0,0.0,0.0,0.0,890645.0,4970.0,0.0,0.0,0.0,0.0,0.0,353714.0,109500.0,0.0,62806.59,57755.0,0.0,0.0,0.0,0.0,-13379.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13379.61,59846.04,30681.96,73977.18,204528.99,0.0
01612590107169,339753.0,0.0,86458.0,0.0,0.0,0.0,152227.0,0.0,15036.0,36685.0,0.0,17959.34,36719.0,6014.0,12346.0,0.0,0.0,0.0,156.0,7479.0,0.0,34928.64,26476.0,16505.0,0.0,943.0,450.0,6137.12,0.0,173110.0,347542.79,5608.0,0.0,0.0,0.0,0.0,0.0,3639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800678.0,8506.64,0.0,0.0,0.0,0.0,0.0,269455.0,758.0,0.0,0.0,48256.0,0.0,0.0,0.0,0.0,62552.14,0.0,0.0,0.0,0.0,172681.3,0.0,0.0,0.0,0.0,18737.49,63772.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190198.21,108888.69,-3235.69,110032.45,57605.0,0.0
