CDS,Name,AggLevel,DFC,Subgroup,Subgrouptype,NumCohort,NumGraduates,Cohort Graduation Rate,NumDropouts,Cohort Dropout Rate,NumSpecialEducation,Special Ed Completers Rate,NumStillEnrolled,Still Enrolled Rate,NumGED,GED Rate,Year
1.97E+13,Compton Community Day High,S,N,FEM,6,*,*,0,*,100,*,0,*,0,*,0,1314
1.97E+13,La Puente High,S,N,FEM,2,*,*,100,*,0,*,0,*,0,*,0,1314
1.97E+13,La Puente High,S,N,FEM,4,*,*,100,*,0,*,0,*,0,*,0,1314
1.97E+13,Los Altos High,S,N,FEM,0,*,*,100,*,0,*,0,*,0,*,0,1314
1.97E+13,Valley Alternative High (Continuation),S,N,FEM,7,*,*,100,*,0,*,0,*,0,*,0,1314
1.97E+13,Glen A. Wilson High,S,N,FEM,6,*,*,100,*,0,*,0,*,0,*,0,1314
1.97E+13,Glen A. Wilson High,S,N,FEM,1,*,*,100,*,0,*,0,*,0,*,0,1314
1.97E+13,William Workman High,S,N,FEM,6,*,*,100,*,0,*,0,*,0,*,0,1314
1.97E+13,iQ Academy California-Los Angeles,S,Y,FEM,1,*,*,50,*,50,*,0,*,0,*,0,1314
1.97E+13,Santana High (Continuation),S,N,FEM,5,37,19,51.35,*,18.9,*,0,11,29.7,*,0,1314
1.97E+13,Santana High (Continuation),S,N,FEM,7,*,*,0,*,100,*,0,*,0,*,0,1314
1.97E+13,Nogales High,S,N,FEM,5,227,214,94.27,*,3.5,*,0,*,2.2,*,0,1314
1.97E+13,John A. Rowland High,S,N,FEM,4,36,36,100,*,0,*,0,*,0,*,0,1314
1.97E+13,John A. Rowland High,S,N,FEM,3,*,*,100,*,0,*,0,*,0,*,0,1314
1.97E+13,Diamond Bar High,S,N,FEM,5,63,63,100,*,0,*,0,*,0,*,0,1314
1.97E+13,Ron Hockwalt Academies (Continuation),S,N,FEM,5,*,*,50,*,50,*,0,*,0,*,0,1314
1.97E+13,Walnut High,S,N,FEM,4,36,36,100,*,0,*,0,*,0,*,0,1314
1.98E+13,Gabrielino High,S,N,FEM,6,*,*,100,*,0,*,0,*,0,*,0,1314
1.98E+13,Options for Youth San Gabriel,S,Y,FEM,5,163,61,37.42,29,17.8,*,0,73,44.8,*,0,1314
1.98E+13,Assurance Learning Academy,S,Y,FEM,6,23,*,0,*,34.8,*,0,15,65.2,*,0,1314
1.96E+13,Cheviot Hills Continuation,S,N,FEM,5,*,*,50,*,0,*,0,*,50,*,0,1314
1.96E+13,Cheviot Hills Continuation,S,N,FEM,7,*,*,0,*,100,*,0,*,0,*,0,1314
1.96E+13,Albert Einstein Continuation,S,N,FEM,3,*,*,100,*,0,*,0,*,0,*,0,1314
4.07E+13,Atascadero High,S,N,FEM,7,118,116,98.31,*,0.8,*,0.8,*,0,*,0,1314
4.07E+13,Nipomo High,S,N,FEM,2,*,*,100,*,0,*,0,*,0,*,0,1314
4.07E+13,Nipomo High,S,N,FEM,5,64,60,93.75,*,4.7,*,1.6,*,0,*,0,1314
4.07E+13,Nipomo High,S,N,FEM,7,58,53,91.38,*,5.2,*,1.7,*,1.7,*,0,1314
4.07E+13,Lopez Continuation High,S,N,FEM,5,27,20,74.07,*,7.4,*,3.7,*,14.8,*,0,1314
4.07E+13,Morro Bay High,S,N,FEM,4,*,*,100,*,0,*,0,*,0,*,0,1314
4.07E+13,San Luis Obispo High,S,N,FEM,5,24,23,95.83,*,0,*,4.2,*,0,*,0,1314
4.07E+13,Shandon High,S,N,FEM,7,*,*,100,*,0,*,0,*,0,*,0,1314
4.07E+13,Templeton Independent Study High,S,N,FEM,5,*,*,100,*,0,*,0,*,0,*,0,1314
4.07E+13,Templeton High,S,N,FEM,5,17,17,100,*,0,*,0,*,0,*,0,1314
4.07E+13,Templeton High,S,N,FEM,7,63,61,96.83,*,1.6,*,1.6,*,0,*,0,1314
4.08E+13,Independence High,S,N,FEM,6,*,*,100,*,0,*,0,*,0,*,0,1314
4.08E+13,Independence High,S,N,FEM,1,*,*,100,*,0,*,0,*,0,*,0,1314
4.08E+13,Paso Robles High,S,N,FEM,2,*,*,100,*,0,*,0,*,0,*,0,1314
4.08E+13,Paso Robles High,S,N,FEM,4,*,*,100,*,0,*,0,*,0,*,0,1314
4.08E+13,Liberty High (Continuation),S,N,FEM,6,*,*,100,*,0,*,0,*,0,*,0,1314
4.08E+13,Liberty High (Continuation),S,N,FEM,1,*,*,100,*,0,*,0,*,0,*,0,1314
3.87E+13,Balboa High,S,N,FEM,2,87,85,97.7,*,1.1,*,0,*,1.1,*,0,1314
3.87E+13,Balboa High,S,N,FEM,9,*,*,100,*,0,*,0,*,0,*,0,1314
3.87E+13,Balboa High,S,N,FEM,7,12,11,91.67,*,0,*,8.3,*,0,*,0,1314
3.87E+13,International Studies Academy,S,N,FEM,2,*,*,100,*,0,*,0,*,0,*,0,1314
3.87E+13,International Studies Academy,S,N,FEM,7,*,*,50,*,0,*,0,*,50,*,0,1314
3.87E+13,"Asawa (Ruth) San Francisco School of the Arts, A Public School.",S,N,FEM,5,13,12,92.31,*,7.7,*,0,*,0,*,0,1314
