ccode,dcode,schoolid,objectcode,restricted,unrestricted,total
01,10017,0109835,1200,0,0,0
01,10017,0109835,1300,43723.84,325156,368879.84
01,10017,0109835,1900,0,0,0
01,10017,0109835,2100,0,0,0
01,10017,0109835,2200,11672.48,885618.17,897290.65
01,10017,0109835,2300,0,260620.04,260620.04
01,10017,0109835,2400,0,0,0
01,10017,0109835,2900,0,0,0
01,10017,0109835,3101-3102,24599,125247.66,149846.66
01,10017,0109835,3201-3202,1138.07,90404.52,91542.59
01,10017,0109835,3301-3302,5216,108154.55,113370.55
01,10017,0109835,3401-3402,14774.76,79584.85,94359.61
01,10017,0109835,3501-3502,2014,13027.7,15041.7
01,10017,0109835,3601-3602,9078,77979.25,87057.25
01,10017,0109835,3701-3702,0,0,0
01,10017,0109835,3801-3802,0,0,0
01,10017,0109835,3901-3902,0,0,0
01,10017,0109835,4100,0,0,0
01,10017,0109835,4200,0,0,0
01,10017,0109835,4300,28091.74,528571.43,556663.17
01,10017,0109835,4400,0,61856.89,61856.89
01,10017,0109835,4700,0,0,0
01,10017,0109835,5200,142.5,57625.55,57768.05
01,10017,0109835,5300,0,4650,4650
01,10017,0109835,5400,0,44512,44512
01,10017,0109835,5500,246.93,125832,126078.93
01,10017,0109835,5600,29708.66,564464.55,594173.21
01,10017,0109835,5800,60171.99,668923.12,729095.11
01,10017,0109835,5900,583.48,37507.33,38090.81
01,10017,0109835,6100-6170,0,0,0
01,10017,0109835,6200,0,0,0
01,10017,0109835,6300,0,0,0
01,10017,0109835,6400,0,0,0
01,10017,0109835,6500,0,0,0
01,10017,0109835,6900,0,49146.44,49146.44
01,10017,0109835,7110-7143,0,0,0
01,10017,0109835,7211-7213,0,0,0
01,10017,0109835,7221-7223AO,0,0,0
01,10017,0109835,7221-7223SE,0,0,0
01,10017,0109835,7280-7299,0,0,0
01,10017,0109835,7438,0,0,0
01,10017,0109835,7439,0,0,0
01,10017,0109835,7630-7699,0,0,0
01,10017,0109835,8011,0,0,0
01,10017,0109835,8015,0,4172602,4172602
01,10017,0109835,8019,0,0,0
01,10017,0109835,8020-8039,0,0,0
01,10017,0109835,8040-8079,0,0,0
01,10017,0109835,8080-8089,0,0,0
01,10017,0109835,"8091, 8097",0,0,0
01,10017,0109835,8092,0,0,0
01,10017,0109835,"8110, 8260-8299",0,324000,324000
01,10017,0109835,"8181, 8182",41116.84,0,41116.84
01,10017,0109835,8220,0,0,0
01,10017,0109835,8290,0,0,0
01,10017,0109835,8480,0,261247,261247
01,10017,0109835,8780,0,37460,37460
01,10017,0109835,8930-8979,177709.99,473263.83,650973.82
01,10017,0109835,8980-8999,0,0,0
01,10017,0109835,9110,0,18121.7,18121.7
01,10017,0109835,9111,0,0,0
01,10017,0109835,9120,5784.44,96796.35,102580.79
01,10017,0109835,9130,0,1284.45,1284.45
01,10017,0109835,9135,0,0,0
01,10017,0109835,9140,0,0,0
01,10017,0109835,9150,0,0,0
01,10017,0109835,9200,0,3721.28,3721.28
01,10017,0109835,9290,150831.11,585229.37,736060.48
01,10017,0109835,9320,0,0,0
01,10017,0109835,9330,0,8638.95,8638.95
01,10017,0109835,9340,0,183835.58,183835.58
01,10017,0109835,9400-9499,0,232439.77,232439.77
01,10017,0109835,9500,0,273462.79,273462.79
01,10017,0109835,9590,0,15679.88,15679.88
01,10017,0109835,9640,0,750000,750000
01,10017,0109835,9650,0,0,0
01,10017,0109835,9660-9669,0,0,0
01,10017,0109835,9711,0,1284.45,1284.45
01,10017,0109835,9712,0,0,0
01,10017,0109835,9713,0,8638.95,8638.95
01,10017,0109835,9719,0,0,0
01,10017,0109835,9730,0,0,0
01,10017,0109835,9740,0,0,0
01,10017,0109835,9770,0,173534.7,173534.7
01,10017,0109835,"9775, 9780",0,0,0
01,10017,0109835,9790,156615.55,-92533.32,64082.23
01,10017,0109835,9791,0,0,0
01,10017,0109835,"9793, 9795",0,0,0
01,10017,0109835,LocalRevAO,0,10373.81,10373.81
01,10017,0109835,StateRevAO,0,110866.6,110866.6
01,10017,0109835,StateRevSE,423390.34,0,423390.34
01,61119,0130625,1100,34467.42,271557.12,306024.54
01,61119,0130625,1200,0,0,0
01,61119,0130625,1300,0,77746.98,77746.98
01,61119,0130625,1900,0,0,0
01,61119,0130625,2100,14551.2,0,14551.2
01,61119,0130625,2200,0,31479.04,31479.04
01,61119,0130625,2300,0,51220.03,51220.03
01,61119,0130625,2400,0,38010.08,38010.08
01,61119,0130625,2900,0,7797.08,7797.08
01,61119,0130625,3101-3102,0,0,0
01,61119,0130625,3201-3202,0,0,0
01,61119,0130625,3301-3302,710.76,6928.25,7639.01
01,61119,0130625,3401-3402,4140,25575.57,29715.57
01,61119,0130625,3501-3502,1463.31,6133.98,7597.29
01,61119,0130625,3601-3602,3600,11750.82,15350.82
01,61119,0130625,3701-3702,3039.15,29624.24,32663.39
01,61119,0130625,3801-3802,0,0,0
01,61119,0130625,3901-3902,0,0,0
01,61119,0130625,4100,0,17332.41,17332.41
01,61119,0130625,4200,0,0,0
01,61119,0130625,4300,0,10381.64,10381.64
01,61119,0130625,4400,0,0,0
01,61119,0130625,4700,0,3941.96,3941.96
01,61119,0130625,5200,0,4525.82,4525.82
01,61119,0130625,5300,0,6237.92,6237.92
01,61119,0130625,5400,0,6994,6994
01,61119,0130625,5500,0,20101.25,20101.25
01,61119,0130625,5600,0,19116.26,19116.26
01,61119,0130625,5800,11842.5,78208.55,90051.05
01,61119,0130625,5900,0,11926.41,11926.41
01,61119,0130625,6100-6170,0,0,0
01,61119,0130625,6200,0,0,0
01,61119,0130625,6300,0,0,0
01,61119,0130625,6400,0,0,0
01,61119,0130625,6500,0,1835.76,1835.76
01,61119,0130625,6900,0,0,0
01,61119,0130625,7110-7143,0,7089,7089
01,61119,0130625,7211-7213,0,0,0
01,61119,0130625,7221-7223AO,0,0,0
01,61119,0130625,7221-7223SE,0,0,0
01,61119,0130625,7280-7299,0,15561.16,15561.16
01,61119,0130625,7438,0,0,0
01,61119,0130625,7439,0,0,0
01,61119,0130625,7630-7699,0,0,0
01,61119,0130625,8011,0,0,0
01,61119,0130625,8015,0,406510,406510
01,61119,0130625,8019,0,-59,-59
01,61119,0130625,8020-8039,0,0,0
01,61119,0130625,8040-8079,0,0,0
01,61119,0130625,8080-8089,0,0,0
01,61119,0130625,"8091, 8097",0,0,0
01,61119,0130625,8092,0,0,0
01,61119,0130625,"8110, 8260-8299",0,0,0
01,61119,0130625,"8181, 8182",0,0,0
01,61119,0130625,8220,0,0,0
01,61119,0130625,8290,0,0,0
01,61119,0130625,8480,0,34515,34515
01,61119,0130625,8780,0,205404.96,205404.96
01,61119,0130625,8930-8979,0,0,0
01,61119,0130625,8980-8999,25220.38,-25220.38,0
01,61119,0130625,9110,0,0,0
01,61119,0130625,9111,0,0,0
01,61119,0130625,9120,0,121819.4,121819.4
01,61119,0130625,9130,0,0,0
01,61119,0130625,9135,0,0,0
01,61119,0130625,9140,0,0,0
01,61119,0130625,9150,0,0,0
01,61119,0130625,9200,0,57068.94,57068.94
01,61119,0130625,9290,0,15000,15000
01,61119,0130625,9320,0,0,0
01,61119,0130625,9330,0,5238.87,5238.87
01,61119,0130625,9340,0,0,0
01,61119,0130625,9400-9499,0,0,0
01,61119,0130625,9500,0,7399.79,7399.79
01,61119,0130625,9590,0,0,0
01,61119,0130625,9640,0,0,0
01,61119,0130625,9650,0,0,0
01,61119,0130625,9660-9669,0,0,0
01,61119,0130625,9711,0,0,0
01,61119,0130625,9712,0,0,0
01,61119,0130625,9713,0,5238.87,5238.87
01,61119,0130625,9719,0,0,0
01,61119,0130625,9730,0,0,0
01,61119,0130625,9740,0,0,0
01,61119,0130625,9770,0,0,0
01,61119,0130625,"9775, 9780",0,0,0
01,61119,0130625,9790,0,186488.55,186488.55
01,61119,0130625,9791,-22261.48,252755.96,230494.48
01,61119,0130625,"9793, 9795",22261.48,-22261.48,0
01,61119,0130625,LocalRevAO,47986.74,82713.86,130700.6
01,61119,0130625,StateRevAO,607.22,18443.83,19051.05
01,61119,0130625,StateRevSE,0,0,0
01,61259,0100065,1100,105006.43,470310.44,575316.87
01,61259,0100065,1200,0,0,0
01,61259,0100065,1300,0,68750,68750
01,61259,0100065,1900,0,0,0
01,61259,0100065,2100,0,0,0
01,61259,0100065,2200,0,0,0
01,61259,0100065,2300,0,0,0
01,61259,0100065,2400,0,28093.5,28093.5
01,61259,0100065,2900,0,31056,31056
01,61259,0100065,3101-3102,8663.03,19400.49,28063.52
01,61259,0100065,3201-3202,0,0,0
01,61259,0100065,3301-3302,1522.59,32430.18,33952.77
01,61259,0100065,3401-3402,14700.9,84555.37,99256.27
01,61259,0100065,3501-3502,472.53,2562.25,3034.78
01,61259,0100065,3601-3602,2520.15,14675,17195.15
01,61259,0100065,3701-3702,0,0,0
01,61259,0100065,3801-3802,0,0,0
01,61259,0100065,3901-3902,0,0,0
01,61259,0100065,4100,28083.36,0,28083.36
01,61259,0100065,4200,6898.05,8641.14,15539.19
01,61259,0100065,4300,0,43388.66,43388.66
01,61259,0100065,4400,1665,22046.93,23711.93
01,61259,0100065,4700,0,2291.28,2291.28
01,61259,0100065,5200,0,29611.06,29611.06
01,61259,0100065,5300,0,4852.52,4852.52
01,61259,0100065,5400,0,7039.85,7039.85
01,61259,0100065,5500,0,21549.91,21549.91
01,61259,0100065,5600,124780,23884.67,148664.67
01,61259,0100065,5800,0,232191.19,232191.19
01,61259,0100065,5900,0,4557.79,4557.79
01,61259,0100065,6100-6170,0,0,0
01,61259,0100065,6200,0,0,0
01,61259,0100065,6300,0,0,0
01,61259,0100065,6400,0,0,0
01,61259,0100065,6500,0,0,0
01,61259,0100065,6900,0,74450.17,74450.17
01,61259,0100065,7110-7143,0,0,0
01,61259,0100065,7211-7213,0,0,0
01,61259,0100065,7221-7223AO,0,0,0
01,61259,0100065,7221-7223SE,0,0,0
01,61259,0100065,7280-7299,0,0,0
01,61259,0100065,7438,0,1576.27,1576.27
01,61259,0100065,7439,0,0,0
01,61259,0100065,7630-7699,0,0,0
01,61259,0100065,8011,0,0,0
01,61259,0100065,8015,0,871840,871840
01,61259,0100065,8019,0,0,0
01,61259,0100065,8020-8039,0,0,0
01,61259,0100065,8040-8079,0,0,0
01,61259,0100065,8080-8089,0,0,0
01,61259,0100065,"8091, 8097",0,0,0
01,61259,0100065,8092,0,0,0
01,61259,0100065,"8110, 8260-8299",162364,0,162364
01,61259,0100065,"8181, 8182",0,0,0
01,61259,0100065,8220,0,0,0
01,61259,0100065,8290,0,0,0
01,61259,0100065,8480,0,80773,80773
01,61259,0100065,8780,0,334207,334207
01,61259,0100065,8930-8979,0,14507,14507
01,61259,0100065,8980-8999,0,0,0
01,61259,0100065,9110,0,0,0
01,61259,0100065,9111,0,0,0
01,61259,0100065,9120,0,175680.29,175680.29
01,61259,0100065,9130,0,73.72,73.72
01,61259,0100065,9135,0,0,0
01,61259,0100065,9140,0,0,0
01,61259,0100065,9150,0,0,0
01,61259,0100065,9200,0,227677.24,227677.24
01,61259,0100065,9290,0,0,0
01,61259,0100065,9320,0,0,0
01,61259,0100065,9330,0,21924.43,21924.43
01,61259,0100065,9340,0,12435,12435
01,61259,0100065,9400-9499,0,117212.64,117212.64
01,61259,0100065,9500,0,232987.2,232987.2
01,61259,0100065,9590,0,0,0
01,61259,0100065,9640,0,0,0
01,61259,0100065,9650,0,0,0
