CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3751-3752,3801-3802,3901-3902,4100,4200,4300,4400,4700,5100,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7281-7299,7438,7439,7630-7699,8011,8012,8015,8019,8020-8039,8040-8079,8080-8089,"8091, 8097",8092,8096,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9400-9499,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9740,9750,9760,9780,9789,9790A,9790M,9791,"9793, 9795",9796,9797,LocalRevAO,StateRevAO,StateRevSE
1062166114553,1373825.04,153740.85,229579.36,0.0,21638.75,0.0,29687.28,116135.61,104254.0,138297.17,21376.1,46626.13,349159.66,22317.74,31406.89,0.0,0.0,0.0,0.0,0.0,45280.83,216886.29,5248.65,0.0,0.0,35375.35,3371.0,25586.86,0.0,28015.12,217550.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714483.15,0.0,0.0,0.0,0.0,618655.0,1999953.0,-3019.0,0.0,0.0,0.0,0.0,0.0,273787.0,2058.54,0.0,0.0,0.0,0.0,0.0,1614264.3,0.0,0.0,0.0,1000.0,2597.0,0.0,1009281.35,0.0,1152.13,0.0,0.0,0.0,591311.55,0.0,0.0,0.0,0.0,0.0,1152.13,0.0,0.0,158529.9,0.0,0.0,0.0,0.0,0.0,1877301.2,2338478.08,13567.56,0.0,0.0,432413.92,290931.2,0.0
1062166115196,360141.14,24127.93,135105.4,2000.0,34578.31,18010.38,13280.74,31602.16,2065.5,35581.04,7146.84,17333.21,43587.5,7896.85,10014.59,0.0,0.0,0.0,0.0,12156.88,46.49,31261.76,28195.24,32360.15,0.0,2652.77,1075.0,3837.96,44080.53,223877.41,230605.26,33973.22,0.0,0.0,0.0,0.0,0.0,5929.0,0.0,0.0,0.0,51100.72,9791.12,938.93,0.0,0.0,0.0,198123.0,640480.0,-4437.46,0.0,0.0,0.0,0.0,0.0,88508.69,11790.0,0.0,0.0,34564.0,0.0,0.0,198123.0,0.0,30909.73,0.0,0.0,0.0,0.0,332572.58,0.0,0.0,200.0,0.0,21625.0,145502.67,0.0,616418.0,0.0,20022.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-198512.66,0.0,33466.0,484.0,0.0,0.0,26963.33,225899.81,0.0
1062166121533,876711.48,0.0,210976.38,0.0,0.0,78030.73,0.0,83097.55,8008.0,113301.97,16118.35,29330.29,48351.6,14921.58,21048.68,26035.47,0.0,0.0,546.93,11756.44,89411.22,68874.92,0.0,0.0,56956.44,15461.36,9500.0,487.17,70779.9,25902.52,356796.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0,43750.0,0.0,0.0,388405.0,1206289.0,0.0,0.0,0.0,0.0,0.0,0.0,209445.0,0.0,0.0,0.0,130512.42,0.0,0.0,478034.38,0.0,230.98,0.0,0.0,0.0,0.0,276755.03,573823.18,0.0,0.0,0.0,0.0,245559.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1083283.61,871136.54,0.0,0.0,0.0,4139.55,550062.69,0.0
1062331124354,32093.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2930.13,0.0,107.45,14100.0,147.74,192.52,0.0,0.0,0.0,0.0,5006.13,883.0,65.5,0.0,0.0,0.0,5232.45,0.0,0.0,584.57,0.0,20966.44,572.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11525.0,39460.0,0.0,0.0,0.0,0.0,0.0,0.0,2899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43284.86,0.0,0.0,0.0,0.0,0.0,9763.14,0.0,0.0,0.0,87689.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54167.08,0.0,-37152.0,0.0,0.0,0.0,273.44,11709.38,0.0
1062331127175,1294259.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80391.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218491.27,1268032.01,727342.89,66053.01,0.0,0.0,0.0,1863.32,10626.07,9220.0,11280.4,9899.43,138188.06,84597.46,0.0,0.0,0.0,0.0,0.0,2074.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695910.0,2349955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980148.19,0.0,0.0,0.0,0.0,1196938.97,0.0,0.0,3208.62,0.0,18727.87,2199023.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207718.0,402716.33,266019.7
1062547127159,60742.19,0.0,0.0,0.0,0.0,0.0,1196.92,42932.95,0.0,0.0,0.0,8848.2,3465.92,0.0,1914.66,0.0,0.0,0.0,1551.26,7552.29,3648.51,25413.52,0.0,0.0,0.0,1275.68,605.0,0.0,577.08,40.0,25352.12,3302.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.21,5011.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104815.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38665.77,0.0,260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10767781030774,731157.0,57301.0,365667.0,0.0,54045.0,234829.0,0.0,109814.0,0.0,94372.0,0.0,44568.0,171123.0,21791.0,28147.0,0.0,0.0,0.0,8483.0,0.0,0.0,176605.0,0.0,147829.0,0.0,6262.0,9103.0,21154.0,85550.0,501918.0,149201.0,52128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22757.0,9390.0,0.0,0.0,0.0,453896.0,1439059.0,-15298.0,0.0,0.0,0.0,0.0,0.0,229141.0,0.0,0.0,90569.0,176368.0,0.0,0.0,0.0,0.0,44627.0,0.0,0.0,0.0,0.0,0.0,1239021.0,0.0,5873.0,24854.0,0.0,207654.0,37337.0,561897.0,0.0,0.0,0.0,0.0,5873.0,0.0,0.0,0.0,0.0,0.0,220000.0,0.0,281614.0,608711.0,138.0,0.0,0.0,6505.0,621592.0,0.0
1076778122770,176045.09,9120.0,23785.33,0.0,11369.54,25362.32,0.0,36399.54,0.0,0.0,0.0,24786.7,18362.13,5261.31,322.32,0.0,0.0,0.0,0.0,6070.35,303.82,17241.82,0.0,38061.03,0.0,5528.98,0.0,16786.32,2430.62,60744.23,344540.74,4768.8,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,17528.0,0.0,0.0,0.0,131082.0,404987.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.0,0.0,952.0,39474.3,31281.48,0.0,0.0,12130.64,0.0,0.0,0.0,0.0,0.0,0.0,442095.49,0.0,0.0,0.0,0.0,1800.0,48721.66,0.0,141700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265604.47,0.0,120574.0,108104.83,0.0,0.0,11741.16,190512.69,0.0
110017109835,3587226.22,39180.0,337657.0,26575.0,346305.0,0.0,162289.0,326380.95,0.0,318650.75,84964.1,126456.88,332888.46,78151.94,57031.11,0.0,0.0,0.0,0.0,361692.0,3186.49,125158.84,8548.78,39375.4,0.0,50658.0,21667.03,51464.15,289864.4,1131954.0,2317565.66,61697.41,0.0,0.0,0.0,0.0,0.0,125928.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1576651.0,5670301.0,5828.0,0.0,0.0,0.0,0.0,0.0,124350.0,0.0,232468.0,0.0,50794.0,0.0,0.0,477355.37,0.0,0.0,0.0,0.0,0.0,0.0,2465151.85,0.0,0.0,80993.21,133352.38,457059.5,1246779.47,0.0,1840995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495473.59,0.0,577743.49,54561.0,0.0,30664.25,766254.41,1879704.24,0.0
110017112607,900879.0,83344.0,234222.0,0.0,66003.0,88747.0,0.0,90189.0,0.0,98730.0,0.0,39278.0,130749.0,19938.0,20026.0,1133.0,0.0,0.0,1421.0,4783.0,8759.0,32448.0,7535.0,13003.0,370282.0,1495.0,2388.0,24378.0,88367.0,394400.0,102619.0,24869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35743.0,0.0,0.0,0.0,0.0,1341292.0,15732.0,0.0,0.0,0.0,0.0,0.0,514242.0,172144.0,48035.0,0.0,0.0,0.0,0.0,0.0,0.0,187775.0,0.0,0.0,0.0,0.0,0.0,-75207.0,0.0,-10496.0,439387.0,0.0,356186.0,0.0,-44003.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204277.0,0.0,204277.0,0.0,0.0,0.0,71908.0,508310.0,214065.0
110017118489,1204575.3,295372.33,162693.75,0.0,67542.26,25663.41,0.0,118251.58,183308.9,121834.62,39276.11,60846.32,243475.55,11367.46,23800.65,0.0,0.0,0.0,25506.68,0.0,55494.17,120682.5,47289.61,121894.06,0.0,30781.97,19012.87,17171.88,53345.87,336378.18,174370.47,42213.02,0.0,0.0,0.0,0.0,0.0,133826.28,0.0,0.0,0.0,0.0,169906.63,0.0,0.0,0.0,0.0,527754.0,1939651.0,2378.0,0.0,0.0,0.0,0.0,0.0,0.0,283534.39,61384.0,115593.15,151127.0,0.0,0.0,0.0,0.0,-481999.47,0.0,0.0,0.0,0.0,1150399.14,289250.0,0.0,25753.74,11000.0,280414.5,598479.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665095.18,0.0,462803.0,0.0,0.0,11240.08,313569.16,490791.84,233632.15
110017123968,325549.25,576.0,141721.93,37569.02,124116.48,0.0,0.0,39528.98,75308.4,40688.08,0.0,25803.98,59002.25,9284.37,12425.29,140.0,0.0,0.0,0.0,7902.23,4765.67,23989.27,12498.91,4163.54,0.0,2486.03,2141.0,17471.1,69665.52,66329.7,249104.81,5556.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131343.0,276964.0,0.0,0.0,0.0,0.0,0.0,0.0,205759.0,238805.11,11593.0,0.0,0.0,0.0,0.0,0.0,0.0,114351.25,0.0,0.0,0.0,0.0,419654.71,0.0,0.0,0.0,0.0,0.0,57602.65,0.0,0.0,0.0,372500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103903.31,0.0,16006.2,0.01,0.0,0.0,250785.31,152801.94,177634.0
110017124172,374450.32,40.0,0.0,0.0,58562.8,0.0,116199.99,0.0,11256.33,33915.51,0.0,17574.36,52326.66,4327.54,12683.92,0.0,0.0,0.0,1062.0,15117.04,4507.22,18880.69,27238.21,45977.85,0.0,4434.97,980.0,11904.87,27943.88,177507.16,385156.16,5472.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,0.0,0.0,169958.0,624644.77,102.0,0.0,0.0,0.0,0.0,0.0,0.0,75887.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202775.74,0.0,0.0,0.0,0.0,369299.57,0.0,0.0,1155.9,30000.0,0.0,47092.71,0.0,0.0,0.0,187500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368638.5,0.0,179434.5,0.0,0.0,0.0,467834.42,172022.9,86714.71
110017125567,524367.52,0.0,205230.88,0.0,299730.65,24333.37,0.0,48666.63,45983.7,48428.84,0.0,51772.14,72210.04,12730.59,15217.19,0.0,0.0,0.0,0.0,0.0,0.0,164088.57,51732.71,47618.18,0.0,0.0,0.0,14928.61,73529.28,64005.07,548289.49,3921.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206828.0,435566.0,0.0,0.0,0.0,0.0,0.0,0.0,324587.0,425000.0,0.0,47288.39,0.0,65315.0,0.0,0.0,0.0,44624.38,0.0,0.0,0.0,0.0,466205.29,0.0,0.0,5015.4,0.0,0.0,339489.94,0.0,80000.0,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-153644.87,0.0,0.0,0.0,0.0,0.0,383581.53,157087.59,117887.0
