CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3751-3752,3801-3802,3901-3902,4100,4200,4300,4400,4700,5100,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7281-7299,7438,7439,7630-7699,8011,8015,8019,8020-8039,8040-8079,8080-8089,"8091, 8097",8092,8096,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9400-9499,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9730,9740,9770,"9775, 9780",9790,9791,"9793, 9795",LocalRevAO,StateRevAO,StateRevSE
01611920119248,318063.0,0.0,0.0,0.0,60469.0,0.0,84500.0,31794.0,38027.0,25259.0,0.0,21506.0,33452.0,5361.0,9198.0,0.0,0.0,0.0,0.0,0.0,44296.0,10176.0,43986.0,588.0,0.0,18073.0,3428.0,5438.0,35588.0,46638.0,189224.0,1228.0,0.0,0.0,0.0,0.0,0.0,9581.0,0.0,0.0,0.0,0.0,6220.0,2156.0,0.0,0.0,0.0,268312.0,-3849.0,0.0,0.0,0.0,0.0,0.0,254616.0,174573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501555.0,0.0,0.0,0.0,0.0,-7863.0,0.0,0.0,4017.0,2750.0,9575.0,46513.0,0.0,0.0,0.0,150000.0,0.0,0.0,4017.0,0.0,0.0,0.0,0.0,0.0,309503.97,349283.97,78367.0,162521.0,73946.0,0.0
01612590100065,615076.0,0.0,215344.0,0.0,0.0,0.0,0.0,47083.0,55821.0,47574.0,0.0,35646.0,205980.0,7753.0,19235.0,0.0,0.0,0.0,11972.0,18382.0,5300.0,38146.0,6043.0,73495.0,300000.0,41232.0,18491.0,15789.0,43006.0,197845.0,383153.0,7926.0,0.0,0.0,0.0,0.0,0.0,20175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063690.0,-32267.0,0.0,0.0,0.0,0.0,0.0,362813.0,66632.0,0.0,56833.0,87484.0,0.0,0.0,0.0,0.0,17557.0,0.0,0.0,0.0,0.0,640470.0,0.0,0.0,12412.0,12610.0,27719.0,231632.0,0.0,0.0,0.0,0.0,0.0,0.0,12412.0,0.0,50471.0,0.0,0.0,0.0,416253.0,458064.0,63895.0,30113.0,752346.0,0.0
01612590100123,214804.14,0.0,0.0,0.0,13633.0,94345.0,95798.25,24975.0,0.0,0.0,0.0,27671.43,22143.77,2481.78,1006.0,0.0,0.0,0.0,0.0,26158.05,0.0,20236.45,0.0,15.38,0.0,2654.02,4859.68,360.83,31699.84,292845.45,200739.56,5330.53,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434218.0,-20883.0,0.0,0.0,0.0,0.0,0.0,190808.0,28880.0,0.0,0.0,56429.0,0.0,0.0,0.0,0.0,97228.0,0.0,0.0,0.0,0.0,314522.0,194246.0,0.0,0.0,25000.0,178137.0,51318.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,657814.8,449000.57,221396.43,72103.36,417620.6,0.0
01612590101469,723883.0,104147.0,293584.0,0.0,98046.0,0.0,0.0,128699.0,36795.0,87967.0,0.0,20106.0,133967.0,25462.0,19484.0,0.0,0.0,0.0,8571.0,14600.0,0.0,60332.0,31196.0,17775.0,91210.0,19317.0,1236.0,17342.0,170625.0,180665.0,85314.0,15346.0,0.0,0.0,0.0,0.0,0.0,3245.0,0.0,16846.0,423410.0,55339.0,0.0,1555.0,0.0,0.0,0.0,1118098.0,-37368.0,0.0,0.0,0.0,0.0,0.0,384856.0,313830.0,50689.0,0.0,111015.0,0.0,0.0,0.0,0.0,12558.0,0.0,0.0,0.0,0.0,463762.0,0.0,0.0,15996.0,4137.0,20436.0,492315.0,0.0,0.0,0.0,0.0,0.0,0.0,15996.0,0.0,0.0,0.0,0.0,0.0,8578.0,175831.0,3.0,329994.0,351568.0,112122.0
01612590106906,539419.04,179624.72,0.0,0.0,0.0,0.0,0.0,86977.49,0.0,55045.34,0.0,18124.67,127444.85,11392.79,19751.0,0.0,0.0,0.0,2143.82,30780.45,3854.37,57852.42,3169.55,5340.73,0.0,21203.66,5088.66,11111.0,172437.45,67358.68,102842.66,347.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114846.0,0.0,0.0,0.0,0.0,0.0,744853.0,-22355.0,0.0,0.0,0.0,0.0,0.0,280595.0,0.0,0.0,0.0,121852.31,0.0,0.0,0.0,0.0,52135.72,0.0,0.0,0.0,0.0,161772.47,0.0,0.0,0.0,0.0,178546.18,173150.8,0.0,0.0,0.0,123720.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95582.77,221399.45,3367.55,59575.98,322451.79,0.0
01612590108803,712547.0,2309.0,90757.0,0.0,158677.0,57366.0,0.0,91284.0,23203.0,79371.0,23539.0,34207.0,125249.0,5675.0,9913.0,0.0,0.0,0.0,7911.0,0.0,16555.0,46628.0,4136.0,113961.0,0.0,7749.0,1474.0,6321.0,38454.0,144767.0,77288.0,21463.0,0.0,0.0,0.0,0.0,0.0,29877.0,0.0,0.0,0.0,0.0,221604.0,1609.0,0.0,0.0,0.0,910157.0,-35409.0,0.0,0.0,0.0,0.0,0.0,398744.0,56641.0,45405.0,90499.0,102266.0,0.0,0.0,0.0,0.0,-10334.0,0.0,0.0,0.0,0.0,759548.0,0.0,0.0,0.0,10000.0,85277.0,357656.0,0.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8467.0,0.0,0.0,178368.0,-121921.03,-2.97,100660.0,684468.0,109222.0
01612590108944,691392.41,0.0,154751.25,0.0,0.0,0.0,0.0,0.0,95665.07,0.0,0.0,13533.09,71374.37,8911.11,13056.92,38691.07,0.0,0.0,0.0,38686.84,0.0,115895.21,17110.59,74668.16,0.0,1903.11,8349.38,9352.65,34913.92,249214.06,360829.27,13205.79,0.0,0.0,0.0,0.0,0.0,2471.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906618.0,0.0,0.0,0.0,0.0,0.0,0.0,280745.0,134718.04,0.0,55691.44,223333.0,0.0,0.0,0.0,0.0,224340.04,0.0,0.0,0.0,0.0,809287.0,0.0,0.0,6907.43,0.0,24420.72,236917.76,0.0,58918.0,175997.37,0.0,0.0,0.0,6907.43,0.0,0.0,0.0,0.0,0.0,586215.06,104561.87,22302.13,328623.61,468229.43,82276.0
01612590109819,1581798.0,1481.0,220121.0,0.0,183306.0,38184.0,0.0,131872.0,118864.0,140560.0,46288.0,66233.0,305063.0,12090.0,22160.0,0.0,0.0,0.0,13506.0,0.0,28650.0,119203.0,60601.0,199448.0,0.0,12791.0,2730.0,6339.0,69481.0,164021.0,110998.0,29596.0,0.0,0.0,0.0,0.0,0.0,14613.0,0.0,0.0,0.0,0.0,461512.0,1886.0,0.0,0.0,0.0,1927600.0,-63332.0,0.0,0.0,0.0,0.0,0.0,823386.0,120861.0,105312.0,187237.0,199943.0,0.0,0.0,0.0,0.0,822704.0,0.0,0.0,0.0,0.0,1388441.0,0.0,0.0,0.0,0.0,21248.0,585374.0,0.0,845000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162768.0,0.0,0.0,639251.0,386839.84,-0.84,222690.0,824521.0,230357.0
01612590109983,1631702.0,0.0,110881.0,0.0,0.0,273588.0,23446.0,0.0,0.0,139037.0,30408.0,45530.0,375849.0,17174.0,27279.0,0.0,0.0,0.0,0.0,17733.0,916.0,80131.0,17695.0,40230.0,0.0,1574.0,3218.0,7249.0,79183.0,132983.0,953912.0,13587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1542890.0,-64061.0,0.0,0.0,0.0,0.0,0.0,684475.0,335391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1185697.0,0.0,0.0,0.0,0.0,1362067.0,0.0,0.0,42830.0,0.0,0.0,1118501.0,0.0,0.0,0.0,0.0,0.0,0.0,42830.0,0.0,0.0,0.0,146255.0,1283008.0,0.0,1858351.51,-19340.51,2157.0,1155535.0,0.0
01612590111476,469918.0,0.0,104440.0,0.0,0.0,122197.0,12078.0,0.0,0.0,56801.0,13966.0,18345.0,99069.0,6473.0,12837.0,0.0,0.0,0.0,0.0,8566.0,366.0,33627.0,11228.0,19503.0,0.0,6458.0,1090.0,3411.0,37420.0,69097.0,461934.0,10145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786368.0,-31516.0,0.0,0.0,0.0,0.0,0.0,341219.0,71007.0,0.0,11766.0,104281.0,0.0,0.0,0.0,0.0,521792.0,0.0,0.0,0.0,0.0,559431.0,0.0,0.0,17763.0,0.0,0.0,681090.0,0.0,0.0,0.0,0.0,0.0,0.0,17763.0,0.0,0.0,0.0,63197.0,336936.0,0.0,432924.33,-15974.33,395.0,296395.0,0.0
