CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3801-3802,3901-3902,4100,4200,4300,4400,4700,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7438,7439,7630-7699,8011,8015,8019,8020-8039,8040-8079,8080-8089,"8091, 8097",8092,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9400-9499,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9730,9740,9770,"9775, 9780",9790,9791,"9793, 9795",LocalRevAO,StateRevAO,StateRevSE
61259010106906,261441.32,0.0,0.0,0.0,0.0,0.0,43472.36,0.0,0.0,0.0,0.0,23051.96,40734.86,4380.78,13508.15,0.0,0.0,2037.31,48400.94,1192.27,39555.23,17361.56,30472.43,6385.44,1906.12,5335.18,8708.98,186553.32,131315.6,16777.98,0.0,0.0,0.0,12340.52,0.0,0.0,640.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209303.0,0.0,0.0,0.0,0.0,449260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49668.49,0.0,0.0,0.0,0.0,38418.0,0.0,0.0,0.0,20206.44,0.0,0.0,0.0,58624.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49668.49,0.0,0.0,127819.48,0.0,0.0
61259010107169,166471.14,0.0,74051.89,0.0,0.0,0.0,64286.25,19729.98,5655.0,13717.16,0.0,10651.93,17104.7,3365.53,11378.82,0.0,0.0,1514.07,0.0,22908.42,12989.98,27355.49,69.84,391.0,1453.8,3946.09,15288.37,56306.25,173464.45,5174.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223310.0,0.0,0.0,0.0,0.0,0.0,0.0,380000.0,0.0,0.0,33603.0,0.0,0.0,0.0,0.0,241284.95,0.0,0.0,0.0,0.0,11235.24,0.0,0.0,12924.44,10175.0,0.0,26376.22,0.0,0.0,0.0,200000.0,0.0,0.0,12924.44,0.0,0.0,0.0,0.0,0.0,36318.97,0.0,0.0,85.3,6668.21,0.0
61259010130518,600597.0,0.0,85000.0,5052.0,0.0,29376.0,107424.0,98232.0,10561.0,0.0,0.0,69408.0,66651.0,13043.0,45277.0,0.0,0.0,0.0,25844.0,13692.0,33889.0,27183.0,0.0,1035.0,1383.0,25107.0,35107.0,112628.0,246956.0,16746.0,0.0,0.0,0.0,0.0,0.0,19265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151208.0,0.0,0.0,0.0,0.0,36394.0,0.0,0.0,0.0,0.0,134495.0,0.0,0.0,0.0,5090.0,51104.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219083.0,45869.66,49865.34,300619.0,178758.0,0.0
61259010130591,685182.74,80166.58,0.0,45184.89,80166.58,0.0,85662.0,64872.0,0.0,0.0,0.0,76594.81,108765.08,8437.3,19877.04,0.0,0.0,27461.0,127600.02,61847.59,13892.57,63819.46,3926.23,8174.37,5209.91,27581.44,105793.58,397589.47,194890.32,30319.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91986.7,27846.21,0.0,0.0,0.0,1827622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115249.8,0.0,0.0,0.0,0.0,205748.56,0.0,0.0,0.0,141296.25,0.0,115639.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346654.83,84812.0,29335.0,0.0,82145.8,0.0
61259010130617,986428.93,0.0,194996.15,0.0,0.0,0.0,61800.0,159610.12,39287.79,95904.87,10476.36,34483.72,155835.18,22388.43,72843.0,0.0,0.0,0.03,57669.64,28828.02,55331.76,11555.72,86215.55,2788.21,3012.0,16843.0,129743.46,207756.5,335290.36,11314.36,0.0,2461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400840.0,-958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50346.54,144178.85,0.0,0.0,0.0,0.0,405946.32,0.0,0.0,40000.0,9871.56,178099.17,32364.06,0.0,0.0,0.0,0.0,450077.58,0.0,0.0,22617.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52300.0,141286.07,72098.3,-7024.04,377165.1,158186.48,0.0
61259010130633,671126.37,0.0,65000.0,0.0,106655.15,26649.99,175941.97,84480.87,0.0,0.0,0.0,16493.38,37027.58,7917.46,43845.72,0.0,0.0,85417.85,0.0,33058.97,119697.11,55962.29,6909.74,28741.84,2959.0,11480.2,26705.95,265804.04,289006.25,15643.01,0.0,0.0,0.0,0.0,0.0,14231.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77947.0,0.0,0.0,0.0,0.0,420967.65,0.0,0.0,0.0,0.0,229851.22,0.0,0.0,847.0,10000.0,49844.87,144039.71,0.0,0.0,0.0,0.0,0.0,0.0,847.0,0.0,0.0,0.0,0.0,0.0,566624.03,323522.71,50709.44,633994.32,266968.94,0.0
61259010130666,1009798.82,59045.15,87616.83,0.0,38303.87,0.0,0.0,112400.18,99620.31,86502.8,16969.71,31459.92,127056.33,15986.51,47436.94,0.0,0.0,15448.75,0.0,28276.83,77063.81,16239.87,9189.1,11348.93,1948.09,42513.56,62926.34,13235.11,189877.04,22457.82,0.0,0.0,0.0,0.0,0.0,411855.31,0.0,0.0,0.0,0.0,705038.63,0.0,0.0,0.0,1549916.0,52113.0,0.0,0.0,0.0,0.0,0.0,199789.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980575.17,0.0,0.0,0.0,0.0,398743.78,0.0,0.0,0.0,253431.57,9250515.88,413916.85,0.0,125000.0,13163.5,9435000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896186.05,1096553.2,25590.8,227764.86,228950.59,0.0
61259013030772,1028610.08,0.0,318980.06,0.0,0.0,133554.41,238405.25,236521.43,0.0,217694.55,0.0,51687.19,128383.97,14561.25,76799.26,0.0,0.0,4898.15,0.0,12525.58,153882.55,2816.08,5065.85,4157.76,1752.77,20025.55,167828.27,538309.95,403068.83,41745.9,0.0,0.0,0.0,0.0,0.0,375693.63,0.0,0.0,0.0,84428.71,15557.9,0.0,2059081.54,0.0,1003066.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1238.0,0.0,2059081.54,0.0,0.0,0.0,213620.89,0.0,500.0,0.0,0.0,0.0,0.0,0.0,7019.76,0.0,1852125.35,537930.09,0.0,1248128.6,0.0,231849.64,0.0,0.0,7019.76,0.0,0.0,0.0,0.0,0.0,48337.91,57473.0,191518.16,2585328.18,0.0,0.0
61259016111660,240760.09,0.0,69698.73,0.0,0.0,0.0,0.0,48362.86,33700.5,0.0,0.0,32698.4,21422.33,8457.39,32056.99,0.0,0.0,0.0,36733.93,0.0,7090.81,0.0,0.0,15931.65,0.0,27002.35,75437.51,338752.98,177535.79,3629.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511285.2,0.0,0.0,0.0,0.0,0.0,0.0,102093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327454.27,0.0,0.0,90000.0,0.0,262155.84,0.0,0.0,589.6,21800.0,499241.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.6,0.0,0.0,0.0,0.0,0.0,1200651.4,55000.0,1085293.0,8896.31,272647.65,0.0
61259016113807,257299.73,0.0,0.0,0.0,0.0,0.0,92669.63,45750.0,0.0,0.0,0.0,18226.12,21391.26,2580.1,10041.12,0.0,0.0,0.0,68496.12,0.0,0.0,0.0,0.0,7129.62,683.2,3736.0,315587.71,138902.12,51761.38,4824.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496875.31,0.0,0.0,0.0,0.0,0.0,0.0,81396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212985.87,0.0,0.0,0.0,0.0,188969.38,0.0,0.0,0.0,0.0,62453.2,143669.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320739.04,226267.88,159442.12,29875.0,60009.26,0.0
