School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,School Level Code [Public School] 2012-13,School Level Code [Public School] 2011-12,School Level Code [Public School] 2010-11,Lowest Grade Offered [Public School] 2012-13,Lowest Grade Offered [Public School] 2011-12,Lowest Grade Offered [Public School] 2010-11,Highest Grade Offered [Public School] 2012-13,Highest Grade Offered [Public School] 2011-12,Highest Grade Offered [Public School] 2010-11,Prekindergarten offered [Public School] 2012-13,Prekindergarten offered [Public School] 2011-12,Prekindergarten offered [Public School] 2010-11,Kindergarten offered [Public School] 2012-13,Kindergarten offered [Public School] 2011-12,Kindergarten offered [Public School] 2010-11,Total Students All Grades (Excludes AE) [Public School] 2012-13,Total Students All Grades (Excludes AE) [Public School] 2011-12,Total Students All Grades (Excludes AE) [Public School] 2010-11,Free Lunch Eligible [Public School] 2012-13,Free Lunch Eligible [Public School] 2011-12,Free Lunch Eligible [Public School] 2010-11,Reduced-price Lunch Eligible Students [Public School] 2012-13,Reduced-price Lunch Eligible Students [Public School] 2011-12,Reduced-price Lunch Eligible Students [Public School] 2010-11,Free and Reduced Lunch Students [Public School] 2012-13,Free and Reduced Lunch Students [Public School] 2011-12,Free and Reduced Lunch Students [Public School] 2010-11,Prekindergarten and Kindergarten Students [Public School] 2012-13,Prekindergarten and Kindergarten Students [Public School] 2011-12,Prekindergarten and Kindergarten Students [Public School] 2010-11,Grades 1-8 Students [Public School] 2012-13,Grades 1-8 Students [Public School] 2011-12,Grades 1-8 Students [Public School] 2010-11,Grades 9-12 Students [Public School] 2012-13,Grades 9-12 Students [Public School] 2011-12,Grades 9-12 Students [Public School] 2010-11,Prekindergarten Students [Public School] 2012-13,Prekindergarten Students [Public School] 2011-12,Prekindergarten Students [Public School] 2010-11,Kindergarten Students [Public School] 2012-13,Kindergarten Students [Public School] 2011-12,Kindergarten Students [Public School] 2010-11,Male Students [Public School] 2012-13,Male Students [Public School] 2011-12,Male Students [Public School] 2010-11,Female Students [Public School] 2012-13,Female Students [Public School] 2011-12,Female Students [Public School] 2010-11,American Indian/Alaska Native Students [Public School] 2012-13,American Indian/Alaska Native Students [Public School] 2011-12,American Indian/Alaska Native Students [Public School] 2010-11,Asian or Asian/Pacific Islander Students [Public School] 2012-13,Asian or Asian/Pacific Islander Students [Public School] 2011-12,Asian or Asian/Pacific Islander Students [Public School] 2010-11,Hispanic Students [Public School] 2012-13,Hispanic Students [Public School] 2011-12,Hispanic Students [Public School] 2010-11,Black Students [Public School] 2012-13,Black Students [Public School] 2011-12,Black Students [Public School] 2010-11,White Students [Public School] 2012-13,White Students [Public School] 2011-12,White Students [Public School] 2010-11,Hawaiian Nat./Pacific Isl. Students [Public School] 2012-13,Hawaiian Nat./Pacific Isl. Students [Public School] 2011-12,Hawaiian Nat./Pacific Isl. Students [Public School] 2010-11,Two or More Races Students [Public School] 2012-13,Two or More Races Students [Public School] 2011-12,Two or More Races Students [Public School] 2010-11,Total Race/Ethnicity [Public School] 2012-13,Total Race/Ethnicity [Public School] 2011-12,Total Race/Ethnicity [Public School] 2010-11
100 BLACK MEN OF THE BAY AREA COMMUNITY,California,062805013190,4-Other,†,†,Kindergarten,†,†,12th Grade,†,†,2-No,†,†,1-Yes,†,†,87,†,†,18,†,†,0,†,†,18,†,†,17,†,†,70,†,†,0,†,†,†,†,†,17,†,†,87,†,†,0,†,†,0,†,†,0,†,†,2,†,†,83,†,†,1,†,†,0,†,†,1,†,†,87,†,†
180 PROGRAM,California,062772013070,4-Other,†,†,6th Grade,†,†,12th Grade,†,†,2-No,†,†,2-No,†,†,4,†,†,–,†,†,–,†,†,–,†,†,†,†,†,3,†,†,1,†,†,†,†,†,†,†,†,4,†,†,0,†,†,0,†,†,1,†,†,2,†,†,0,†,†,0,†,†,0,†,†,1,†,†,4,†,†
A PLACE TO GROW,California,062827013394,†,†,†,†,†,†,†,†,†,2-No,†,†,2-No,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
A. E. ARNOLD ELEMENTARY,California,061044001166,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,714,725,738,200,–,167,70,–,78,270,363,245,80,72,92,634,653,646,–,†,†,†,†,†,80,72,92,360,376,382,354,349,356,0,3,3,282,277,277,176,180,173,37,34,37,183,193,203,4,2,4,32,36,41,714,725,738
A. G. CURRIE MIDDLE,California,064015006636,2-Middle,2-Middle,2-Middle,6th Grade,6th Grade,6th Grade,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,640,660,731,514,†,571,77,†,94,591,†,665,†,†,†,640,660,731,–,†,†,†,†,†,†,†,†,333,359,371,307,301,360,1,2,2,20,22,21,583,585,663,14,24,20,12,19,18,6,5,6,4,3,1,640,660,731
A. J. COOK ELEMENTARY,California,061488001834,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,380,369,395,232,†,226,29,†,63,261,†,289,48,39,81,332,330,314,–,†,†,†,†,†,48,39,81,204,194,226,176,175,169,0,0,0,269,258,261,88,91,105,4,4,7,11,11,17,4,5,5,4,0,0,380,369,395
A. J. DORSA ELEMENTARY,California,060231000103,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,525,539,527,517,536,363,0,–,102,517,536,465,82,82,80,443,457,447,–,†,†,†,†,†,82,82,80,274,289,278,251,250,249,0,0,0,25,20,19,480,503,498,2,3,0,2,0,0,9,8,9,7,5,1,525,539,527
A. L. CONNER ELEMENTARY,California,061970010780,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,407,389,364,393,†,274,0,†,25,393,†,299,80,76,75,327,313,289,–,†,†,†,†,†,80,76,75,211,201,189,196,188,175,0,1,0,1,2,2,395,377,356,4,4,2,7,4,3,0,0,0,0,1,1,407,389,364
A. M. THOMAS MIDDLE,California,062295007772,2-Middle,2-Middle,2-Middle,6th Grade,6th Grade,5th Grade,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,149,164,158,138,161,152,4,–,3,142,161,155,†,†,†,149,164,158,–,†,†,†,†,†,†,†,†,76,78,79,73,86,79,0,0,0,2,1,0,147,162,158,0,0,0,0,1,0,0,0,0,0,0,0,149,164,158
A. M. WINN WALDORF-INSPIRED,California,063384005217,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,335,375,375,241,†,228,40,†,70,281,†,298,39,60,50,296,315,325,–,†,†,†,†,†,39,60,50,149,178,187,186,197,188,3,1,0,25,29,28,101,97,99,45,65,72,142,163,162,0,2,0,19,18,14,335,375,375
ABBOTT MIDDLE,California,063492005896,2-Middle,2-Middle,2-Middle,6th Grade,6th Grade,6th Grade,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,761,773,770,225,–,256,62,–,50,287,197,306,†,†,†,761,773,770,–,†,†,†,†,†,†,†,†,413,417,407,348,356,363,0,0,0,123,114,97,328,346,338,22,16,21,248,262,276,14,15,17,26,20,21,761,773,770
ABBY REINKE ELEMENTARY,California,060002808271,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,894,912,931,82,†,72,42,†,18,124,†,90,135,121,134,759,791,797,–,†,†,†,†,†,135,121,134,462,458,449,432,454,482,7,3,3,48,54,56,212,209,221,18,13,14,530,561,572,2,2,2,77,70,63,894,912,931
ABC ADULT,California,060162012587,†,†,†,†,†,†,†,†,†,2-No,2-No,2-No,2-No,2-No,2-No,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ABC SECONDARY (ALTERNATIVE),California,060162010232,3-High,3-High,3-High,7th Grade,7th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,103,109,155,67,–,15,4,–,4,71,35,19,†,†,†,1,1,†,102,108,155,†,†,†,†,†,†,65,59,80,38,50,75,1,1,1,5,4,6,75,83,111,6,5,8,15,14,26,0,0,0,1,2,3,103,109,155
ABERNATHY COLLEGIATE CHARTER,California,063888013102,4-Other,†,†,6th Grade,†,†,12th Grade,†,†,2-No,†,†,2-No,†,†,–,†,†,–,†,†,–,†,†,–,†,†,†,†,†,–,†,†,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†
ABRAHAM LINCOLN,California,062985004650,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,627,581,548,124,†,475,0,†,44,124,†,519,124,92,82,503,489,466,–,†,†,†,†,†,124,92,82,290,283,280,337,298,268,0,0,0,3,3,3,583,541,505,26,26,22,6,5,10,7,3,4,2,3,4,627,581,548
ABRAHAM LINCOLN ALTERNATIVE,California,063762002045,4-Other,4-Other,4-Other,Kindergarten,Kindergarten,Kindergarten,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,125,84,146,79,–,0,1,–,0,80,42,0,0,0,0,25,21,66,100,63,80,†,†,†,0,0,0,61,44,83,64,40,63,0,1,2,1,0,0,62,45,53,13,8,10,38,26,21,0,0,0,11,4,60,125,84,146
ABRAHAM LINCOLN CONTINUATION,California,063315005148,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,267,292,285,187,–,160,24,–,16,211,4,176,†,†,†,†,†,†,267,292,285,†,†,†,†,†,†,171,184,165,96,108,120,2,1,2,1,1,1,231,252,243,23,15,24,9,21,14,0,0,0,1,2,1,267,292,285
ABRAHAM LINCOLN ELEMENTARY,California,063384005218,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,473,483,492,340,†,336,44,†,51,384,†,387,66,69,81,407,414,411,–,†,†,†,†,†,66,69,81,229,243,231,244,240,261,2,1,3,28,31,39,161,175,172,81,80,83,166,169,172,7,8,12,28,19,11,473,483,492
ABRAHAM LINCOLN ELEMENTARY,California,060939000951,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,658,669,727,567,†,613,44,†,41,611,†,654,88,102,100,570,567,627,–,†,†,†,†,†,88,102,100,325,343,371,333,326,356,4,3,3,1,3,3,626,633,672,9,14,27,16,16,21,0,0,1,2,0,0,658,669,727
ABRAHAM LINCOLN ELEMENTARY,California,061111001230,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,737,720,738,586,†,525,85,†,81,671,†,606,115,97,95,622,623,643,–,†,†,†,†,†,115,97,95,380,363,387,357,357,351,1,4,2,10,9,11,586,576,577,20,19,25,102,97,115,0,0,0,18,15,8,737,720,738
ABRAHAM LINCOLN ELEMENTARY,California,062724000755,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,669,622,608,47,†,54,4,†,10,51,†,64,87,74,81,582,548,527,–,†,†,†,†,†,87,74,81,334,317,324,335,305,284,1,0,0,58,49,57,68,60,48,12,11,10,509,490,489,2,3,3,19,9,1,669,622,608
ABRAHAM LINCOLN ELEMENTARY,California,063531005993,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1045,1036,1053,1042,†,825,0,†,150,1042,†,975,196,201,158,849,835,895,–,†,†,†,†,†,196,201,158,520,525,560,525,511,493,0,0,0,14,13,14,1019,1009,1027,2,5,9,1,2,2,4,4,1,5,3,0,1045,1036,1053
ABRAHAM LINCOLN ELEMENTARY,California,061524001937,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,471,473,486,90,114,96,41,0,12,131,114,108,65,50,74,406,423,412,–,†,†,†,†,†,65,50,74,239,243,247,232,230,239,1,1,1,92,96,96,90,86,81,1,2,0,259,267,295,0,0,0,28,21,13,471,473,486
ABRAHAM LINCOLN ELEMENTARY,California,061029001139,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,725,735,740,13,†,6,2,†,1,15,†,7,93,92,104,632,643,636,–,†,†,†,†,†,93,92,104,370,373,372,355,362,368,0,0,0,629,648,645,17,17,13,0,0,0,61,60,76,1,0,1,17,10,5,725,735,740
ABRAHAM LINCOLN ELEMENTARY,California,063581006125,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,375,381,366,306,†,297,51,†,54,357,†,351,49,53,57,326,328,309,–,†,†,†,†,†,49,53,57,183,186,188,192,195,178,3,3,0,3,6,5,355,361,348,0,4,4,9,3,6,1,1,1,4,3,2,375,381,366
ABRAHAM LINCOLN HIGH,California,063459005696,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,1786,1754,1685,782,†,681,169,†,129,951,†,810,†,†,†,†,†,†,1786,1754,1685,†,†,†,†,†,†,870,846,797,916,908,888,6,6,10,121,119,125,1255,1213,1133,61,67,70,292,296,310,7,8,8,44,45,29,1786,1754,1685
ABRAHAM LINCOLN MIDDLE,California,063627001989,2-Middle,2-Middle,2-Middle,7th Grade,7th Grade,7th Grade,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,981,964,958,760,–,645,110,–,90,870,526,735,†,†,†,981,964,958,–,†,†,†,†,†,†,†,†,490,474,480,491,490,478,3,6,6,48,58,50,863,818,811,3,2,9,59,75,77,1,1,4,4,4,1,981,964,958
ABRAHAM LINCOLN SENIOR HIGH,California,062271003139,3-High,3-High,3-High,9th Grade,9th Grade,8th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,1551,2045,2464,629,–,824,11,–,15,640,497,839,†,†,†,†,†,1,1551,2045,2463,†,†,†,†,†,†,818,1069,1291,733,976,1173,3,10,8,409,446,471,1123,1562,1942,11,17,19,4,7,12,1,0,2,0,3,10,1551,2045,2464
ABRAXAS CONTINUATION HIGH,California,063153004883,3-High,3-High,3-High,9th Grade,9th Grade,11th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,200,220,245,49,†,51,12,†,10,61,†,61,†,†,†,†,†,1,137,163,188,†,†,†,†,†,†,81,135,155,56,85,90,3,0,2,10,23,27,36,54,43,11,16,26,74,120,143,0,3,1,3,4,3,137,220,245
ABRAXIS CHARTER,California,063583011483,3-High,3-High,3-High,9th Grade,9th Grade,8th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,28,61,68,8,–,0,0,–,0,8,–,0,†,†,†,†,†,1,28,61,67,†,†,†,†,†,†,20,40,47,8,21,21,1,7,3,1,0,2,16,32,41,1,3,3,9,14,16,0,1,0,0,4,3,28,61,68
ACACIA ELEMENTARY,California,060964001004,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,424,442,458,176,†,132,25,†,34,201,†,166,91,89,93,333,353,365,–,†,†,†,†,†,91,89,93,210,225,244,214,217,214,0,3,3,30,31,33,208,177,171,4,7,7,164,205,225,2,2,1,16,17,18,424,442,458
ACACIA ELEMENTARY,California,061473001790,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,677,649,593,97,†,70,46,†,30,143,†,100,89,82,97,588,567,496,–,†,†,†,†,†,89,82,97,320,307,274,357,342,319,3,3,3,115,123,109,189,175,162,5,5,6,311,291,287,1,0,0,53,52,26,677,649,593
ACACIA MIDDLE,California,061692002148,2-Middle,2-Middle,2-Middle,6th Grade,6th Grade,6th Grade,8th Grade,8th Grade,9th Grade,2-No,2-No,2-No,2-No,2-No,2-No,808,888,996,604,–,680,92,–,129,696,308,809,†,†,†,808,888,994,–,†,2,†,†,†,†,†,†,452,477,502,356,411,494,3,8,12,8,9,12,461,493,522,76,83,85,233,265,345,4,6,8,23,24,12,808,888,996
ACAD FOR MULTILIGUAL ARTS AND SCI AT MERVYN M. DYM,California,062271013079,3-High,†,†,9th Grade,†,†,12th Grade,†,†,2-No,†,†,2-No,†,†,328,†,†,212,†,†,7,†,†,219,†,†,†,†,†,†,†,†,328,†,†,†,†,†,†,†,†,164,†,†,164,†,†,0,†,†,0,†,†,240,†,†,87,†,†,1,†,†,0,†,†,0,†,†,328,†,†
ACAD OF ARTS AND SCIS: EL CAJON MIDDLE AND HIGH (6,California,062610013186,4-Other,†,†,6th Grade,†,†,12th Grade,†,†,2-No,†,†,2-No,†,†,16,†,†,4,†,†,2,†,†,6,†,†,†,†,†,0,†,†,16,†,†,†,†,†,†,†,†,4,†,†,12,†,†,0,†,†,0,†,†,8,†,†,0,†,†,8,†,†,0,†,†,0,†,†,16,†,†
ACAD OF ENVIRONMENTAL & SOC POLICY (ESP) AT ROOSEV,California,062271012733,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,344,337,299,153,–,225,3,–,18,156,60,243,†,†,†,†,†,†,344,337,299,†,†,†,†,†,†,164,155,132,180,182,167,0,0,0,0,2,1,342,335,296,1,0,1,1,0,1,0,0,0,0,0,0,344,337,299
ACADEMIA AVANCE CHARTER,California,069107810895,4-Other,4-Other,4-Other,6th Grade,6th Grade,6th Grade,12th Grade,12th Grade,11th Grade,2-No,2-No,2-No,2-No,2-No,2-No,470,449,405,410,–,300,39,–,56,449,343,356,†,†,†,227,233,242,243,216,163,†,†,†,†,†,†,244,227,203,226,222,202,0,3,3,0,1,1,464,441,396,0,3,4,0,1,1,0,0,0,6,0,0,470,449,405
ACADEMIA MODERNA,California,062271012455,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,3rd Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,358,263,202,298,102,171,41,0,28,339,102,199,81,54,53,277,209,149,–,†,†,†,†,†,81,54,53,182,123,98,176,140,104,0,0,0,0,0,0,357,261,198,0,1,0,1,1,4,0,0,0,0,0,0,358,263,202
ACADEMIC/VOCATIONAL CHARTER INSTITUTE,California,062949008366,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,71,61,56,60,†,34,4,†,9,64,†,43,†,†,†,†,†,†,71,61,56,†,†,†,†,†,†,33,29,32,38,32,24,0,0,0,0,0,0,69,59,55,0,0,0,2,1,1,0,0,0,0,1,0,71,61,56
ACADEMIES OF EDUCATION AND EMPOWERMENT AT CARSON H,California,062271013040,3-High,†,†,9th Grade,†,†,12th Grade,†,†,2-No,2-No,†,2-No,2-No,†,532,†,†,219,†,†,60,†,†,279,†,†,†,†,†,†,†,†,532,†,†,†,†,†,†,†,†,255,†,†,277,†,†,0,†,†,179,†,†,254,†,†,57,†,†,11,†,†,31,†,†,0,†,†,532,†,†
ACADEMIES OF THE ANTELOPE VALLEY,California,060282013154,3-High,†,†,7th Grade,†,†,12th Grade,†,†,2-No,†,†,2-No,†,†,257,†,†,83,†,†,20,†,†,103,†,†,†,†,†,162,†,†,95,†,†,†,†,†,†,†,†,119,†,†,138,†,†,0,†,†,9,†,†,102,†,†,42,†,†,61,†,†,1,†,†,42,†,†,257,†,†
ACADEMY FOR ACADEMIC EXCELLENCE,California,060001707296,4-Other,4-Other,4-Other,Kindergarten,Kindergarten,Kindergarten,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1354,1370,1347,212,348,239,41,0,100,253,348,339,91,94,93,848,860,832,415,416,422,†,†,†,91,94,93,674,680,683,680,690,664,6,6,6,81,68,62,376,387,343,54,61,63,744,739,756,4,6,5,89,103,112,1354,1370,1347
ACADEMY FOR CAREER EDUCATION CHARTER,California,064235008437,†,†,3-High,†,†,9th Grade,†,†,12th Grade,†,†,2-No,†,†,2-No,†,†,31,†,†,2,†,†,10,†,†,12,†,†,†,†,†,†,†,†,31,†,†,†,†,†,†,†,†,15,†,†,16,†,†,0,†,†,1,†,†,6,†,†,0,†,†,20,†,†,0,†,†,4,†,†,31
ACADEMY FOR CHANGE,California,060837011853,3-High,3-High,3-High,7th Grade,7th Grade,7th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,19,30,92,16,27,67,0,–,8,16,27,75,†,†,†,9,5,22,10,25,70,†,†,†,†,†,†,12,22,64,7,8,28,2,3,6,0,0,1,5,9,25,3,1,3,9,16,56,0,1,0,0,0,1,19,30,92
ACADEMY FOR ENRICHED SCIENCES,California,062271013006,1-Primary,1-Primary,†,1st Grade,1st Grade,†,5th Grade,5th Grade,†,2-No,2-No,†,2-No,2-No,†,216,103,†,38,100,†,10,–,†,48,100,†,†,†,†,216,103,†,–,†,†,†,†,†,†,†,†,129,67,†,87,36,†,2,0,†,77,26,†,54,25,†,12,7,†,71,45,†,0,0,†,0,0,†,216,103,†
ACADEMY OF ARTS AND SCIENCES,California,063441012526,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,340,341,357,148,165,165,28,0,30,176,165,195,†,†,†,1,†,†,339,341,357,†,†,†,†,†,†,163,169,180,177,172,177,3,4,2,76,85,99,157,152,143,26,25,35,44,60,65,4,2,0,30,13,13,340,341,357
ACADEMY OF ARTS AND SCIENCES: DEL MAR ELEMENTARY (,California,062610013068,1-Primary,†,†,Kindergarten,†,†,8th Grade,†,†,2-No,†,†,1-Yes,†,†,25,†,†,3,†,†,3,†,†,6,†,†,1,†,†,24,†,†,–,†,†,†,†,†,1,†,†,7,†,†,18,†,†,0,†,†,4,†,†,5,†,†,0,†,†,16,†,†,0,†,†,0,†,†,25,†,†
ACADEMY OF ARTS AND SCIENCES: DEL MAR MIDDLE & HIG,California,062610013179,4-Other,†,†,6th Grade,†,†,12th Grade,†,†,2-No,†,†,2-No,†,†,11,†,†,1,†,†,5,†,†,6,†,†,†,†,†,0,†,†,11,†,†,†,†,†,†,†,†,6,†,†,5,†,†,0,†,†,1,†,†,2,†,†,1,†,†,7,†,†,0,†,†,0,†,†,11,†,†
ACADEMY OF ARTS AND SCIENCES: EL CAJON ELEMENTARY,California,062610013140,1-Primary,†,†,Kindergarten,†,†,5th Grade,†,†,2-No,†,†,1-Yes,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,†,†,†,–,†,†,†,†,†,†,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†
ACADEMY OF ARTS AND SCIENCES: OXNARD & VENTURA,California,062646013077,4-Other,†,†,Kindergarten,†,†,12th Grade,†,†,2-No,†,†,1-Yes,†,†,17,†,†,3,†,†,1,†,†,4,†,†,0,†,†,8,†,†,9,†,†,†,†,†,0,†,†,8,†,†,9,†,†,0,†,†,2,†,†,6,†,†,0,†,†,8,†,†,0,†,†,1,†,†,17,†,†
ACADEMY OF ARTS AND SCIENCES: SONOMA,California,060994013111,4-Other,†,†,Kindergarten,†,†,12th Grade,†,†,2-No,†,†,1-Yes,†,†,2,†,†,–,†,†,–,†,†,–,†,†,0,†,†,2,†,†,0,†,†,†,†,†,0,†,†,1,†,†,1,†,†,0,†,†,0,†,†,0,†,†,1,†,†,1,†,†,0,†,†,0,†,†,2,†,†
ACADEMY OF ARTS AND SCIENCES: THOUSAND OAKS & SIMI,California,062646013069,4-Other,†,†,Kindergarten,†,†,12th Grade,†,†,2-No,†,†,1-Yes,†,†,51,†,†,12,†,†,3,†,†,15,†,†,4,†,†,34,†,†,13,†,†,†,†,†,4,†,†,26,†,†,25,†,†,2,†,†,2,†,†,8,†,†,9,†,†,26,†,†,0,†,†,4,†,†,51,†,†
ACADEMY OF CAREERS AND EXPLORATION,California,061686012368,4-Other,4-Other,4-Other,Kindergarten,Kindergarten,6th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,1-Yes,1-Yes,2-No,185,211,202,60,†,†,9,†,†,69,†,†,0,0,†,0,2,–,185,209,†,†,†,†,0,0,†,99,114,†,86,97,†,0,0,†,13,9,†,54,57,†,13,25,†,99,116,†,0,0,†,6,4,†,185,211,†
ACADEMY OF MEDICAL & HEALTH SCIENCES AT ROOSEVELT,California,062271012783,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,435,482,531,174,479,482,1,–,12,175,479,494,†,†,†,†,†,†,435,482,531,†,†,†,†,†,†,219,244,268,216,238,263,0,1,4,1,3,4,429,477,517,4,0,3,1,1,1,0,0,0,0,0,2,435,482,531
ACADEMY OF MEDICAL ARTS AT CARSON HIGH,California,062271013104,3-High,†,†,9th Grade,†,†,12th Grade,†,†,2-No,†,†,2-No,†,†,508,†,†,209,†,†,61,†,†,270,†,†,†,†,†,†,†,†,508,†,†,†,†,†,†,†,†,200,†,†,308,†,†,3,†,†,227,†,†,198,†,†,46,†,†,9,†,†,25,†,†,0,†,†,508,†,†
ACADEMY OF PERFORMING ARTS AND FOREIGN LANGUAGE,California,064104010367,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,448,457,450,243,–,190,38,–,39,281,77,229,73,77,72,375,380,378,–,†,†,†,†,†,73,77,72,230,230,222,218,227,228,8,8,5,20,18,22,239,235,226,74,78,66,91,108,123,2,3,2,14,7,6,448,457,450
ACADEMY OF PERSONALIZED LEARNING,California,061495012533,4-Other,4-Other,4-Other,Kindergarten,Kindergarten,Kindergarten,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,480,404,363,200,–,187,103,–,80,303,243,267,24,27,17,255,216,193,201,161,153,†,†,†,24,27,17,239,203,182,241,201,181,18,16,18,7,8,4,46,38,29,10,5,1,395,334,306,4,2,5,0,1,0,480,404,363
