CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3751-3752,3901-3902,4100,4200,4300,4400,4700,5100,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7281-7299,7438,7439,7630-7699,8011,8012,8019,"8091, 8097",8096,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9740,9750,9760,9780,9789,9790A,9790M,9791,"9793, 9795",9796,9797,LocalRevAO,StateRevAO,StateRevSE
01611190130609,917066.96,0.0,237269.09,82751.07,162741.68,0.0,0.0,68109.44,2640.0,108226.59,14289.16,39653.13,87829.45,11059.46,24304.93,0.0,0.0,0.0,20375.81,10507.73,68144.31,137386.54,15902.28,0.0,5772.81,6780.41,17645.53,67480.11,60251.91,528847.64,16565.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060353.0,394656.0,-794.0,0.0,654645.75,0.0,36379.0,10873.07,0.0,0.0,0.0,0.0,0.0,769304.95,0.0,0.0,0.0,0.0,613523.22,0.0,0.0,960.04,0.0,218750.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1114434.31,0.0,996144.1,3654.0,0.0,50603.0,344077.95,176151.05,200499.0
01611190130625,315874.44,91183.22,119512.96,0.0,31136.89,0.0,0.0,185513.19,5914.0,0.0,0.0,10833.4,53620.15,10264.6,30038.56,0.0,46274.71,2248.62,0.0,5775.64,26567.77,464.44,5487.65,0.0,16132.22,2625.45,7244.52,43714.78,147872.98,248144.04,11552.49,0.0,0.0,0.0,0.0,0.0,0.0,15222.48,92836.0,0.0,0.0,0.0,1473.26,0.0,0.0,581018.0,170726.0,-8069.44,92836.0,260088.0,150337.5,0.0,0.0,44771.0,0.0,0.0,0.0,0.0,112583.41,0.0,0.0,0.0,0.0,252643.08,0.0,0.0,0.0,254736.45,228782.82,0.0,124900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227162.61,0.0,500245.63,-179834.63,72511.03,39117.51,43688.23,86357.92,124155.4
01611430122689,581230.08,0.0,156713.92,34500.01,1511.06,0.0,38250.0,90897.7,133271.33,57909.65,0.0,24514.91,93657.17,15415.76,13914.06,0.0,0.0,0.0,12568.72,773.53,17099.02,9302.56,90440.89,0.0,1611.77,1555.0,15562.19,55953.66,348459.86,540487.08,14664.75,0.0,0.0,0.0,0.0,0.0,134053.76,0.0,0.0,0.0,0.0,0.0,601.0,0.0,0.0,622748.0,333855.0,-341.0,0.0,929379.0,0.0,0.0,61180.85,104880.0,0.0,0.0,0.0,0.0,102905.58,0.0,0.0,0.0,0.0,390240.46,0.0,0.0,28748.84,5107.5,682082.14,0.0,876048.98,0.0,251402.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-255180.62,0.0,-51173.81,-250.24,0.0,88102.29,155745.57,161817.74,0.0
01611430122697,1095115.61,0.0,153364.62,49535.05,29638.64,0.0,38250.0,46849.94,24419.94,110289.48,0.0,36622.97,80739.14,21730.58,13914.08,0.0,0.0,0.0,21706.37,773.55,18771.17,5610.13,85863.74,0.0,1573.75,1555.0,15562.19,1174.6,233626.29,554192.73,4856.68,0.0,0.0,0.0,0.0,0.0,45498.25,0.0,0.0,0.0,0.0,0.0,601.0,0.0,0.0,754604.0,341801.0,-613.0,0.0,810446.0,78716.11,0.0,58804.18,91357.0,0.0,0.0,0.0,0.0,198130.62,0.0,0.0,0.0,0.0,668026.13,0.0,0.0,6388.83,5107.5,638786.63,0.0,504434.13,0.0,250045.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-233879.91,0.0,82766.81,-1219.9,0.0,72141.93,160451.71,152983.61,0.0
01611920108670,1140305.0,226631.0,307572.0,0.0,31553.0,8574.0,0.0,264625.0,21500.0,128022.0,0.0,29010.0,208995.0,1384.0,35244.0,0.0,0.0,64777.0,31878.0,0.0,68783.0,214649.0,97292.0,138062.0,34135.0,21848.0,27250.0,295206.0,454029.0,96040.0,26657.0,0.0,0.0,0.0,0.0,0.0,25329.0,0.0,36130.0,565306.0,41361.0,0.0,0.0,0.0,0.0,1875768.0,591621.0,-19022.0,0.0,866138.0,803212.0,55088.0,69113.0,96191.0,0.0,0.0,0.0,0.0,67473.0,0.0,0.0,0.0,135274.0,1966185.0,0.0,0.0,22642.0,0.0,1188127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1781376.0,0.0,1989385.0,0.0,678946.0,54262.0,99781.0,496280.0,233176.0
01611920113902,1280170.23,86161.03,247275.82,0.0,60041.85,0.0,0.0,102783.87,0.0,132967.26,0.0,34516.84,199766.97,18714.3,24822.97,522.09,0.0,1439.88,10101.46,972.58,53473.84,11187.2,8196.16,0.0,5019.85,1961.11,23486.62,103599.39,96569.94,192902.57,-8550.96,0.0,0.0,0.0,0.0,0.0,58136.25,0.0,0.0,0.0,0.0,1111797.41,0.0,0.0,0.0,1766136.0,575634.0,-22001.0,0.0,820998.0,84480.0,54301.0,0.0,0.0,0.0,0.0,0.0,0.0,128602.0,0.0,0.0,0.0,0.0,1072.0,715257.77,0.0,0.0,5120.0,467656.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517309.0,0.0,517309.0,0.0,0.0,0.0,123155.92,222099.61,233233.0
01611920119248,473597.19,0.0,0.0,33454.51,169678.82,0.0,156275.06,28793.14,34712.87,42779.85,0.0,36532.32,47320.21,11539.72,11723.2,0.0,0.0,7238.5,0.0,1670.9,39893.75,37592.58,650.0,0.0,19359.77,5519.72,8143.04,65155.95,76447.7,83943.26,2632.52,0.0,0.0,0.0,0.0,0.0,1540.08,0.0,0.0,11287.0,0.0,0.0,194.0,0.0,0.0,571336.0,205306.0,3.0,0.0,352053.0,0.0,19898.0,0.0,0.0,0.0,0.0,0.0,0.0,577851.05,0.0,0.0,0.0,0.0,85177.0,0.0,0.0,-1039.68,2750.0,65851.6,0.0,0.0,0.0,16668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568121.37,0.0,570164.7,0.0,0.0,14097.4,167179.3,25099.43,78855.0
01611920127696,357675.78,0.0,95396.05,12113.13,49256.28,0.0,0.0,70200.0,0.0,39049.05,11916.87,18408.5,26230.46,6858.08,22646.0,0.0,0.0,1916.0,113359.96,0.0,11783.44,21129.36,639.65,0.0,8939.98,680.0,18523.42,25808.9,98109.41,314056.62,2396.97,0.0,0.0,0.0,0.0,0.0,2493.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728075.0,28454.0,0.0,0.0,265402.0,403830.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105265.48,0.0,0.0,0.0,0.0,491694.81,0.0,0.0,26610.3,0.0,322098.41,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136374.83,0.0,0.0,0.0,0.0,0.0,18284.98,21915.74,0.0
01611920127944,271679.0,10669.0,0.0,30960.0,11601.0,100000.0,0.0,20160.0,0.0,25935.0,0.0,13956.0,33064.0,4867.0,7671.0,0.0,0.0,9916.0,375.0,3852.0,14944.0,34947.0,386.0,0.0,3307.0,4932.0,6520.0,37348.0,135.0,54156.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12631.0,0.0,0.0,0.0,0.0,0.0,0.0,299780.0,11742.0,0.0,0.0,109522.0,33306.0,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,27615.0,0.0,0.0,0.0,0.0,84922.0,0.0,0.0,17981.0,0.0,42789.0,0.0,0.0,67944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19785.0,0.0,0.0,0.0,0.0,0.0,7488.0,0.0,23980.0
01612000107839,3397165.2,228062.63,393117.81,0.0,176332.2,174469.35,522304.73,529009.96,0.0,230540.37,0.0,187464.46,489015.11,50802.54,138828.56,0.0,0.0,0.0,255064.16,0.0,152226.11,0.0,13080.85,0.0,9308.13,31841.48,128798.49,342592.22,442032.98,829516.27,50013.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63425.0,1085472.79,0.0,0.0,2457467.0,1180477.0,0.0,0.0,3010669.0,2053.78,0.0,47276.19,0.0,0.0,0.0,0.0,0.0,26746.7,0.0,1618589.75,0.0,130.7,1144277.1,0.0,0.0,0.0,0.0,1254087.09,0.0,0.0,0.0,42389716.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2990594.17,0.0,0.0,3253098.0,0.0,0.0,1419290.82,849718.72,691029.0
