Ccode,Dcode,SchoolID,ObjectCode,restricted,unrestricted,total
01,10017,0112607,1100,178196,1135008,1313204
01,10017,0112607,1200,36575,51803,88378
01,10017,0112607,1300,1059,269523,270582
01,10017,0112607,1900,0,0,0
01,10017,0112607,2100,12885,16862,29747
01,10017,0112607,2200,0,116430,116430
01,10017,0112607,2300,0,0,0
01,10017,0112607,2400,0,49822,49822
01,10017,0112607,2900,0,0,0
01,10017,0112607,3101-3102,23159,155045,178204
01,10017,0112607,3201-3202,0,0,0
01,10017,0112607,3301-3302,3990,34322,38312
01,10017,0112607,3401-3402,24642,143907,168549
01,10017,0112607,3501-3502,3277,18362,21639
01,10017,0112607,3601-3602,2831,17442,20273
01,10017,0112607,3701-3702,0,1411,1411
01,10017,0112607,3751-3752,0,0,0
01,10017,0112607,3901-3902,0,257,257
01,10017,0112607,4100,0,3162,3162
01,10017,0112607,4200,0,3919,3919
01,10017,0112607,4300,216,58198,58414
01,10017,0112607,4400,31,32399,32430
01,10017,0112607,4700,0,6746,6746
01,10017,0112607,5100,0,0,0
01,10017,0112607,5200,362,922,1284
01,10017,0112607,5300,0,1425,1425
01,10017,0112607,5400,1488,29317,30805
01,10017,0112607,5500,0,108968,108968
01,10017,0112607,5600,0,348859,348859
01,10017,0112607,5700-5799,0,0,0
01,10017,0112607,5800,47236,133101,180337
01,10017,0112607,5900,175,55782,55957
01,10017,0112607,6100-6170,0,0,0
01,10017,0112607,6200,0,0,0
01,10017,0112607,6300,0,0,0
01,10017,0112607,6400,0,0,0
01,10017,0112607,6500,0,0,0
01,10017,0112607,6900,0,113249,113249
01,10017,0112607,7110-7143,0,0,0
01,10017,0112607,7211-7213,0,0,0
01,10017,0112607,7221-7223AO,0,0,0
01,10017,0112607,7221-7223SE,0,0,0
01,10017,0112607,7281-7299,74217,735921,810138
01,10017,0112607,7300-7399,0,0,0
01,10017,0112607,7438,0,21843,21843
01,10017,0112607,7439,0,0,0
01,10017,0112607,7630-7699,0,0,0
