CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3751-3752,3801-3802,3901-3902,4100,4200,4300,4400,4700,5100,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7281-7299,7438,7439,7630-7699,8011,8015,8019,8020-8039,8040-8079,8080-8089,"8091, 8097",8092,8096,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9400-9499,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9730,9740,9770,"9775, 9780",9790,9791,"9793, 9795",LocalRevAO,StateRevAO,StateRevSE
01100170109835,3191014.78,0.0,315969.12,0.0,0.0,551205.19,1147060.87,0.0,0.0,292435.01,137102.28,162538.76,248753.04,22103.42,37111.97,0.0,0.0,0.0,0.0,590179.31,0.0,77126.16,8133.65,7178.72,0.0,77970.71,5937.0,64003.15,234440.42,1072472.16,1931905.07,69709.47,0.0,0.0,0.0,0.0,0.0,147285.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7751090.0,0.0,0.0,0.0,0.0,0.0,0.0,91272.0,441042.19,0.0,0.0,0.0,0.0,0.0,48915.42,0.0,1946147.03,0.0,0.0,0.0,0.0,3949.83,1818119.41,0.0,37054.37,250550.36,960433.45,545986.71,15679.88,3575000.0,0.0,0.0,0.0,0.0,37054.37,0.0,0.0,0.0,0.0,0.0,891448.91,408103.56,-107577.35,37666.78,1112478.58,813748.24
01100170112607,513115.79,0.0,226737.01,0.0,3361.32,0.0,59985.49,65139.89,0.0,60669.29,0.0,20478.39,77551.66,6023.69,11585.87,0.0,0.0,0.0,0.0,7427.07,2807.48,27254.13,9944.52,30472.76,0.0,1046.13,1734.95,6098.63,149117.09,27323.23,504417.71,10352.28,0.0,0.0,0.0,0.0,0.0,52908.3,0.0,0.0,0.0,0.0,0.0,12200.0,0.0,0.0,0.0,730007.0,4259.0,0.0,0.0,0.0,0.0,0.0,250994.0,64959.0,19697.74,15878.51,46237.0,0.0,0.0,0.0,0.0,337083.63,367.1,0.0,0.0,0.0,9030.79,214898.48,0.0,0.0,0.0,72466.0,168978.96,0.0,210590.0,0.0,50000.0,367.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203909.94,201711.0,2566.04,517414.36,65021.15,71976.92
01100170118489,451146.01,65219.94,164775.59,0.0,152176.03,0.0,321.98,61397.99,98347.93,54855.29,24583.21,41226.48,121334.82,0.0,10308.36,0.0,0.0,0.0,6204.25,0.0,43071.57,62563.31,0.0,82753.0,0.0,9644.0,9958.26,2054.39,29392.11,134602.04,292400.46,17042.84,0.0,0.0,0.0,0.0,0.0,170905.97,0.0,0.0,0.0,0.0,54786.8,0.0,0.0,0.0,0.0,1136924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70315.0,0.0,48253.66,40021.0,0.0,0.0,0.0,0.0,223475.16,0.0,0.0,0.0,0.0,393196.28,0.0,0.0,22000.0,0.0,325406.09,671618.82,0.0,39333.0,0.0,39331.0,0.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,191793.24,0.0,340953.0,281376.67,271652.54,81809.0
01611190130625,196040.28,0.0,50575.29,0.0,29745.35,54242.84,48170.94,59740.98,0.0,0.0,0.0,7346.25,34842.29,5512.18,5432.44,31411.51,0.0,0.0,0.0,14120.42,0.0,15713.01,0.0,8471.77,0.0,10679.44,8124.72,3738.62,12358.31,15300.56,165599.45,9495.38,0.0,121917.61,0.0,12084.56,0.0,0.0,0.0,0.0,5841.99,0.0,0.0,0.0,0.0,0.0,0.0,380421.0,22833.0,0.0,0.0,0.0,0.0,0.0,0.0,40045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97751.29,0.0,0.0,0.0,0.0,16849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114600.29,211857.29,0.0,324225.48,19845.71,0.0
01611920108670,1105586.0,66543.0,354787.0,0.0,10721.0,44861.0,52522.0,94471.0,2000.0,106265.0,0.0,25128.0,117896.0,5260.0,26874.0,0.0,0.0,0.0,14077.0,12395.0,0.0,61556.0,83061.0,115447.0,64911.0,7896.0,3634.0,11693.0,87701.0,68777.0,31654.0,18724.0,0.0,0.0,0.0,0.0,0.0,114208.0,0.0,0.0,27710.0,18281.0,503037.0,36265.0,0.0,0.0,0.0,1828013.0,20561.0,0.0,0.0,0.0,0.0,0.0,716721.0,205535.0,40703.0,50613.0,99310.0,0.0,0.0,0.0,0.0,402379.0,0.0,0.0,0.0,251407.0,632700.0,0.0,0.0,15946.0,1027819.0,0.0,135300.0,78245.0,0.0,0.0,1055358.0,0.0,0.0,15946.0,0.0,0.0,0.0,0.0,0.0,1045402.0,667004.0,25606.0,143259.0,154735.0,183024.0
01611920113902,640448.39,0.0,212137.19,0.0,34525.0,30715.0,0.0,103747.17,0.0,69948.52,0.0,24825.78,89182.36,8467.7,13354.17,0.0,0.0,0.0,0.0,6819.45,4438.27,50451.98,10444.87,57795.44,0.0,2888.87,2035.0,7832.17,35309.57,25683.69,226195.05,20912.06,0.0,0.0,0.0,0.0,0.0,31879.39,0.0,0.0,81568.06,299762.74,0.0,0.0,0.0,0.0,0.0,1097715.0,7148.0,0.0,0.0,0.0,0.0,0.0,441618.0,95230.0,28862.25,26907.43,45664.0,0.0,0.0,0.0,0.0,424523.83,500.0,0.0,0.0,0.0,31212.44,301964.35,0.0,932.82,0.0,53316.24,92069.96,0.0,203071.64,0.0,0.0,500.0,0.0,932.82,0.0,0.0,0.0,0.0,0.0,515875.26,442486.88,74821.2,62997.91,44122.59,105464.7
01612590100065,511075.0,0.0,194861.0,0.0,0.0,0.0,0.0,45624.0,38742.0,40571.0,0.0,38731.0,164155.0,2079.0,16847.0,0.0,0.0,0.0,0.0,27189.0,5688.0,58268.0,3203.0,56392.0,0.0,28395.0,6476.0,12473.0,28088.0,225797.0,292921.0,5371.0,0.0,0.0,0.0,0.0,0.0,14649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917689.0,14112.0,0.0,0.0,0.0,0.0,0.0,329740.0,56693.0,0.0,0.0,106493.0,0.0,0.0,0.0,0.0,221688.0,0.0,0.0,0.0,0.0,291896.0,0.0,0.0,33866.0,12460.0,54618.0,147609.0,0.0,0.0,0.0,0.0,0.0,0.0,33866.0,0.0,0.0,0.0,0.0,0.0,433053.0,455702.0,-8862.0,59879.0,199217.0,0.0
01612590100123,188973.91,0.0,48484.89,0.0,0.0,109506.6,49996.56,24933.3,17947.9,0.0,0.0,25879.16,42059.74,454.67,5071.19,0.0,0.0,0.0,0.0,27431.4,0.0,12115.1,0.0,596.25,0.0,6709.8,2754.52,4273.0,142072.95,160355.99,94312.14,4922.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452946.0,4019.0,0.0,0.0,0.0,0.0,0.0,207256.0,82988.0,0.0,0.0,84348.0,0.0,0.0,0.0,0.0,357149.66,0.0,0.0,0.0,0.0,32560.0,0.0,0.0,0.0,219788.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609497.7,465840.58,-47582.58,14980.82,228082.96,0.0
01612590101469,868114.0,170520.0,293788.0,0.0,23461.0,71591.0,43646.0,100167.0,8053.0,95257.0,0.0,22950.0,111085.0,7266.0,23652.0,0.0,0.0,0.0,24265.0,69164.0,173.0,37227.0,36308.0,103856.0,23595.0,5736.0,6393.0,11606.0,180378.0,138049.0,43643.0,13405.0,0.0,0.0,0.0,0.0,0.0,5506.0,0.0,0.0,521446.0,40478.0,0.0,5495.0,0.0,0.0,0.0,1327682.0,10318.0,0.0,0.0,0.0,0.0,0.0,467870.0,267788.0,30836.0,55882.0,74821.0,0.0,0.0,130233.0,0.0,0.0,0.0,0.0,0.0,0.0,384560.0,45924.0,0.0,13928.0,0.0,26927.0,201636.0,46056.0,100000.0,0.0,0.0,0.0,0.0,13928.0,0.0,0.0,0.0,0.0,0.0,239952.0,173942.0,9247.0,474276.0,128055.0,128982.0
01612590106906,660869.28,0.0,129100.09,0.0,0.0,0.0,0.0,59885.03,0.0,54227.21,484.69,14566.77,101846.43,8496.4,13388.99,1855.89,0.0,0.0,0.0,56612.58,1071.57,34834.89,16130.45,20532.81,0.0,25639.52,6477.77,19433.22,98440.13,65391.02,188780.44,5873.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46193.03,15000.0,0.0,0.0,0.0,700106.0,8967.0,0.0,0.0,0.0,0.0,0.0,327625.0,14809.0,0.0,9427.57,55859.0,0.0,0.0,0.0,0.0,74725.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74725.7,-13379.61,87294.61,88263.14,300692.5,0.0
