Id,Id2,Geography,Estimate; Total:,total_below_poverty,under_5_below_poverty,age_5_below_poverty,age_6_to_11_below_poverty,age_12_to_17_below_poverty,age_18_65_below_poverty,total_above_poverty,under_5_above_poverty,age_5_above_poverty,age_6_to_11_above_poverty,age_12_to_17_above_poverty,age_18_65_above_poverty
8600000US94901,94901,ZCTA5 94901,40017,4691,477,61,431,358,3032,35326,2007,395,2106,2149,23622
8600000US94903,94903,ZCTA5 94903,28826,1912,144,17,42,66,1386,26914,1517,364,1844,1950,15530
8600000US94904,94904,ZCTA5 94904,12061,542,22,8,21,35,390,11519,492,167,761,955,6448
8600000US94920,94920,ZCTA5 94920,12348,682,0,0,106,95,352,11666,688,157,850,923,6465
8600000US94922,94922,ZCTA5 94922,270,30,0,0,0,0,30,240,23,0,0,10,153
8600000US94923,94923,ZCTA5 94923,932,37,0,0,0,0,0,895,20,0,52,15,600
8600000US94924,94924,ZCTA5 94924,1088,290,22,19,18,16,197,798,0,0,31,35,539
8600000US94925,94925,ZCTA5 94925,9265,350,29,0,23,51,156,8915,470,88,759,645,5508
8600000US94928,94928,ZCTA5 94928,40737,5205,379,66,137,187,4148,35532,1994,341,2571,2569,24401
8600000US94929,94929,ZCTA5 94929,142,0,0,0,0,0,0,142,0,0,0,0,32
8600000US94930,94930,ZCTA5 94930,8266,635,88,0,63,15,442,7631,374,157,590,449,5122
8600000US94931,94931,ZCTA5 94931,8556,1076,86,12,89,104,728,7480,401,90,507,505,5224
8600000US94933,94933,ZCTA5 94933,1190,67,0,0,0,0,56,1123,68,18,55,52,908
8600000US94937,94937,ZCTA5 94937,1129,147,0,0,0,0,147,982,0,0,77,91,569
8600000US94938,94938,ZCTA5 94938,745,40,0,0,0,0,40,705,68,0,16,15,559
8600000US94939,94939,ZCTA5 94939,6779,232,0,0,0,0,202,6547,313,33,535,719,3815
8600000US94940,94940,ZCTA5 94940,215,25,0,0,0,0,17,190,0,0,20,0,88
8600000US94941,94941,ZCTA5 94941,30451,1409,8,0,79,181,857,29042,1882,411,2172,2291,17113
8600000US94945,94945,ZCTA5 94945,17439,880,42,0,47,29,591,16559,1126,100,1225,1121,10276
8600000US94946,94946,ZCTA5 94946,530,40,0,0,4,10,26,490,22,5,28,41,296
8600000US94947,94947,ZCTA5 94947,24011,1577,25,55,134,112,1112,22434,977,256,1610,1961,14012
8600000US94949,94949,ZCTA5 94949,16993,1776,95,33,104,222,1047,15217,1059,212,1274,841,9439
8600000US94950,94950,ZCTA5 94950,53,22,0,0,0,0,0,31,0,0,0,0,10
8600000US94951,94951,ZCTA5 94951,4315,285,0,0,0,30,212,4030,204,66,341,148,2643
8600000US94952,94952,ZCTA5 94952,32276,2609,319,125,242,98,1581,29667,1508,261,1984,2112,19665
8600000US94954,94954,ZCTA5 94954,37201,3310,354,41,458,287,1905,33891,1889,730,2433,3150,21043
8600000US94956,94956,ZCTA5 94956,1718,214,0,7,0,18,171,1504,44,32,75,107,949
8600000US94957,94957,ZCTA5 94957,976,62,0,0,0,0,62,914,50,34,81,86,482
8600000US94960,94960,ZCTA5 94960,15578,1026,39,0,109,125,665,14552,760,158,1361,1190,8786
8600000US94963,94963,ZCTA5 94963,539,31,0,0,0,0,22,508,0,22,30,16,350
8600000US94964,94964,ZCTA5 94964,263,0,0,0,0,0,0,263,0,0,57,0,206
8600000US94965,94965,ZCTA5 94965,10936,1549,85,86,148,172,851,9387,480,86,246,161,6458
8600000US94970,94970,ZCTA5 94970,521,36,0,0,0,0,36,485,14,0,12,17,281
8600000US94971,94971,ZCTA5 94971,441,7,0,0,0,0,7,434,0,0,36,24,294
8600000US94972,94972,ZCTA5 94972,35,0,0,0,0,0,0,35,0,0,0,0,35
8600000US94973,94973,ZCTA5 94973,1454,60,0,0,0,0,60,1394,60,0,111,161,847
8600000US95002,95002,ZCTA5 95002,1906,216,10,0,37,30,129,1690,109,32,75,211,1107
8600000US95003,95003,ZCTA5 95003,23875,2556,40,46,163,268,1834,21319,846,289,1502,1362,13771
8600000US95004,95004,ZCTA5 95004,3795,328,28,27,26,26,128,3467,200,8,150,341,2311
8600000US95005,95005,ZCTA5 95005,5886,460,17,0,62,9,341,5426,247,52,198,375,3930
8600000US95006,95006,ZCTA5 95006,9527,725,34,0,38,41,509,8802,385,74,567,544,6169
8600000US95007,95007,ZCTA5 95007,602,58,0,0,0,0,58,544,0,0,40,0,504
8600000US95008,95008,ZCTA5 95008,44631,3207,117,0,128,344,2253,41424,2593,513,2901,2419,28338
8600000US95010,95010,ZCTA5 95010,8848,1100,233,0,69,34,700,7748,396,48,393,512,5220
8600000US95012,95012,ZCTA5 95012,10453,2115,257,30,310,302,1111,8338,637,84,773,852,5317
8600000US95013,95013,ZCTA5 95013,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US95014,95014,ZCTA5 95014,60399,2505,93,0,177,161,1659,57894,3167,921,6052,5972,35087
8600000US95017,95017,ZCTA5 95017,683,85,4,0,2,1,76,598,4,11,56,18,446
8600000US95018,95018,ZCTA5 95018,7991,377,9,8,30,20,275,7614,403,79,558,548,5321
8600000US95019,95019,ZCTA5 95019,8157,1899,287,122,223,177,964,6258,499,77,683,555,3955
8600000US95020,95020,ZCTA5 95020,56283,7083,841,155,860,860,3763,49200,3656,711,4795,4139,31184
8600000US95023,95023,ZCTA5 95023,49307,6220,521,231,834,991,3239,43087,3196,595,3842,4254,27009
8600000US95030,95030,ZCTA5 95030,13483,662,0,0,0,22,544,12821,798,103,1164,903,7430
8600000US95032,95032,ZCTA5 95032,24616,1094,37,17,137,73,543,23522,1324,428,2179,1984,13626
8600000US95033,95033,ZCTA5 95033,9524,545,38,0,6,18,443,8979,610,154,608,628,5877
8600000US95035,95035,ZCTA5 95035,64269,3958,364,59,239,334,2527,60311,4132,943,4554,4433,39993
8600000US95037,95037,ZCTA5 95037,45603,5401,700,102,694,607,2895,40202,2318,486,3436,3993,25823
8600000US95039,95039,ZCTA5 95039,1253,191,7,0,22,23,127,1062,32,19,78,96,768
8600000US95041,95041,ZCTA5 95041,202,0,0,0,0,0,0,202,0,0,10,35,157
8600000US95043,95043,ZCTA5 95043,595,78,10,0,3,17,43,517,24,2,21,38,292
8600000US95045,95045,ZCTA5 95045,3644,499,65,30,22,25,336,3145,99,30,220,390,2014
8600000US95046,95046,ZCTA5 95046,6579,764,62,0,17,125,522,5815,177,16,367,589,3775
8600000US95050,95050,ZCTA5 95050,36229,4563,185,55,348,180,3402,31666,2119,671,2144,1758,21791
8600000US95051,95051,ZCTA5 95051,53174,3629,394,86,177,289,2387,49545,4113,613,3439,3122,32823
8600000US95053,95053,ZCTA5 95053,29,22,0,0,0,0,22,7,0,0,0,0,7
8600000US95054,95054,ZCTA5 95054,22688,1944,220,77,285,178,1122,20744,2246,279,1537,1197,14198
8600000US95060,95060,ZCTA5 95060,46196,9516,121,31,318,275,8390,36680,1547,379,2035,2217,25876
8600000US95062,95062,ZCTA5 95062,35218,5035,272,94,242,195,3934,30183,1897,245,1831,1833,21284
8600000US95064,95064,ZCTA5 95064,1312,362,22,10,4,13,313,950,74,4,80,38,732
8600000US95065,95065,ZCTA5 95065,8594,708,30,0,12,46,469,7886,387,98,570,653,5047
8600000US95066,95066,ZCTA5 95066,14691,540,0,0,46,22,415,14151,651,168,1054,1406,9212
8600000US95070,95070,ZCTA5 95070,30379,1100,25,7,62,175,586,29279,920,286,2317,3520,16744
8600000US95073,95073,ZCTA5 95073,10188,786,35,0,67,58,576,9402,408,76,643,569,6369
8600000US95075,95075,ZCTA5 95075,264,25,0,0,0,4,19,239,3,0,23,28,154
